measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,7623.822,49616.0,375243.0,,,,,,,1326.92,8460.0,63984.0,,,,4136.972,26926.0,203641.0,,,
2003-02-01,5073.265,45043.0,314787.0,,,,,,,0.0,0.0,0.0,,,,2579.366,22902.0,160052.0,,,
2003-03-01,4900.0,58704.0,316140.0,,,,,,,67.0,803.0,4322.0,,,,1790.0,21448.0,115504.0,,,
2003-04-01,4848.555,83459.0,350218.0,,,,,,,0.0,0.0,0.0,,,,1252.231,21564.0,90487.0,,,
2003-06-01,3623.212,103222.0,283261.0,,,,,,,0.0,0.0,0.0,,,,832.58,23709.0,65060.0,,,
2003-07-01,4832.23,73129.0,366784.0,,,,,,,0.0,0.0,0.0,,,,1047.6870000000001,15861.0,79550.0,,,
2003-08-01,4833.19,70401.0,316228.0,,,,,,,0.0,0.0,0.0,,,,813.374,11842.0,53191.0,,,
2003-09-01,3873.85,59490.0,297649.0,,,,,,,0.0,0.0,0.0,,,,829.6990000000001,12738.0,63731.0,,,
2003-10-01,5099.193,37015.0,362989.0,,,,,,,0.0,0.0,0.0,,,,1210.938,8790.0,86209.0,,,
2003-11-01,4351.119000000001,21760.0,289399.0,,,,,,,0.0,0.0,0.0,,,,1372.269,6865.0,91287.0,,,
2003-12-01,6004.756,44125.0,385506.0,,,,,,,31.36,559.0,559.0,,,,1917.719,14088.0,123089.0,,,
2004-01-01,3838.59927,19068.45,332099.05,,,,,,,2.6830000000000003,12.33,34.22,,,,4757.19373,23631.62,411571.88,,,
2004-02-01,4240.97586,21067.28,336468.96,,,,,,,3.479,15.98,44.37,,,,2049.05014,10178.77,162566.78,,,
2004-03-01,4783.89525,23764.27,356524.17,,,,,,,3.7110000000000003,17.05,47.32,,,,834.91875,4147.51,62223.08,,,
2004-04-01,4555.59344,22630.17,336054.77,,,,,,,3.319,15.25,42.34,,,,612.75356,3043.89,45201.3,,,
2004-05-01,4383.10842,21773.33,330975.36,,,,,,,3.5330000000000004,16.24,45.07,,,,1006.33558,4999.03,75989.97,,,
2004-06-01,4776.72835,23728.66,350860.47,,,,,,,2.685,12.33,34.24,,,,565.67965,2810.05,41550.33,,,
2004-07-01,5014.48925,24909.75,369288.16,,,,,,,3.3480000000000003,15.38,42.69,,,,642.77275,3193.01,47336.5,,,
2004-08-01,4604.8117,22874.65,348553.12,,,,,,,3.462,15.9,44.14,,,,1105.8353,5493.3,83704.26,,,
2004-09-01,5077.41387,25222.34,371302.3,,,,,,,3.343,15.36,42.63,,,,519.14013,2578.86,37963.8,,,
2004-10-01,3567.94048,17723.95,264128.33,,,,,,,3.204,14.72,40.86,,,,528.21352,2623.93,39102.71,,,
2004-11-01,4878.06622,24232.06,359863.1,,,,,,,3.6310000000000002,16.68,46.31,,,,657.18178,3264.59,48481.4,,,
2004-12-01,4797.26889,23830.7,371594.21,,,,,,,3.782,17.38,48.24,,,,1678.77711,8339.42,130037.29,,,
2005-01-01,7407.20504,36795.7,371382.99,,,,,,,9.077,3.12,3.12,,,,3020.31893,15003.6,151432.97,542.6340299999999,2695.56,27206.63
2005-02-01,7436.06312,36939.06,344665.01,,,,,,,8.047,2.77,2.77,,,,1333.87389,6626.09,61825.68,544.748,2706.07,25249.33
2005-03-01,7891.47927,39201.35,372638.39,,,,,,,9.603,3.3,3.3,,,,1801.79877,8950.53,85081.56,578.11096,2871.8,27298.6
2005-04-01,6984.15827,34694.19,320385.37,,,,,,,9.845,3.38,3.38,,,,1070.8618000000001,5319.57,49123.81,511.64293,2541.61,23470.68
2005-05-01,8078.85888,40132.18,355554.8,,,,,,,7.987,2.75,2.75,,,,458.40867000000003,2277.17,20174.81,591.83745,2939.99,26047.08
2005-06-01,7039.36867,34968.45,344226.91,,,,,,,13.588000000000001,4.67,4.67,,,,2313.02334,11490.07,113107.43,515.687,2561.7,25217.23
2005-07-01,7713.19924,38315.74,381233.08,,,,,,,17.51,6.02,6.02,,,,2789.3722000000002,13856.36,137867.69,565.05056,2806.92,27928.23
2005-08-01,7815.2633000000005,38822.75,392508.19,,,,,,,18.721,6.44,6.44,,,,3230.68642,16048.61,162255.68,572.52728,2844.06,28754.2
2005-09-01,7520.65172,37359.25,369489.36,,,,,,,12.384,4.26,4.26,,,,2578.98946,12811.27,126705.66,550.94482,2736.85,27067.9
2005-10-01,7199.73397,35765.08,352186.54,,,,,,,8.564,2.94,2.94,,,,2373.03161,11788.17,116080.65,527.43542,2620.06,25800.35
2005-11-01,7830.96333,38900.74,358680.74,,,,,,,7.687,2.65,2.65,,,,1171.03288,5817.17,53636.69,573.6778,2849.78,26276.1
2005-12-01,7720.47079,38351.87,387485.31,,,,,,,8.306000000000001,2.86,2.86,,,,3174.16493,15767.84,159309.23,565.5832800000001,2809.57,28386.25
2006-01-01,,,,0.0,0.0,0.0,391.021,3879.0,3879.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,595.914,2960.24,10745.28
2006-02-01,,,,0.0,0.0,0.0,309.755,3072.0,3072.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,540.994,2687.42,9754.96
2006-03-01,,,,0.0,0.0,0.0,236.72400000000002,2348.0,2348.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,585.942,2910.7,10565.44
2006-04-01,,,,0.0,0.0,0.0,207.145,2055.0,2055.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,541.5740000000001,2690.3,9765.44
