measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,10053.0,203437.0,258321.0,27.0,585.0,585.0
2003-02-01,0.0,0.0,0.0,9545.0,239019.0,239019.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,10669.0,253268.0,253268.0,15.0,345.0,345.0
2003-04-01,0.0,0.0,0.0,12737.0,252510.0,252510.0,11.0,209.0,209.0
2003-05-01,0.0,0.0,0.0,12350.0,264958.0,264958.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,10745.0,252167.0,252167.0,730.0,17132.0,17132.0
2003-07-01,0.0,0.0,0.0,11760.0,251420.0,251420.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,13065.0,278328.0,278328.0,1.0,18.0,18.0
2003-09-01,0.0,0.0,0.0,11963.0,255127.0,255127.0,14.0,306.0,306.0
2003-10-01,0.0,0.0,0.0,13119.0,270833.0,270833.0,5.0,98.0,98.0
2003-11-01,0.0,0.0,0.0,15562.0,261081.0,261081.0,0.0,0.0,0.0
2003-12-01,-984.0,0.0,0.0,13069.0,264317.0,264317.0,4.0,83.0,83.0
