measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2024-01-01,0.0,0.0,0.0
2024-02-01,120.0,409.0,409.0
2024-03-01,149.0,508.0,508.0
2024-04-01,74.0,252.0,252.0
2024-05-01,24.0,82.0,82.0
2024-06-01,196.0,669.0,669.0
2024-07-01,117.0,399.0,399.0
2024-08-01,244.0,833.0,833.0
2024-09-01,154.0,525.0,525.0
2024-10-01,246.0,839.0,839.0
2024-11-01,145.0,495.0,495.0
2024-12-01,113.0,386.0,386.0
