measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,26.0,515.0,515.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,,,,319.0,5562.0,5562.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,,2536.0,40103.0,40103.0,11216.0,131567.0,131567.0,,,,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,237.0,6561.0,6561.0,29483.0,326179.0,326179.0,,,,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,5585.0,79105.0,79105.0,43856.0,466633.0,466633.0,,,,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,5600.0,81243.0,81243.0,43645.0,466547.0,466547.0,,,,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,1938.0,28854.0,28854.0,38004.0,408621.0,408621.0,,,,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,1149.0,15298.0,15298.0,46048.0,482267.0,482267.0,,,,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,10.0,218.0,218.0,6747.0,71576.0,71576.0,,,,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,,,,68.0,1074.0,1074.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,,,,1763.306,56697.0,56697.0,199.08,2873.0,2873.0,,,,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,,,,788.2280000000001,25344.0,25344.0,205.89700000000002,2971.0,2971.0,,,,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,,,,367.84,11827.0,11827.0,198.085,2858.0,2858.0,,,,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,,,,82.855,2664.0,2664.0,212.668,3069.0,3069.0,,,,0.0,0.0,0.0
