measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,312.558,4772.0,4772.0
2003-02-01,288.06600000000003,4398.0,4398.0
2003-03-01,283.72,4331.0,4331.0
2003-04-01,284.969,4350.0,4350.0
2003-05-01,248.799,3798.0,3798.0
2003-06-01,300.644,4590.0,4590.0
2003-07-01,390.2,5957.0,5957.0
2003-08-01,387.841,5921.0,5921.0
2003-09-01,320.581,4894.0,4894.0
2003-10-01,355.31300000000005,5424.0,5424.0
2003-11-01,321.531,4908.0,4908.0
2003-12-01,318.646,4864.0,4864.0
2005-01-01,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0
2006-01-01,29.851000000000003,677.0,677.0
2006-02-01,15.62,354.0,354.0
2006-03-01,13.121,298.0,298.0
2006-04-01,25.134,570.0,570.0
2006-05-01,23.494,533.0,533.0
2006-06-01,21.354000000000003,484.0,484.0
2006-07-01,30.932000000000002,701.0,701.0
2006-08-01,30.004,680.0,680.0
2006-09-01,13.784,313.0,313.0
2006-10-01,14.561,330.0,330.0
2006-11-01,17.146,389.0,389.0
2006-12-01,18.998,431.0,431.0
2007-01-01,43.463,645.0,645.0
2007-02-01,56.499,838.0,838.0
2007-03-01,30.076,445.0,445.0
2007-04-01,17.834,264.0,264.0
2007-05-01,13.931000000000001,205.0,205.0
2007-06-01,22.218,328.0,328.0
2007-07-01,18.824,281.0,281.0
2007-08-01,22.612000000000002,334.0,334.0
2007-09-01,17.496000000000002,258.0,258.0
2007-10-01,13.537,199.0,199.0
2007-11-01,13.417,199.0,199.0
2007-12-01,25.092000000000002,369.0,369.0
2008-01-01,0.0,0.0,0.0
2008-02-01,51.0,684.0,684.0
2008-03-01,45.0,609.0,609.0
2008-04-01,0.0,12.0,12.0
2008-05-01,76.0,1235.0,1235.0
2008-06-01,0.0,12.0,12.0
2008-07-01,52.0,742.0,742.0
2008-08-01,52.0,766.0,766.0
2008-09-01,31.0,209.0,209.0
2008-10-01,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0
2009-01-01,59.88,398.0,398.0
2009-02-01,24.824,170.0,170.0
2009-03-01,25.893,176.0,176.0
2009-04-01,3.3360000000000003,23.0,23.0
2009-05-01,5.291,35.0,35.0
2009-06-01,2.323,18.0,18.0
2009-07-01,1.7970000000000002,12.0,12.0
2009-08-01,7.954000000000001,53.0,53.0
2009-09-01,1.0570000000000002,6.0,6.0
2009-10-01,1.306,12.0,12.0
2009-11-01,3.096,23.0,23.0
2009-12-01,8.243,53.0,53.0
2010-01-01,18.878,246.0,246.0
2010-02-01,8.173,105.0,105.0
2010-03-01,20.693,269.0,269.0
2010-04-01,8.489,111.0,111.0
2010-05-01,18.397000000000002,240.0,240.0
2010-06-01,16.055,211.0,211.0
2010-07-01,89.122,1164.0,1164.0
2010-08-01,26.7,351.0,351.0
2010-09-01,35.942,468.0,468.0
2010-10-01,33.425000000000004,439.0,439.0
2010-11-01,7.582000000000001,99.0,99.0
2010-12-01,24.544,322.0,322.0
2011-01-01,51.463,924.0,924.0
2011-02-01,19.892,357.0,357.0
2011-03-01,7.674,140.0,140.0
2011-04-01,4.284,76.0,76.0
2011-05-01,4.395,76.0,76.0
2011-06-01,7.416,135.0,135.0
2011-07-01,28.876,515.0,515.0
2011-08-01,9.263,164.0,164.0
2011-09-01,6.189,111.0,111.0
2011-10-01,5.309,94.0,94.0
2011-11-01,4.102,76.0,76.0
2011-12-01,7.137,129.0,129.0
2012-01-01,26.868,474.0,474.0
2012-02-01,2.86,47.0,47.0
2012-03-01,6.428,111.0,111.0
2012-04-01,5.777,99.0,99.0
2012-05-01,5.358,94.0,94.0
2012-06-01,36.797,638.0,638.0
2012-07-01,18.418,322.0,322.0
2012-08-01,11.592,199.0,199.0
2012-09-01,8.188,140.0,140.0
2012-10-01,7.609,135.0,135.0
2012-11-01,10.041,176.0,176.0
2012-12-01,5.064,88.0,88.0
2013-01-01,119.604,1929.0,1929.0
2013-02-01,64.86,1052.0,1052.0
2013-03-01,9.298,151.0,151.0
2013-04-01,4.873,81.0,81.0
2013-05-01,7.801,128.0,128.0
2013-06-01,14.933,244.0,244.0
2013-07-01,58.614,953.0,953.0
2013-08-01,3.094,52.0,52.0
2013-09-01,22.475,366.0,366.0
2013-10-01,9.748,157.0,157.0
2013-11-01,23.197,378.0,378.0
2013-12-01,162.503,2638.0,2638.0
2014-01-01,505.358,7475.0,7475.0
2014-02-01,108.467,1604.0,1604.0
2014-03-01,144.099,2131.0,2131.0
2014-04-01,2.972,46.0,46.0
2014-05-01,3.963,58.0,58.0
2014-06-01,1.247,17.0,17.0
2014-07-01,12.842,191.0,191.0
2014-08-01,9.681,145.0,145.0
2014-09-01,2.577,41.0,41.0
2014-10-01,3.337,52.0,52.0
2014-11-01,4.8,69.0,69.0
2014-12-01,11.657,174.0,174.0
2015-01-01,68.179,1199.0,1199.0
2015-02-01,437.391,7646.0,7646.0
2015-03-01,19.465,339.0,339.0
2015-04-01,3.002,53.0,53.0
2015-05-01,6.913,123.0,123.0
2015-06-01,3.809,64.0,64.0
2015-07-01,11.993,211.0,211.0
2015-08-01,6.851,117.0,117.0
2015-09-01,20.367,357.0,357.0
2015-10-01,3.091,53.0,53.0
2015-11-01,4.798,82.0,82.0
2015-12-01,6.141,105.0,105.0
2016-01-01,44.416,795.0,795.0
2016-02-01,93.393,1688.0,1688.0
2016-03-01,3.276,58.0,58.0
2016-04-01,6.947,128.0,128.0
2016-05-01,10.186,186.0,186.0
2016-06-01,16.969,307.0,307.0
2016-07-01,72.84,1317.0,1317.0
2016-08-01,50.625,916.0,916.0
2016-09-01,94.681,1711.0,1711.0
2016-10-01,145.667,2627.0,2627.0
