measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Generation","Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,163.32600000000002,1733.0,1733.0,248.74200000000002,2337.0,2337.0,9.542,187.0,187.0,,,,0.0,0.0,0.0
2003-02-01,134.958,1432.0,1432.0,205.537,1931.0,1931.0,7.885,154.0,154.0,,,,0.0,0.0,0.0
2003-03-01,143.326,1521.0,1521.0,218.282,2051.0,2051.0,8.374,164.0,164.0,,,,0.0,0.0,0.0
2003-04-01,136.518,1449.0,1449.0,207.91400000000002,1954.0,1954.0,7.976,156.0,156.0,,,,0.0,0.0,0.0
2003-05-01,140.604,1492.0,1492.0,214.137,2012.0,2012.0,8.215,161.0,161.0,,,,0.0,0.0,0.0
2003-06-01,148.333,1574.0,1574.0,225.90800000000002,2123.0,2123.0,8.666,170.0,170.0,,,,0.0,0.0,0.0
2003-07-01,178.572,1895.0,1895.0,271.961,2555.0,2555.0,10.433,204.0,204.0,,,,0.0,0.0,0.0
2003-08-01,172.61100000000002,1832.0,1832.0,262.88100000000003,2470.0,2470.0,10.084,198.0,198.0,,,,0.0,0.0,0.0
2003-09-01,138.977,1475.0,1475.0,211.65900000000002,1989.0,1989.0,8.119,159.0,159.0,,,,0.0,0.0,0.0
2003-10-01,132.817,1410.0,1410.0,202.276,1901.0,1901.0,7.76,152.0,152.0,,,,0.0,0.0,0.0
2003-11-01,111.26400000000001,1181.0,1181.0,169.452,1592.0,1592.0,6.5,127.0,127.0,,,,0.0,0.0,0.0
2003-12-01,161.692,1716.0,1716.0,246.25300000000001,2314.0,2314.0,9.447000000000001,185.0,185.0,,,,0.0,0.0,0.0
2004-01-01,16.75,168.0,168.0,151.417,1546.0,1546.0,0.7110000000000001,8.0,8.0,,,,0.0,0.0,0.0
