measured_on,"Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2012-10-01,173.272,1597.0,1597.0
2012-11-01,173.859,1602.0,1602.0
2012-12-01,179.869,1657.0,1657.0
2013-01-01,773.629,7726.0,7726.0
2013-02-01,686.508,6857.0,6857.0
2013-03-01,796.035,7951.0,7951.0
2013-04-01,763.298,7624.0,7624.0
2013-05-01,796.268,7953.0,7953.0
2013-06-01,779.46,7785.0,7785.0
2013-07-01,815.491,8145.0,8145.0
2013-08-01,817.162,8162.0,8162.0
2013-09-01,770.347,7694.0,7694.0
2013-10-01,811.099,8101.0,8101.0
2013-11-01,821.951,8209.0,8209.0
2013-12-01,855.752,8547.0,8547.0
2014-01-01,755.411,14534.0,14534.0
2014-02-01,646.516,12439.0,12439.0
2014-03-01,749.205,14414.0,14414.0
2014-04-01,725.549,13959.0,13959.0
2014-05-01,750.242,14434.0,14434.0
2014-06-01,735.584,14152.0,14152.0
2014-07-01,753.465,14497.0,14497.0
2014-08-01,744.892,14332.0,14332.0
2014-09-01,703.402,13533.0,13533.0
2014-10-01,722.887,13908.0,13908.0
2014-11-01,709.668,13654.0,13654.0
2014-12-01,735.179,14144.0,14144.0
2015-01-01,820.584,8819.0,8819.0
2015-02-01,712.118,7654.0,7654.0
2015-03-01,787.299,8462.0,8462.0
2015-04-01,784.837,8435.0,8435.0
2015-05-01,810.259,8709.0,8709.0
2015-06-01,811.351,8720.0,8720.0
2015-07-01,898.069,9653.0,9653.0
2015-08-01,887.412,9538.0,9538.0
2015-09-01,821.147,8826.0,8826.0
2015-10-01,852.534,9163.0,9163.0
2015-11-01,858.589,9228.0,9228.0
2015-12-01,892.801,9596.0,9596.0
2016-01-01,171.2,4271.0,4271.0
2016-02-01,160.631,4007.0,4007.0
2016-03-01,169.425,4226.0,4226.0
2016-04-01,168.873,4213.0,4213.0
2016-05-01,176.24,4396.0,4396.0
2016-06-01,166.483,4153.0,4153.0
2016-07-01,172.665,4307.0,4307.0
2016-08-01,174.792,4360.0,4360.0
2016-09-01,164.641,4107.0,4107.0
2016-10-01,161.232,4022.0,4022.0
2016-11-01,170.834,4261.0,4261.0
2016-12-01,178.984,4465.0,4465.0
2017-01-01,520.203,12404.0,12404.0
2017-02-01,475.491,11338.0,11338.0
2017-03-01,513.404,12242.0,12242.0
2017-04-01,479.956,11445.0,11445.0
2017-05-01,505.184,12046.0,12046.0
2017-06-01,496.705,11844.0,11844.0
2017-07-01,509.189,12141.0,12141.0
2017-08-01,511.562,12198.0,12198.0
2017-09-01,473.3,11285.0,11285.0
2017-10-01,484.512,11553.0,11553.0
2017-11-01,504.556,12031.0,12031.0
2017-12-01,524.938,12517.0,12517.0
2018-01-01,117.894,1908.0,1908.0
2018-02-01,110.966,1797.0,1797.0
2018-03-01,119.765,1939.0,1939.0
2018-04-01,111.897,1812.0,1812.0
2018-05-01,112.574,1823.0,1823.0
2018-06-01,114.019,1846.0,1846.0
2018-07-01,117.324,1900.0,1900.0
2018-08-01,117.797,1907.0,1907.0
2018-09-01,106.529,1725.0,1725.0
2018-10-01,116.489,1886.0,1886.0
2018-11-01,115.702,1873.0,1873.0
2018-12-01,121.044,1960.0,1960.0
2019-01-01,38.896,327.0,327.0
2019-02-01,35.024,294.0,294.0
2019-03-01,37.646,316.0,316.0
2019-04-01,35.506,298.0,298.0
2019-05-01,36.713,309.0,309.0
2019-06-01,37.037,311.0,311.0
2019-07-01,38.149,320.0,320.0
2019-08-01,38.718,325.0,325.0
2019-09-01,36.327,305.0,305.0
2019-10-01,37.306,314.0,314.0
2019-11-01,36.693,308.0,308.0
2019-12-01,38.985,328.0,328.0
2020-01-01,95.566,2131.0,2131.0
2020-02-01,87.48,1951.0,1951.0
2020-03-01,96.244,2147.0,2147.0
2020-04-01,90.504,2019.0,2019.0
2020-05-01,93.301,2081.0,2081.0
2020-06-01,85.533,1908.0,1908.0
2020-07-01,91.788,2048.0,2048.0
2020-08-01,92.947,2074.0,2074.0
2020-09-01,87.275,1947.0,1947.0
2020-10-01,88.391,1972.0,1972.0
2020-11-01,86.647,1933.0,1933.0
2020-12-01,92.324,2060.0,2060.0
2021-01-01,201.117,1685.0,1685.0
2021-02-01,176.869,1482.0,1482.0
2021-03-01,200.982,1684.0,1684.0
2021-04-01,188.169,1577.0,1577.0
2021-05-01,193.131,1618.0,1618.0
2021-06-01,186.293,1561.0,1561.0
2021-07-01,190.814,1599.0,1599.0
2021-08-01,188.967,1583.0,1583.0
2021-09-01,184.621,1547.0,1547.0
2021-10-01,185.482,1554.0,1554.0
2021-11-01,178.724,1498.0,1498.0
2021-12-01,198.831,1666.0,1666.0
2022-01-01,146.691,1653.0,1653.0
2022-02-01,133.674,1507.0,1507.0
2022-03-01,146.848,1656.0,1656.0
2022-04-01,138.328,1560.0,1560.0
2022-05-01,139.451,1571.0,1571.0
2022-06-01,140.783,1587.0,1587.0
2022-07-01,144.946,1634.0,1634.0
2022-08-01,142.548,1606.0,1606.0
2022-09-01,134.203,1512.0,1512.0
2022-10-01,139.396,1571.0,1571.0
2022-11-01,136.079,1534.0,1534.0
2022-12-01,141.053,1590.0,1590.0
2023-01-01,1.028,16.0,16.0
2023-02-01,0.914,18.0,18.0
2023-03-01,0.99,18.0,18.0
2023-04-01,0.918,18.0,18.0
2023-05-01,1.035,19.0,19.0
2023-06-01,1.003,19.0,19.0
2023-07-01,1.022,19.0,19.0
2023-08-01,1.022,19.0,19.0
2023-09-01,0.947,18.0,18.0
2023-10-01,1.016,19.0,19.0
2023-11-01,1.015,19.0,19.0
2023-12-01,1.09,21.0,21.0
2024-01-01,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0
