measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,122729.0,1350405.0,1350405.0,0.0,0.0,0.0,236.0,2721.0,2721.0,253.0,1845.0,1845.0,,,,96.0,936.0,936.0
2003-02-01,109590.0,1206101.0,1206101.0,0.0,0.0,0.0,347.0,4067.0,4067.0,202.0,1494.0,1494.0,,,,2842.0,28210.0,28210.0
2003-03-01,116660.0,1301648.0,1301648.0,0.0,0.0,0.0,261.0,3077.0,3077.0,264.0,1962.0,1962.0,,,,3368.0,33618.0,33618.0
2003-04-01,71321.0,775975.0,775975.0,0.0,0.0,0.0,314.0,3637.0,3637.0,843.0,6165.0,6165.0,,,,2385.0,23400.0,23400.0
2003-05-01,95176.0,1084853.0,1084853.0,0.0,0.0,0.0,360.0,4594.0,4594.0,301.0,2421.0,2421.0,,,,2192.0,23660.0,23660.0
2003-06-01,99520.0,1112462.0,1112462.0,0.0,0.0,0.0,336.0,3963.0,3963.0,233.0,1737.0,1737.0,,,,1825.0,18226.0,18226.0
2003-07-01,112522.0,1453416.0,1453416.0,0.0,0.0,0.0,342.0,4166.0,4166.0,289.0,2250.0,2250.0,,,,0.0,0.0,0.0
2003-08-01,111821.0,1239860.0,1239860.0,0.0,0.0,0.0,369.0,4465.0,4465.0,192.0,1640.0,1640.0,,,,0.0,0.0,0.0
2003-09-01,56384.0,685261.0,685261.0,0.0,0.0,0.0,167.0,2218.0,2218.0,253.0,2370.0,2370.0,,,,962.0,10894.0,10894.0
2003-10-01,18279.0,179841.0,179841.0,0.0,0.0,0.0,139.0,1504.0,1504.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-11-01,57748.0,525951.0,525951.0,0.0,0.0,0.0,690.0,6323.0,6323.0,243.0,1580.0,1580.0,,,,1304.0,10218.0,10218.0
2003-12-01,99307.0,1121113.0,1121113.0,0.0,0.0,0.0,437.0,4888.0,4888.0,498.0,4020.0,4020.0,,,,2078.0,20254.0,20254.0
2004-01-01,97782.0,1104767.0,1104767.0,0.0,0.0,0.0,431.0,5011.0,5011.0,166.0,1390.0,1390.0,,,,3227.0,36337.0,36337.0
2004-02-01,90836.0,1042222.0,1042222.0,0.0,0.0,0.0,263.0,3036.0,3036.0,75.0,620.0,620.0,,,,1788.0,20566.0,20566.0
2004-03-01,88623.0,973055.0,973055.0,0.0,0.0,0.0,352.0,3895.0,3895.0,510.0,4060.0,4060.0,,,,2497.0,28032.0,28032.0
2004-04-01,37902.0,471679.0,471679.0,0.0,0.0,0.0,36.0,450.0,450.0,81.0,740.0,740.0,,,,128.0,1634.0,1634.0
2004-05-01,22106.0,304101.0,304101.0,0.0,0.0,0.0,256.0,3603.0,3603.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
