measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,17199.0,236880.0,236880.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,3571.0,3571.0,983.0,16483.0,16483.0
2003-02-01,26715.0,367880.0,367880.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,3672.0,3672.0,408.0,6850.0,6850.0
2003-03-01,32071.0,454395.0,454395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1096.0,1096.0
2003-04-01,6367.0,102634.0,102634.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,2100.0,2100.0,106.0,1947.0,1947.0
2003-05-01,18842.0,272544.0,272544.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,5059.0,5059.0
2003-06-01,25717.0,362380.0,362380.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,4547.0,4547.0,217.0,3722.0,3722.0
2003-07-01,42955.0,597775.0,597775.0,0.0,0.0,0.0,0.0,0.0,0.0,2617.0,34658.0,34658.0,185.0,3036.0,3036.0
2003-08-01,40706.0,572416.0,572416.0,0.0,0.0,0.0,0.0,0.0,0.0,4320.0,57486.0,57486.0,110.0,1793.0,1793.0
2003-09-01,14515.0,220193.0,220193.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.0,12794.0,12794.0
2003-10-01,5709.0,88383.0,88383.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,9.0,151.0,151.0
2003-11-01,-457.0,0.0,0.0,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,13892.0,211746.0,211746.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,4351.0,4351.0
2004-01-01,41388.105,549641.0,549641.0,0.0,0.0,0.0,0.0,0.0,0.0,174.405,2415.0,2415.0,720.565,11539.0,11539.0
2004-02-01,30864.233,409882.0,409882.0,0.0,0.0,0.0,0.0,0.0,0.0,78.568,1088.0,1088.0,318.738,5104.0,5104.0
2004-03-01,23442.927,311326.0,311326.0,0.0,0.0,0.0,0.0,0.0,0.0,122.391,1695.0,1695.0,323.611,5182.0,5182.0
2004-04-01,17056.82,226517.0,226517.0,0.0,0.0,0.0,0.0,0.0,0.0,105.6,1462.0,1462.0,367.071,5878.0,5878.0
2004-05-01,17329.594,230140.0,230140.0,0.0,0.0,0.0,0.0,0.0,0.0,540.113,7479.0,7479.0,508.085,8137.0,8137.0
2004-06-01,27802.462,369221.0,369221.0,0.0,0.0,0.0,0.0,0.0,0.0,386.394,5351.0,5351.0,609.265,9757.0,9757.0
2004-07-01,33800.533,448877.0,448877.0,0.0,0.0,0.0,0.0,0.0,0.0,740.7,10257.0,10257.0,517.04,8280.0,8280.0
2004-08-01,31153.237,413720.0,413720.0,0.0,0.0,0.0,0.0,0.0,0.0,531.522,7360.0,7360.0,537.219,8603.0,8603.0
2004-09-01,26891.507,357124.0,357124.0,0.0,0.0,0.0,0.0,0.0,0.0,273.546,3788.0,3788.0,595.489,9536.0,9536.0
2004-10-01,25333.892,336438.0,336438.0,0.0,0.0,0.0,0.0,0.0,0.0,152.032,2105.0,2105.0,610.672,9780.0,9780.0
2004-11-01,31281.206,415419.0,415419.0,0.0,0.0,0.0,0.0,0.0,0.0,124.66600000000001,1726.0,1726.0,294.478,4716.0,4716.0
2004-12-01,28037.485,372342.0,372342.0,0.0,0.0,0.0,0.0,0.0,0.0,172.062,2383.0,2383.0,718.769,11511.0,11511.0
2005-01-01,28469.896,393885.7,393885.7,0.0,0.0,0.0,,,,131.693,1892.09,1892.09,471.11,7665.02,7665.02
2005-02-01,24787.772,342942.92,342942.92,0.0,0.0,0.0,,,,105.35600000000001,1513.69,1513.69,376.891,6132.07,6132.07
2005-03-01,25717.245,355802.32,355802.32,0.0,0.0,0.0,,,,146.2,2100.52,2100.52,523.0070000000001,8509.38,8509.38
2005-04-01,22919.124,317089.86,317089.86,0.0,0.0,0.0,,,,138.782,1993.93,1993.93,496.46700000000004,8077.58,8077.58
2005-05-01,25160.59,348100.91,348100.91,0.0,0.0,0.0,,,,132.708,1906.67,1906.67,474.74100000000004,7724.08,7724.08
2005-06-01,28023.68,387712.23,387712.23,0.0,0.0,0.0,,,,250.515,3599.25,3599.25,896.175,14580.86,14580.86
2005-07-01,29623.995000000003,409852.84,409852.84,0.0,0.0,0.0,,,,329.791,4738.24,4738.24,1179.7720000000002,19195.02,19195.02
2005-08-01,29953.59,414412.86,414412.86,0.0,0.0,0.0,,,,327.615,4706.97,4706.97,1171.986,19068.33,19068.33
2005-09-01,27449.969,379774.84,379774.84,0.0,0.0,0.0,,,,198.35,2849.77,2849.77,709.562,11544.65,11544.65
2005-10-01,25921.354,358626.2,358626.2,0.0,0.0,0.0,,,,140.642,2020.66,2020.66,503.122,8185.84,8185.84
2005-11-01,25272.119,349643.92,349643.92,0.0,0.0,0.0,,,,123.26100000000001,1770.94,1770.94,440.946,7174.24,7174.24
2005-12-01,28223.665,390479.05,390479.05,0.0,0.0,0.0,,,,154.08700000000002,2213.83,2213.83,551.221,8968.43,8968.43
2006-01-01,27953.174,387555.0,387555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,12.0,12.0,338.437,4811.0,4811.0
2006-02-01,26622.33,369103.0,369103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,14.0,14.0,382.572,5438.0,5438.0
2006-03-01,27203.095,377155.0,377155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198,18.0,18.0,504.13800000000003,7166.0,7166.0
2006-04-01,23143.777000000002,320875.0,320875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,15.0,15.0,417.192,5930.0,5930.0
2006-05-01,24733.288,342913.0,342913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216,20.0,20.0,549.549,7812.0,7812.0
2006-06-01,26794.806,371494.0,371494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,25.0,25.0,707.8810000000001,10063.0,10063.0
2006-07-01,30479.043,422574.0,422574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497,45.0,45.0,1266.73,18007.0,18007.0
2006-08-01,30698.966,425623.0,425623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.442,40.0,40.0,1125.601,16001.0,16001.0
2006-09-01,25507.136,353642.0,353642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,24.0,24.0,662.101,9412.0,9412.0
2006-10-01,26383.115,365787.0,365787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28200000000000003,26.0,26.0,717.187,10195.0,10195.0
2006-11-01,26086.48,361674.0,361674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,17.0,17.0,482.15900000000005,6854.0,6854.0
2006-12-01,28240.79,391542.0,391542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,17.0,17.0,489.452,6958.0,6958.0
2007-01-01,29481.334000000003,415887.0,415887.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,387.666,5469.0,5469.0
2007-02-01,25681.513,358744.0,358744.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,438.487,6125.0,6125.0
2007-03-01,17896.547,243062.0,243062.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,202.453,2750.0,2750.0
2007-04-01,10697.53,151888.0,151888.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,181.47,2577.0,2577.0
2007-05-01,24245.082000000002,346230.0,346230.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,347.918,4968.0,4968.0
2007-06-01,31213.897,449726.0,449726.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,108.10300000000001,1558.0,1558.0
2007-07-01,39513.615,564844.0,564844.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,203.385,2907.0,2907.0
2007-08-01,45142.325,648538.0,648538.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,85.675,1231.0,1231.0
2007-09-01,35159.551,516007.0,516007.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,103.449,1518.0,1518.0
2007-10-01,10608.385,154725.0,154725.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,272.615,3976.0,3976.0
2007-11-01,12984.373,195622.0,195622.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,93.62700000000001,1411.0,1411.0
2007-12-01,32507.014,445718.0,445718.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,211.98600000000002,2907.0,2907.0
2008-01-01,38442.017,539295.0,539295.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,425.983,5976.0,5976.0
2008-02-01,31374.21,456314.0,456314.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1607.79,23384.0,23384.0
2008-03-01,36497.527,510624.0,510624.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,140.473,1965.0,1965.0
2008-04-01,16179.778,224006.0,224006.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,392.22200000000004,5430.0,5430.0
2008-05-01,28533.529000000002,379710.0,379710.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,374.471,4983.0,4983.0
2008-06-01,37836.983,509235.0,509235.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,454.017,6110.0,6110.0
2008-07-01,41508.143,567826.0,567826.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,361.857,4950.0,4950.0
2008-08-01,29095.828999999998,416891.0,416891.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,369.171,5290.0,5290.0
2008-09-01,18285.205,267120.0,267120.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,139.79500000000002,2042.0,2042.0
2008-10-01,19885.974000000002,285391.0,285391.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,634.0260000000001,9099.0,9099.0
2008-11-01,11568.423,175066.0,175066.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,61.577000000000005,932.0,932.0
