measured_on,"Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,10122.0,156471.0,156471.0,7385.0,114170.0,114170.0
2003-02-01,4434.0,59326.0,59326.0,9483.0,126899.0,126899.0
2003-03-01,10375.0,186336.0,186336.0,5629.0,101087.0,101087.0
2003-04-01,6462.0,78678.0,78678.0,8330.0,101410.0,101410.0
2003-05-01,7496.0,106170.0,106170.0,7388.0,104628.0,104628.0
2003-06-01,9487.0,121036.0,121036.0,12327.0,157282.0,157282.0
2003-07-01,7845.0,98685.0,98685.0,14258.0,179373.0,179373.0
2003-08-01,5426.0,67197.0,67197.0,15894.0,196832.0,196832.0
2003-09-01,4492.0,41871.0,41871.0,18073.0,168442.0,168442.0
2003-10-01,10340.0,129440.0,129440.0,7997.0,100118.0,100118.0
2003-11-01,12445.0,203267.0,203267.0,5892.0,96235.0,96235.0
2003-12-01,2787.0,37306.0,37306.0,7143.0,95609.0,95609.0
2004-01-01,2955.0,53918.0,53918.0,7785.0,142041.0,142041.0
2004-02-01,3599.0,43305.0,43305.0,10313.0,124072.0,124072.0
2004-03-01,6975.0,91430.0,91430.0,9916.0,129991.0,129991.0
2004-04-01,6324.0,92256.0,92256.0,9610.0,140178.0,140178.0
2004-05-01,7710.0,128624.0,128624.0,6723.0,112160.0,112160.0
2004-06-01,7472.0,81088.0,81088.0,14285.0,155015.0,155015.0
2004-07-01,8261.0,96085.0,96085.0,13435.0,156267.0,156267.0
2004-08-01,10181.0,150976.0,150976.0,10423.0,154561.0,154561.0
2004-09-01,9769.0,141738.0,141738.0,8293.0,120332.0,120332.0
2004-10-01,12175.0,254490.0,254490.0,5158.0,107819.0,107819.0
2004-11-01,12018.0,200723.0,200723.0,7126.0,119019.0,119019.0
2004-12-01,9382.0,146224.0,146224.0,8442.0,131560.0,131560.0
2005-01-01,10683.0,141000.4,141000.4,12012.0,158534.03,158534.03
2005-02-01,10961.0,112081.2,112081.2,11734.0,119989.24,119989.24
2005-03-01,10846.0,126913.02,126913.02,11373.0,133070.72,133070.72
2005-04-01,134.0,1760.23,1760.23,9632.0,126232.49,126232.49
2005-05-01,6686.0,121921.17,121921.17,7347.0,133979.57,133979.57
2005-06-01,4918.0,98125.8,98125.8,7052.0,140698.55,140698.55
2005-07-01,4147.0,72688.46,72688.46,8790.0,154049.42,154049.42
2005-08-01,1893.0,26051.11,26051.11,11559.0,159044.27,159044.27
2005-09-01,4566.0,93851.09,93851.09,5332.0,109573.52,109573.52
2005-10-01,4032.0,102835.74,102835.74,3808.0,97122.13,97122.13
2005-11-01,4210.0,96434.33,96434.33,4109.0,95994.24,95994.24
2005-12-01,2783.0,47139.89,47139.89,5519.0,93469.74,93469.74
2006-01-01,4623.0,63446.0,63446.0,7171.0,98425.0,98425.0
2006-02-01,9604.0,103628.0,103628.0,7923.0,85492.0,85492.0
2006-03-01,4783.0,67877.0,67877.0,9384.0,133152.0,133152.0
2006-04-01,8520.0,115049.0,115049.0,8389.0,113273.0,113273.0
2006-05-01,5288.0,73533.0,73533.0,10094.0,140372.0,140372.0
2006-06-01,3037.0,32940.0,32940.0,15755.0,170863.0,170863.0
2006-07-01,3967.0,50447.0,50447.0,14410.0,183241.0,183241.0
2006-08-01,181.0,2410.0,2410.0,17569.0,233568.0,233568.0
2006-09-01,3744.0,46573.0,46573.0,16266.0,202348.0,202348.0
2006-10-01,4075.0,55203.0,55203.0,10013.0,135653.0,135653.0
2006-11-01,3751.0,49953.0,49953.0,10745.0,143078.0,143078.0
2006-12-01,4319.0,64207.0,64207.0,9777.0,145367.0,145367.0
2007-01-01,7993.924,147995.0,147995.0,7050.076,130521.0,130521.0
2007-02-01,7.29,91.0,91.0,8809.71,110450.0,110450.0
2007-03-01,10700.02,193056.0,193056.0,5936.98,107119.0,107119.0
2007-04-01,10819.413,163907.0,163907.0,5160.587,78179.0,78179.0
2007-05-01,10693.88,182962.0,182962.0,4162.121,71210.0,71210.0
2007-06-01,8983.37,156323.0,156323.0,7872.63,136994.0,136994.0
2007-07-01,8279.597,105540.0,105540.0,13836.402,176372.0,176372.0
2007-08-01,5447.388,73374.0,73374.0,17690.612,238284.0,238284.0
2007-09-01,6405.0160000000005,86522.0,86522.0,15109.984,204112.0,204112.0
2007-10-01,9729.264000000001,145491.0,145491.0,8760.736,131008.0,131008.0
2007-11-01,7846.223,117732.0,117732.0,9462.777,141988.0,141988.0
2007-12-01,12354.25,153729.0,153729.0,8190.75,101921.0,101921.0
2008-01-01,11990.251,146070.0,146070.0,9154.749,111527.0,111527.0
2008-02-01,11079.345,138788.0,138788.0,8911.655,111634.0,111634.0
2008-03-01,12322.093,166488.0,166488.0,8208.907000000001,110913.0,110913.0
2008-04-01,6792.228,104945.0,104945.0,8439.772,130401.0,130401.0
2008-05-01,12199.278,180462.0,180462.0,7461.722000000001,110380.0,110380.0
2008-06-01,10766.642,131568.0,131568.0,9765.358,119332.0,119332.0
2008-07-01,15225.324,498065.0,498065.0,4131.026,135138.0,135138.0
2008-08-01,16568.095,539396.0,539396.0,5364.575,174651.0,174651.0
2008-09-01,11251.193,399005.0,399005.0,5496.827,194936.0,194936.0
2008-10-01,11855.373,413357.0,413357.0,4051.657,141268.0,141268.0
2008-11-01,8754.412,339227.0,339227.0,4890.578,189506.0,189506.0
2008-12-01,11387.667,393099.0,393099.0,6812.443,235163.0,235163.0
2009-01-01,8338.357,304324.0,304324.0,7479.433,272976.0,272976.0
2009-02-01,8213.393,347922.0,347922.0,3643.887,154356.0,154356.0
2009-03-01,8842.232,319137.0,319137.0,5522.4980000000005,199320.0,199320.0
2009-04-01,7615.796,261045.0,261045.0,7215.504,247324.0,247324.0
2009-05-01,2176.079,112083.0,112083.0,3259.801,167902.0,167902.0
2009-06-01,166.256,18944.0,18944.0,772.7040000000001,88047.0,88047.0
2009-07-01,8204.371000000001,306890.0,306890.0,6653.119000000001,248864.0,248864.0
2009-08-01,14485.204000000002,422973.0,422973.0,6690.866,195376.0,195376.0
