measured_on,"Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,16716.452,0.0,0.0
2003-02-01,14736.291000000001,0.0,0.0
2003-03-01,14634.902,0.0,0.0
2003-04-01,14759.719000000001,0.0,0.0
2003-05-01,17562.371,0.0,0.0
2003-06-01,18335.164,0.0,0.0
2003-07-01,20002.75,0.0,0.0
2003-08-01,21143.315,0.0,0.0
2003-09-01,17358.376,0.0,0.0
2003-10-01,15735.559000000001,0.0,0.0
2003-11-01,14899.423,0.0,0.0
2003-12-01,15409.678,0.0,0.0
2004-01-01,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0
2004-12-01,184658.9,1850651.0,1850651.0
2005-01-01,35723.651,357201.0,357201.0
2005-02-01,15638.539,156370.0,156370.0
2005-03-01,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0
2005-06-01,15778.689,157771.0,157771.0
2005-07-01,15516.59,155150.0,155150.0
2005-08-01,56695.164000000004,566895.0,566895.0
2005-09-01,14408.133,144067.0,144067.0
2005-10-01,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0
2005-12-01,23539.714,235374.0,235374.0
2006-01-01,14959.488000000001,148383.0,148383.0
2006-02-01,13769.688,136582.0,136582.0
2006-03-01,17365.875,172252.0,172252.0
2006-04-01,15581.66,154554.0,154554.0
2006-05-01,16745.095,166095.0,166095.0
2006-06-01,13981.778,138685.0,138685.0
2006-07-01,15996.756000000001,158672.0,158672.0
2006-08-01,15204.445,150813.0,150813.0
2006-09-01,15414.41,152896.0,152896.0
2006-10-01,16724.58,165891.0,165891.0
2006-11-01,16532.769,163989.0,163989.0
2006-12-01,15911.216,157823.0,157823.0
2007-01-01,17213.651,170140.0,170140.0
2007-02-01,14917.106,147441.0,147441.0
2007-03-01,12260.417,121182.0,121182.0
2007-04-01,12391.576000000001,122478.0,122478.0
2007-05-01,12141.215,120004.0,120004.0
2007-06-01,16993.108,167960.0,167960.0
2007-07-01,13106.762,129547.0,129547.0
2007-08-01,12329.853,121868.0,121868.0
2007-09-01,12655.952000000001,125091.0,125091.0
2007-10-01,23209.153,229399.0,229399.0
2007-11-01,11118.716,109897.0,109897.0
2007-12-01,30580.66,302259.0,302259.0
2008-01-01,10461.204,103085.0,103085.0
2008-02-01,17149.754,168994.0,168994.0
2008-03-01,9473.489,93352.0,93352.0
2008-04-01,13641.313,134421.0,134421.0
2008-05-01,17935.893,176740.0,176740.0
2008-06-01,16705.194,164613.0,164613.0
2008-07-01,19351.555,190690.0,190690.0
2008-08-01,18394.315000000002,181258.0,181258.0
2008-09-01,9719.288,95774.0,95774.0
2008-10-01,7003.365000000001,69011.0,69011.0
2008-11-01,10550.346,103963.0,103963.0
2008-12-01,13810.284,136087.0,136087.0
2009-01-01,12539.052,122381.0,122381.0
2009-02-01,13447.778,131250.0,131250.0
2009-03-01,6573.7390000000005,64160.0,64160.0
2009-04-01,9216.066,89949.0,89949.0
2009-05-01,15535.963,151631.0,151631.0
2009-06-01,15937.333,155548.0,155548.0
2009-07-01,14850.298999999999,144939.0,144939.0
2009-08-01,11243.404,109736.0,109736.0
2009-09-01,9909.645,96718.0,96718.0
2009-10-01,16348.486,159561.0,159561.0
2009-11-01,15900.629,155190.0,155190.0
2009-12-01,15858.606,154780.0,154780.0
2010-01-01,12920.596,126053.0,126053.0
2010-02-01,7373.073,71932.0,71932.0
2010-03-01,13819.050000000001,134819.0,134819.0
2010-04-01,9062.936,88418.0,88418.0
2010-05-01,10893.189,106274.0,106274.0
2010-06-01,16538.706,161352.0,161352.0
2010-07-01,12850.239,125367.0,125367.0
2010-08-01,17721.733,172893.0,172893.0
2010-09-01,18596.572,181428.0,181428.0
2010-10-01,13865.241,135269.0,135269.0
2010-11-01,10315.023,100633.0,100633.0
2010-12-01,14252.642,139049.0,139049.0
2011-01-01,12236.715,118892.0,118892.0
2011-02-01,13336.529,129578.0,129578.0
2011-03-01,14287.562,138818.0,138818.0
2011-04-01,12863.345,124980.0,124980.0
2011-05-01,8429.2,81898.0,81898.0
2011-06-01,12199.857,118534.0,118534.0
2011-07-01,12702.957,123422.0,123422.0
2011-08-01,13672.298,132840.0,132840.0
2011-09-01,14878.922,144564.0,144564.0
2011-10-01,15417.775,149799.0,149799.0
2011-11-01,13741.524,133513.0,133513.0
2011-12-01,10612.316,103109.0,103109.0
2012-01-01,10971.818,104408.0,104408.0
2012-02-01,11991.256,114109.0,114109.0
2012-03-01,9514.978,90545.0,90545.0
2012-04-01,11192.003,106503.0,106503.0
2012-05-01,13836.095,131664.0,131664.0
2012-06-01,12842.029,122205.0,122205.0
2012-07-01,12613.316,120028.0,120028.0
2012-08-01,11687.582,111219.0,111219.0
2012-09-01,12493.012,118884.0,118884.0
2012-10-01,12204.359,116137.0,116137.0
2012-11-01,14344.287,136500.0,136500.0
2012-12-01,11261.265,107162.0,107162.0
2013-01-01,12472.785,119003.0,119003.0
2013-02-01,12828.816,122400.0,122400.0
2013-03-01,14226.526,135735.0,135735.0
2013-04-01,13387.035,127726.0,127726.0
2013-05-01,12603.504,120250.0,120250.0
2013-06-01,8362.331,79785.0,79785.0
2013-07-01,10609.458,101225.0,101225.0
2013-08-01,11475.25,109485.0,109485.0
2013-09-01,14581.383,139121.0,139121.0
2013-10-01,17665.281,168544.0,168544.0
2013-11-01,15723.029,150013.0,150013.0
2013-12-01,15921.602,151908.0,151908.0
2014-01-01,1281.61,12188.0,12188.0
2014-02-01,1148.652,10924.0,10924.0
2014-03-01,1106.16,10520.0,10520.0
2014-04-01,1436.501,13661.0,13661.0
2014-05-01,2979.284,28333.0,28333.0
2014-06-01,2988.285,28419.0,28419.0
2014-07-01,2783.504,26471.0,26471.0
2014-08-01,26917.573,255986.0,255986.0
2014-09-01,20656.841,196447.0,196447.0
2014-10-01,26200.14,249163.0,249163.0
2014-11-01,26839.505,255244.0,255244.0
2014-12-01,37595.945,357537.0,357537.0
2015-01-01,9434.229,87918.0,87918.0
2015-02-01,10081.184,93947.0,93947.0
2015-03-01,9619.593,89645.0,89645.0
2015-04-01,8066.264,75170.0,75170.0
2015-05-01,13380.821,124696.0,124696.0
2015-06-01,13006.011,121203.0,121203.0
2015-07-01,13677.245,127458.0,127458.0
2015-08-01,11950.169,111364.0,111364.0
2015-09-01,9366.777,87289.0,87289.0
2015-10-01,14861.36,138493.0,138493.0
2015-11-01,12912.13,120328.0,120328.0
2015-12-01,11975.217,111597.0,111597.0
