measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,17.0,274.0,274.0,,,,22.0,350.0,350.0
2003-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,92.0,1485.0,1485.0
2003-09-01,0.0,0.0,0.0,,,,14.0,248.0,248.0
2003-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,2.0,40.0,40.0
2003-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-01-01,4.2330000000000005,47.0,47.0,,,,28.851000000000003,325.0,325.0
2004-02-01,0.164,2.0,2.0,,,,11.987,135.0,135.0
2004-03-01,0.249,3.0,3.0,,,,23.375,263.0,263.0
2004-04-01,0.109,1.0,1.0,,,,8.749,98.0,98.0
2004-05-01,0.4,4.0,4.0,,,,14.589,164.0,164.0
2004-06-01,0.876,10.0,10.0,,,,13.976,157.0,157.0
2004-07-01,0.6990000000000001,8.0,8.0,,,,22.382,252.0,252.0
2004-08-01,0.145,2.0,2.0,,,,5.9910000000000005,67.0,67.0
2004-09-01,0.315,4.0,4.0,,,,10.827,122.0,122.0
2004-10-01,0.051000000000000004,1.0,1.0,,,,2.1510000000000002,24.0,24.0
2004-11-01,0.475,5.0,5.0,,,,6.533,73.0,73.0
2004-12-01,0.28400000000000003,3.0,3.0,,,,8.588000000000001,97.0,97.0
2005-01-01,,,,0.613,15.53,15.53,19.703,489.14,489.14
2005-02-01,,,,0.21,5.33,5.33,15.762,391.31,391.31
2005-03-01,,,,0.233,5.91,5.91,21.873,543.02,543.02
2005-04-01,,,,0.28300000000000003,7.16,7.16,20.763,515.46,515.46
2005-05-01,,,,0.262,6.65,6.65,19.854,492.91,492.91
2005-06-01,,,,0.341,8.63,8.63,37.48,930.47,930.47
2005-07-01,,,,0.34700000000000003,8.78,8.78,49.34,1224.91,1224.91
2005-08-01,,,,0.40700000000000003,10.32,10.32,49.014,1216.83,1216.83
2005-09-01,,,,0.267,6.76,6.76,29.675,736.71,736.71
2005-10-01,,,,0.29600000000000004,7.5,7.5,21.041,522.37,522.37
2005-11-01,,,,0.23800000000000002,6.03,6.03,18.441000000000003,457.82,457.82
2005-12-01,,,,0.503,12.75,12.75,23.053,572.31,572.31
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,5.756,154.0,154.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,6.507000000000001,174.0,174.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,8.575,229.0,229.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,7.096,190.0,190.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,9.347000000000001,250.0,250.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,12.04,322.0,322.0
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,21.546,576.0,576.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,19.145,512.0,512.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,11.262,301.0,301.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,12.199,326.0,326.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,8.201,219.0,219.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,8.325,223.0,223.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-12.459000000000001,71.0,71.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-13.77,78.0,78.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-13.1,74.0,74.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-6.321000000000001,36.0,36.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-4.102,23.0,23.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-7.093,40.0,40.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-13.738000000000001,77.0,77.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,-11.829,67.0,67.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-7.186,41.0,41.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-12.446,70.0,70.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-4.91,28.0,28.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-8.046000000000001,46.0,46.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,78.236,1656.0,1656.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,59.417,1256.0,1256.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,57.657000000000004,1220.0,1220.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,70.865,1499.0,1499.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,36.733000000000004,777.0,777.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,63.817,1350.0,1350.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,33.551,710.0,710.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,71.38300000000001,1510.0,1510.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,62.418000000000006,1320.0,1320.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,46.957,993.0,993.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,45.756,968.0,968.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,61.21,1295.0,1295.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,7.8020000000000005,347.0,347.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,6.675000000000001,295.0,295.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,4.729,209.0,209.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2.391,105.0,105.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,4.037,178.0,178.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,6.236000000000001,275.0,275.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,11.114,491.0,491.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,11.089,489.0,489.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,3.257,144.0,144.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2.573,113.0,113.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,2.09,92.0,92.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,3.007,132.0,132.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.54,83.0,83.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.554,86.0,86.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.786,121.0,121.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.501,78.0,78.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.829,128.0,128.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.661,102.0,102.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1.499,232.0,232.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,1.055,163.0,163.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.292,45.0,45.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.657,102.0,102.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.742,115.0,115.0
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.884,137.0,137.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,12.929,409.0,409.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,17.487,554.0,554.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,13.973,442.0,442.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,14.687,465.0,465.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,21.255,673.0,673.0
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,21.7,687.0,687.0
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,30.812,976.0,976.0
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,17.453,553.0,553.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,9.063,287.0,287.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,5.231,165.0,165.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,10.897,345.0,345.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,10.513,332.0,332.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,3.284,288.0,288.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,2.817,248.0,248.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,3.568,315.0,315.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,3.249,286.0,286.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2.046,181.0,181.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,2.846,251.0,251.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,4.27,377.0,377.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4.368,385.0,385.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,2.8,247.0,247.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2.859,252.0,252.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,2.498,221.0,221.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,2.395,211.0,211.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,12.469,250.0,250.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,9.921,200.0,200.0
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,8.662,174.0,174.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,9.909,200.0,200.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,14.927,301.0,301.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,11.47,231.0,231.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,11.356,229.0,229.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,15.311,308.0,308.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,10.716,216.0,216.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,18.534,373.0,373.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,13.954,281.0,281.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,12.771,257.0,257.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,86.859,1459.0,1459.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,97.272,1633.0,1633.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,98.736,1657.0,1657.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,73.846,1240.0,1240.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,79.475,1335.0,1335.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,87.913,1476.0,1476.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,116.662,1959.0,1959.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,90.545,1520.0,1520.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,93.41,1568.0,1568.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,82.567,1386.0,1386.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,82.611,1387.0,1387.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,109.104,1831.0,1831.0
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,159.046,2692.0,2692.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,164.837,2790.0,2790.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,213.732,3619.0,3619.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,146.543,2480.0,2480.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,144.62,2449.0,2449.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,178.303,3018.0,3018.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,200.976,3402.0,3402.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,213.272,3610.0,3610.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,119.094,2016.0,2016.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,76.002,1287.0,1287.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,100.646,1704.0,1704.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,98.929,1674.0,1674.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,40.516,729.0,729.0
