measured_on,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed,Other Biomass Solids Generation,Other Biomass Solids Quantity Consumed For Electricity,Other Biomass Solids Total Fuel Consumed
2009-01-01,0.0,0.0,0.0,258.281,12512.0,12512.0
2009-02-01,0.0,0.0,0.0,321.118,15572.0,15572.0
2009-03-01,0.0,0.0,0.0,244.27100000000002,11849.0,11849.0
2009-04-01,0.0,0.0,0.0,310.99600000000004,15079.0,15079.0
2009-05-01,0.0,0.0,0.0,236.99200000000002,11492.0,11492.0
2009-06-01,0.0,0.0,0.0,263.223,12767.0,12767.0
2009-07-01,0.0,0.0,0.0,302.778,14688.0,14688.0
2009-08-01,0.0,0.0,0.0,324.814,15759.0,15759.0
2009-09-01,0.0,0.0,0.0,225.324,10931.0,10931.0
2009-10-01,0.0,0.0,0.0,340.54200000000003,16507.0,16507.0
2009-11-01,0.0,0.0,0.0,303.942,14739.0,14739.0
2009-12-01,0.0,0.0,0.0,343.22900000000004,16643.0,16643.0
2010-01-01,,,,315.402,181186.0,181186.0
2010-02-01,,,,262.218,150620.0,150620.0
2010-03-01,,,,282.997,162554.0,162554.0
2010-04-01,,,,293.515,168589.0,168589.0
2010-05-01,,,,258.458,148461.0,148461.0
2010-06-01,,,,349.007,200464.0,200464.0
2010-07-01,,,,284.26,163285.0,163285.0
2010-08-01,,,,279.096,160310.0,160310.0
2010-09-01,,,,298.21700000000004,171292.0,171292.0
2010-10-01,,,,268.055,153969.0,153969.0
2010-11-01,,,,416.487,239224.0,239224.0
2010-12-01,,,,391.788,225046.0,225046.0
2011-01-01,,,,330.801,15929.0,15929.0
2011-02-01,,,,252.74,12172.0,12172.0
2011-03-01,,,,323.036,15555.0,15555.0
2011-04-01,,,,365.279,17578.0,17578.0
2011-05-01,,,,274.64,13226.0,13226.0
2011-06-01,,,,311.108,14977.0,14977.0
2011-07-01,,,,302.701,14569.0,14569.0
2011-08-01,,,,273.217,13158.0,13158.0
2011-09-01,,,,265.92,12801.0,12801.0
2011-10-01,,,,121.483,5848.0,5848.0
2011-11-01,,,,343.106,16524.0,16524.0
2011-12-01,,,,366.969,17663.0,17663.0
2012-01-01,281.168,14960.0,14960.0,,,
2012-02-01,220.147,11713.0,11713.0,,,
2012-03-01,360.251,19159.0,19159.0,,,
2012-04-01,227.739,12104.0,12104.0,,,
2012-05-01,248.234,13192.0,13192.0,,,
2012-06-01,289.216,15385.0,15385.0,,,
2012-07-01,323.744,17221.0,17221.0,,,
2012-08-01,211.137,11220.0,11220.0,,,
2012-09-01,303.381,16133.0,16133.0,,,
2012-10-01,266.954,14195.0,14195.0,,,
2012-11-01,184.588,9809.0,9809.0,,,
2012-12-01,280.441,14909.0,14909.0,,,
2013-01-01,253.051,6570.0,6570.0,,,
2013-02-01,218.291,5668.0,5668.0,,,
2013-03-01,189.999,4933.0,4933.0,,,
2013-04-01,176.2,4575.0,4575.0,,,
2013-05-01,228.288,5928.0,5928.0,,,
2013-06-01,165.71,4302.0,4302.0,,,
2013-07-01,236.589,6143.0,6143.0,,,
2013-08-01,253.463,6581.0,6581.0,,,
2013-09-01,335.97,8723.0,8723.0,,,
2013-10-01,169.755,4407.0,4407.0,,,
2013-11-01,270.158,7015.0,7015.0,,,
2013-12-01,260.526,6765.0,6765.0,,,
2014-01-01,219.071,2663.0,2663.0,,,
2014-02-01,189.68,2306.0,2306.0,,,
2014-03-01,209.578,2547.0,2547.0,,,
2014-04-01,201.644,2451.0,2451.0,,,
2014-05-01,210.594,2560.0,2560.0,,,
2014-06-01,188.857,2295.0,2295.0,,,
2014-07-01,152.398,1852.0,1852.0,,,
2014-08-01,162.576,1976.0,1976.0,,,
2014-09-01,152.019,1847.0,1847.0,,,
2014-10-01,21.272,259.0,259.0,,,
2014-11-01,32.139,390.0,390.0,,,
2014-12-01,166.172,2020.0,2020.0,,,
2015-01-01,167.828,1708.0,1708.0,,,
2015-02-01,141.526,1440.0,1440.0,,,
2015-03-01,172.286,1753.0,1753.0,,,
2015-04-01,191.58,1949.0,1949.0,,,
2015-05-01,206.001,2096.0,2096.0,,,
2015-06-01,189.603,1930.0,1930.0,,,
2015-07-01,216.198,2200.0,2200.0,,,
2015-08-01,195.507,1989.0,1989.0,,,
2015-09-01,212.685,2165.0,2165.0,,,
2015-10-01,197.778,2013.0,2013.0,,,
2015-11-01,187.527,1908.0,1908.0,,,
2015-12-01,178.481,1817.0,1817.0,,,
2016-01-01,227.702,6353.0,6353.0,,,
2016-02-01,230.031,6419.0,6419.0,,,
2016-03-01,246.823,6888.0,6888.0,,,
2016-04-01,243.141,6784.0,6784.0,,,
2016-05-01,257.606,7188.0,7188.0,,,
2016-06-01,217.62,6073.0,6073.0,,,
2016-07-01,244.38,6819.0,6819.0,,,
2016-08-01,225.441,6291.0,6291.0,,,
2016-09-01,209.921,5857.0,5857.0,,,
2016-10-01,199.255,5560.0,5560.0,,,
2016-11-01,229.905,6415.0,6415.0,,,
2016-12-01,231.175,6451.0,6451.0,,,
2017-01-01,199.582,7263.0,7263.0,,,
2017-02-01,180.237,6559.0,6559.0,,,
2017-03-01,196.531,7152.0,7152.0,,,
2017-04-01,187.177,6812.0,6812.0,,,
2017-05-01,201.87,7346.0,7346.0,,,
2017-06-01,185.536,6752.0,6752.0,,,
2017-07-01,178.356,6491.0,6491.0,,,
2017-08-01,179.504,6533.0,6533.0,,,
2017-09-01,171.162,6229.0,6229.0,,,
2017-10-01,184.549,6716.0,6716.0,,,
2017-11-01,177.224,6450.0,6450.0,,,
2017-12-01,191.272,6961.0,6961.0,,,
2018-01-01,229.816,7854.0,7854.0,,,
2018-02-01,202.56,6922.0,6922.0,,,
2018-03-01,218.123,7454.0,7454.0,,,
2018-04-01,217.119,7419.0,7419.0,,,
2018-05-01,228.151,7796.0,7796.0,,,
2018-06-01,204.723,6996.0,6996.0,,,
2018-07-01,210.345,7188.0,7188.0,,,
2018-08-01,200.488,6851.0,6851.0,,,
2018-09-01,190.977,6526.0,6526.0,,,
2018-10-01,221.236,7560.0,7560.0,,,
2018-11-01,215.162,7353.0,7353.0,,,
2018-12-01,222.3,7596.0,7596.0,,,
2019-01-01,161.611,7221.0,7221.0,,,
2019-02-01,145.423,6497.0,6497.0,,,
2019-03-01,165.245,7382.0,7382.0,,,
2019-04-01,152.913,6831.0,6831.0,,,
2019-05-01,162.186,7246.0,7246.0,,,
2019-06-01,149.758,6690.0,6690.0,,,
