measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2022-01-01,32.821,308.0,308.0
2022-02-01,15.086,143.0,143.0
2022-03-01,21.181,200.0,200.0
2022-04-01,16.061,154.0,154.0
2022-05-01,27.269,257.0,257.0
2022-06-01,23.126,222.0,222.0
2022-07-01,21.408,205.0,205.0
2022-08-01,10.491,103.0,103.0
2022-09-01,29.224,279.0,279.0
2022-10-01,24.403,234.0,234.0
2022-11-01,30.076,285.0,285.0
2022-12-01,35.994,342.0,342.0
2023-01-01,49.637,462.0,462.0
2023-02-01,22.755,211.0,211.0
2023-03-01,44.959,416.0,416.0
2023-04-01,99.337,923.0,923.0
2023-05-01,56.512,524.0,524.0
2023-06-01,43.865,410.0,410.0
2023-07-01,49.435,462.0,462.0
2023-08-01,64.65,604.0,604.0
2023-09-01,63.717,593.0,593.0
2023-10-01,30.48,285.0,285.0
2023-11-01,50.99,473.0,473.0
2023-12-01,68.663,638.0,638.0
2024-01-01,38.651,403.0,403.0
2024-02-01,8.593,88.0,88.0
2024-03-01,8.867,95.0,95.0
2024-04-01,12.14,126.0,126.0
2024-05-01,17.226,176.0,176.0
2024-06-01,13.684,139.0,139.0
2024-07-01,11.963,126.0,126.0
2024-08-01,11.174,113.0,113.0
2024-09-01,11.522,120.0,120.0
2024-10-01,11.272,113.0,113.0
2024-11-01,9.23,95.0,95.0
2024-12-01,10.678,107.0,107.0
