measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,8318.743,138608.0,630642.0,6808.578,113444.0,516151.0,,,,,,
2003-02-01,7171.796,119497.0,543692.0,5869.845,97803.0,444986.0,,,,,,
2003-03-01,7013.086,116853.0,531660.0,5739.947,95639.0,435139.0,,,,,,
2003-04-01,6436.975,107254.0,487985.0,5268.4220000000005,87782.0,399393.0,,,,,,
2003-05-01,8090.769,134810.0,613359.0,6621.99,110335.0,502006.0,,,,,,
2003-06-01,8485.766,141391.0,643304.0,6945.28,115722.0,526514.0,,,,,,
2003-07-01,9394.626,156535.0,712204.0,7689.148,128116.0,582906.0,,,,,,
2003-08-01,9758.619,162600.0,739798.0,7987.063,133080.0,605490.0,,,,,,
2003-09-01,8154.08,135864.0,618159.0,6673.807000000001,111199.0,505934.0,,,,,,
2003-10-01,7272.112,121169.0,551297.0,5951.95,99171.0,451211.0,,,,,,
2003-11-01,7204.434,120041.0,546166.0,5896.558,98248.0,447011.0,,,,,,
2003-12-01,7973.994000000001,132864.0,604506.0,6526.414000000001,108743.0,494760.0,,,,,,
2004-01-01,6952.53898,36838.54,608002.5,5470.15175,28984.0,478367.1,111.16927,589.04,9721.8,,,
2004-02-01,6060.13305,32110.06,454352.82,6864.99132,36374.66,514696.32,70.64363,374.31,5296.44,,,
2004-03-01,6630.1057,35130.1,540996.61,6075.45457,32191.24,495738.75,65.02373,344.53,5305.74,,,
2004-04-01,6465.59561,34258.43,483149.48,7413.79891,39282.56,554005.12,94.42148,500.3,7055.76,,,
2004-05-01,7459.31344,39523.72,637592.47,6159.58254,32637.0,526496.64,98.58202999999999,522.34,8426.4,,,
2004-06-01,7608.05058,40311.81,651484.46,6277.74651,33263.1,537569.28,121.35591,643.01,10391.82,,,
2004-07-01,7885.5373,41782.1,713147.69,5754.16149,30488.85,520391.55,122.10321,646.97,11042.7,,,
2004-08-01,7577.44848,40149.67,670558.51,5765.90327,30551.06,510247.68,79.85425,423.11,7066.62,,,
