measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2004-01-01,1.24795,6.18,15.52,0.30305,1.5,3.77
2004-02-01,1.24795,6.18,15.52,0.30305,1.5,3.77
2004-03-01,1.24795,6.18,15.52,0.30305,1.5,3.77
2004-04-01,1.24795,6.18,15.52,0.30305,1.5,3.77
2004-05-01,1.24795,6.18,15.52,0.30305,1.5,3.77
2004-06-01,1.24795,6.18,15.52,0.30305,1.5,3.77
2004-07-01,1.24795,6.18,15.52,0.30305,1.5,3.77
2004-08-01,1.24795,6.18,15.52,0.30305,1.5,3.77
2004-09-01,1.24795,6.18,15.52,0.30305,1.5,3.77
2004-10-01,1.24795,6.18,15.52,0.30305,1.5,3.77
2004-11-01,1.24795,6.18,15.52,0.30305,1.5,3.77
2004-12-01,1.24795,6.18,15.52,0.30305,1.5,3.77
2005-01-01,982.33826,4859.32,14850.04,328.87474,1626.84,4971.61
2005-02-01,886.66207,4386.04,13403.71,280.48492999999996,1387.47,4240.1
2005-03-01,956.88765,4733.43,14465.32,313.34535,1550.02,4736.86
2005-04-01,961.48401,4756.16,14534.79,289.31199,1431.13,4373.54
2005-05-01,1056.00412,5223.72,15963.65,316.98788,1568.04,4791.92
2005-06-01,1356.37512,6709.56,20504.37,307.36188,1520.42,4646.4
2005-07-01,1736.86366,8591.72,26256.23,330.21634,1633.48,4991.89
2005-08-01,1799.9439,8903.76,27209.81,318.08910000000003,1573.49,4808.56
2005-09-01,1357.54156,6715.33,20522.01,302.84244,1498.07,4578.08
2005-10-01,1053.71466,5212.39,15929.04,261.35034,1292.82,3950.84
2005-11-01,940.16466,4650.7,14212.51,291.01234,1439.55,4399.25
2005-12-01,1072.70128,5306.31,16216.05,325.64272,1610.85,4922.75
2006-01-01,1056.08583,5224.13,16051.93,440.72717,2180.14,6698.81
2006-02-01,931.12417,4605.98,14152.57,394.71883,1952.55,5999.51
2006-03-01,1031.3464000000001,5101.75,15675.89,354.3696,1752.96,5386.22
2006-04-01,982.66886,4860.95,14936.02,322.18014,1593.72,4896.96
2006-05-01,1145.38118,5665.84,17409.16,374.95382,1854.78,5699.09
2006-06-01,1214.04847,6005.52,18452.87,255.01453,1261.48,3876.08
2006-07-01,1366.9649000000002,6761.95,20777.12,338.24510000000004,1673.19,5141.14
2006-08-01,1412.1578000000002,6985.5,21464.03,332.4712,1644.63,5053.38
2006-09-01,1149.83099,5687.85,17476.8,309.17001,1529.37,4699.21
2006-10-01,1205.35288,5962.5,18320.7,354.28712,1752.55,5384.97
2006-11-01,1018.18182,5036.63,15475.79,389.14418,1924.97,5914.77
2006-12-01,1141.77935,5648.02,17354.41,399.09465,1974.2,6066.02
2007-01-01,769.148,3729.0,11418.0,284.274,1378.0,4220.0
2007-02-01,576.748,2796.0,8561.0,349.892,1696.0,5194.0
2007-03-01,310.585,1506.0,4610.0,384.844,1866.0,5713.0
2007-04-01,569.804,2762.0,8458.0,385.404,1868.0,5721.0
2007-05-01,980.811,4755.0,14560.0,397.969,1929.0,5908.0
2007-06-01,1291.455,6261.0,19171.0,382.493,1854.0,5678.0
2007-07-01,1648.525,7992.0,24471.0,376.432,1825.0,5588.0
2007-08-01,1521.3880000000001,7375.0,22584.0,348.329,1689.0,5171.0
2007-09-01,1278.1190000000001,6196.0,18973.0,358.78900000000004,1739.0,5326.0
2007-10-01,1045.2060000000001,5067.0,15515.0,416.636,2020.0,6184.0
