measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2020-12-01,0.0,0.0,0.0,1510.0,13238.0,13238.0
2021-01-01,0.0,0.0,0.0,146.201,1293.0,1293.0
2021-02-01,0.0,0.0,0.0,115.476,1021.0,1021.0
2021-03-01,0.0,0.0,0.0,365.504,3233.0,3233.0
2021-04-01,0.0,0.0,0.0,295.83,2616.0,2616.0
2021-05-01,0.0,0.0,0.0,367.674,3252.0,3252.0
2021-06-01,0.0,0.0,0.0,381.152,3371.0,3371.0
2021-07-01,0.0,0.0,0.0,299.942,2653.0,2653.0
2021-08-01,0.0,0.0,0.0,302.34,2674.0,2674.0
2021-09-01,0.0,0.0,0.0,280.981,2485.0,2485.0
2021-10-01,0.0,0.0,0.0,207.652,1836.0,1836.0
2021-11-01,0.0,0.0,0.0,205.368,1816.0,1816.0
2021-12-01,0.0,0.0,0.0,109.88,972.0,972.0
2022-01-01,-5.423,0.0,0.0,265.967,907.0,907.0
2022-02-01,-4.5,0.0,0.0,175.031,597.0,597.0
2022-03-01,-4.653,0.0,0.0,261.222,891.0,891.0
2022-04-01,-5.57,0.0,0.0,319.161,1089.0,1089.0
2022-05-01,-5.571,0.0,0.0,359.222,1226.0,1226.0
2022-06-01,-5.661,0.0,0.0,361.318,1233.0,1233.0
2022-07-01,-5.422,0.0,0.0,398.841,1361.0,1361.0
2022-08-01,-5.312,0.0,0.0,351.827,1200.0,1200.0
2022-09-01,-5.414,0.0,0.0,291.681,995.0,995.0
2022-10-01,-5.584,0.0,0.0,231.204,789.0,789.0
2022-11-01,-5.386,0.0,0.0,190.702,651.0,651.0
2022-12-01,-5.504,0.0,0.0,123.824,422.0,422.0
2023-01-01,-3.0,0.0,0.0,62.0,212.0,212.0
2023-02-01,-6.0,0.0,0.0,120.0,409.0,409.0
2023-03-01,-7.0,0.0,0.0,255.0,870.0,870.0
2023-04-01,-6.0,0.0,0.0,285.0,972.0,972.0
2023-05-01,-6.0,0.0,0.0,417.0,1423.0,1423.0
2023-06-01,-4.0,0.0,0.0,295.0,1007.0,1007.0
2023-07-01,-5.0,0.0,0.0,335.0,1143.0,1143.0
2023-08-01,-6.0,0.0,0.0,314.0,1071.0,1071.0
2023-09-01,-5.0,0.0,0.0,259.0,884.0,884.0
2023-10-01,-6.0,0.0,0.0,229.0,781.0,781.0
2023-11-01,-6.0,0.0,0.0,195.0,665.0,665.0
2023-12-01,-6.0,0.0,0.0,98.0,334.0,334.0
2024-01-01,-2.0,0.0,0.0,79.0,270.0,270.0
2024-02-01,-4.0,0.0,0.0,237.0,809.0,809.0
2024-03-01,-3.0,0.0,0.0,245.0,836.0,836.0
2024-04-01,-7.0,0.0,0.0,280.17,956.0,956.0
2024-05-01,-3.0,0.0,0.0,349.0,1191.0,1191.0
2024-06-01,-5.0,0.0,0.0,380.16,1297.0,1297.0
2024-07-01,-3.0,0.0,0.0,361.0,1232.0,1232.0
2024-08-01,-3.0,0.0,0.0,331.65,1132.0,1132.0
2024-09-01,-4.0,0.0,0.0,297.0,1013.0,1013.0
2024-10-01,-5.0,0.0,0.0,297.99,1017.0,1017.0
2024-11-01,-3.0,0.0,0.0,236.61,807.0,807.0
2024-12-01,0.0,0.0,0.0,137.61,470.0,470.0
