measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,7197.85,155672.0,155672.0,5889.15,127368.0,127368.0
2003-02-01,6492.75,139975.0,139975.0,5312.25,114525.0,114525.0
2003-03-01,7253.4,172859.5,172859.5,5934.6,141430.5,141430.5
2003-04-01,6996.55,151294.0,151294.0,5724.45,123786.0,123786.0
2003-05-01,7189.05,159115.0,159115.0,5881.95,130185.0,130185.0
2003-06-01,6439.4,156139.5,156139.5,5268.6,127750.5,127750.5
2003-07-01,5968.05,143154.0,143154.0,4882.95,117126.0,117126.0
2003-08-01,7226.45,165918.5,165918.5,5912.55,135751.5,135751.5
2003-09-01,7047.7,154528.0,154528.0,5766.3,126432.0,126432.0
2003-10-01,7377.7,152454.5,152454.5,6036.3,124735.5,124735.5
2003-11-01,7272.1,147757.5,147757.5,5949.9,120892.5,120892.5
2003-12-01,7865.0,153230.0,153230.0,6435.0,125370.0,125370.0
2004-01-01,7502.08635,164909.8,164909.8,6138.07065,134926.2,134926.2
2004-02-01,6437.0449,141498.5,141498.5,5266.6731,115771.5,115771.5
2004-03-01,6395.62495,140587.7,140587.7,5232.78405,115026.3,115026.3
2004-04-01,7236.19985,159065.5,159065.5,5920.52715,130144.5,130144.5
2004-05-01,7840.16475,172341.4,172341.4,6414.68025,141006.6,141006.6
2004-06-01,7342.11335,161393.65,161393.65,6007.18365,132049.35,132049.35
2004-07-01,7315.90585,160817.25,160817.25,5985.74115,131577.75,131577.75
2004-08-01,7344.3953,161443.7,161443.7,6009.050700000001,132090.3,132090.3
2004-09-01,6148.75085,135161.4,135161.4,5030.79615,110586.6,110586.6
2004-10-01,7136.90175,156882.55,156882.55,5839.28325,128358.45,128358.45
2004-11-01,7011.21685,154119.9,154119.9,5736.45015,126098.1,126098.1
2004-12-01,7952.094700000001,174802.1,174802.1,6506.259300000001,143019.9,143019.9
2005-01-01,8230.39448,172632.32,172632.32,6466.73852,135639.68,135639.68
2005-02-01,7019.40624,147231.87,147231.87,5515.24776,115682.18,115682.18
2005-03-01,7841.76176,164480.76,164480.76,6161.38424,129234.88,129234.88
2005-04-01,7240.30328,151865.17,151865.17,5688.80972,119322.64,119322.64
2005-05-01,7932.9124,166392.64,166392.64,6233.002600000001,130737.08,130737.08
2005-06-01,7692.01328,161339.78,161339.78,6043.72472,126766.97,126766.97
2005-07-01,8263.97152,173336.6,173336.6,6493.12048,136193.04,136193.04
2005-08-01,7960.47112,166970.68,166970.68,6254.65588,131191.25,131191.25
2005-09-01,7578.90952,158967.44,158967.44,5954.85748,124902.98,124902.98
2005-10-01,6540.53064,137187.47,137187.47,5138.98836,107790.15,107790.15
2005-11-01,7282.856000000001,152757.72,152757.72,5722.244000000001,120023.93,120023.93
2005-12-01,8149.50864,170935.74,170935.74,6403.18536,134306.65,134306.65
