measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed"
2024-01-01,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0
2024-03-01,-62.0,0.0,0.0
2024-04-01,-222.0,0.0,0.0
2024-05-01,-226.0,0.0,0.0
2024-06-01,-165.0,0.0,0.0
2024-07-01,-87.0,0.0,0.0
2024-08-01,-113.0,0.0,0.0
2024-09-01,-251.0,0.0,0.0
2024-10-01,-131.0,0.0,0.0
2024-11-01,-72.0,0.0,0.0
2024-12-01,-99.0,0.0,0.0
