measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,,,,,,,,,,2051.207,20345.0,20345.0,,,
2003-02-01,,,,,,,,,,,,,1810.1560000000002,17954.0,17954.0,,,
2003-03-01,,,,,,,,,,,,,1862.59,18474.0,18474.0,,,
2003-04-01,,,,,,,,,,,,,1672.7640000000001,16592.0,16592.0,,,
2003-05-01,,,,,,,,,,,,,1707.038,16932.0,16932.0,,,
2003-06-01,,,,,,,,,,,,,1810.3770000000002,17957.0,17957.0,,,
2003-07-01,,,,,,,,,,,,,2093.724,20767.0,20767.0,,,
2003-08-01,,,,,,,,,,,,,2219.848,22018.0,22018.0,,,
2003-09-01,,,,,,,,,,,,,1860.179,18450.0,18450.0,,,
2003-10-01,,,,,,,,,,,,,1744.903,17307.0,17307.0,,,
2003-11-01,,,,,,,,,,,,,1739.073,17249.0,17249.0,,,
2003-12-01,,,,,,,,,,,,,1930.142,19144.0,19144.0,,,
2004-01-01,,,,5595.60991,29449.62,142481.61,,,,193.03458,1015.94,4915.26,12368.58,122679.35,288779.22,1798.34951,9464.69,45791.56
2004-02-01,,,,6086.82318,32034.86,149194.5,,,,81.06626,426.65,1987.02,16971.64,168335.4,285966.84,1199.27357,6311.76,29395.47
2004-03-01,,,,5892.30497,31011.12,164036.56,,,,84.66864,445.61,2357.1,15295.84,151713.76,239046.89,943.07339,4963.38,26254.33
2004-04-01,,,,4196.00855,22083.53,33907.5,,,,0.0,0.0,0.0,15288.98,151645.72,244780.44,2604.80745,13709.07,21049.17
2004-05-01,,,,7781.76557,40955.33,155665.2,,,,0.0,0.0,0.0,12662.58,125595.43,235518.08,1830.28943,9632.79,36612.82
2004-06-01,,,,7699.38483,40521.76,157251.6,0.0,0.0,0.0,1915.50128,10081.26,39122.04,16475.76,163416.95,283864.07,2446.05889,12873.57,49958.1
2004-07-01,,,,9990.00608,52577.27,162107.68,0.0,0.0,0.0,533.33012,2806.91,8654.34,13054.58,129483.53,324013.6,5637.0998,29667.98,91473.13
2004-08-01,,,,9320.82443,49055.37,141216.16,0.0,0.0,0.0,1885.58568,9923.81,28567.77,16647.26,165117.99,350791.43,5423.4989000000005,28543.8,82169.31
2004-09-01,,,,9763.43169,51384.8,151813.92,0.0,0.0,0.0,0.0,0.0,0.0,12435.22,123340.33,291736.07,4920.59331,25897.01,76511.48
2004-10-01,,,,304.52824,1602.73,6421.14,0.0,0.0,0.0,5948.20182,31305.31,125421.0,16615.9,164806.94,373988.24,4522.75793,23803.21,95364.76
2004-11-01,,,,6574.8966,34603.59,167171.94,0.0,0.0,0.0,1032.17127,5432.3,26243.77,14547.12,144287.48,256758.75,896.51412,4718.34,22794.58
2004-12-01,,,,6988.82631,36782.1,176778.72,0.0,0.0,0.0,0.0,0.0,0.0,17319.54,171786.09,306571.11,960.51769,5055.19,24295.79
2005-01-01,,,,7625.05891,40130.58,163758.53,0.0,0.0,0.0,44.67586,235.13,959.48,18756.22,186035.98,349441.59,1212.96423,6383.81,26050.06
2005-02-01,,,,6833.72852,35965.82,122296.44,0.0,0.0,0.0,391.53208,2060.63,7006.86,12156.9,120579.78,287229.49,3020.2094,15895.32,54049.68
2005-03-01,,,,7804.25473,41073.69,173160.64,0.0,0.0,0.0,325.764,1714.49,7228.05,12229.42,121299.08,255352.72,2537.41626,13354.39,56300.14
2005-04-01,,,,4799.11594,25257.68,52655.32,0.0,0.0,0.0,0.0,0.0,0.0,15374.24,152491.38,300958.06,3303.92406,17388.51,36250.26
2005-05-01,,,,2227.9079,11725.45,18001.47,0.0,0.0,0.0,548.39559,2886.2,4431.03,15552.6,154260.47,325881.85,4102.75751,21592.76,33150.23
2005-06-01,,,,6626.53487,34875.36,104626.48,0.0,0.0,0.0,0.0,0.0,0.0,9801.96,97222.0,261098.13,2551.44613,13428.23,40284.83
2005-07-01,,,,8455.03273,44498.72,91661.28,0.0,0.0,0.0,0.0,0.0,0.0,17036.32,168976.93,396566.76,4551.3752700000005,23953.83,49341.6
2005-08-01,,,,7488.73788,39413.13,96897.6,0.0,0.0,0.0,0.0,0.0,0.0,16813.86,166770.44,382274.13,2090.71512,11003.41,27051.99
2005-09-01,,,,9624.37459,50652.95,218306.2,0.0,0.0,0.0,0.0,0.0,0.0,11319.0,112268.96,148058.81,996.48541,5244.49,22602.92
2005-10-01,,,,4939.34551,25995.71,98972.0,0.0,0.0,0.0,0.0,0.0,0.0,11618.88,115243.36,236520.26,960.71849,5056.25,19250.37
2005-11-01,,,,7560.11927,39788.8,193921.98,0.0,0.0,0.0,38.052839999999996,200.27,976.08,10846.64,107583.8,191349.2,840.20489,4421.99,21551.8
2005-12-01,,,,4704.08132,24757.52,152946.86,0.0,0.0,0.0,293.23714,1543.3,9534.21,13668.06,135568.41,283555.66,792.82954,4172.65,25777.78
2006-01-01,0.0,0.0,0.0,5933.36309,31227.21,192928.01,0.0,0.0,0.0,219.95803,1157.64,7152.11,12081.44,119831.32,204988.92,596.26288,3138.12,19387.96
2006-02-01,0.0,0.0,0.0,4404.21876,23179.34,130407.27,0.0,0.0,0.0,2194.52418,11549.75,64979.04,13520.08,134100.65,249682.62,853.18507,4490.3,25262.49
2006-03-01,0.0,0.0,0.0,7182.74887,37802.71,141189.3,29.57866,293.38,569.38,28.966169999999998,152.45,569.38,12342.92134,122424.86,237597.38,1359.8649599999999,7156.95,26730.49
2006-04-01,0.0,0.0,0.0,5496.2861,28926.88,84392.0,0.0,0.0,0.0,0.0,0.0,0.0,15757.42,156292.0,283273.23,2964.4459,15601.84,45517.19
2006-05-01,0.0,0.0,0.0,2614.71151,13761.19,23891.7,0.0,0.0,0.0,0.0,0.0,0.0,15017.52,148953.21,281635.64,4974.14649,26178.86,45450.83
2006-06-01,0.0,0.0,0.0,5874.68627,30918.39,134633.13,147.57045,1463.7,2538.97,110.78738,583.07,2538.97,12586.54955,124841.31,216553.32,663.50935,3492.04,15205.98
2006-07-01,0.0,0.0,0.0,8695.75514,45765.64,168124.88,0.0,0.0,0.0,0.0,0.0,0.0,14751.94,146319.02,239801.59,1564.61886,8234.57,30250.55
2006-08-01,0.0,0.0,0.0,10205.15289,53709.58,187399.8,0.0,0.0,0.0,0.0,0.0,0.0,15330.14,152053.97,257988.4,1374.21211,7232.46,25235.0
2006-09-01,0.0,0.0,0.0,7627.54515,40143.66,119906.4,0.0,0.0,0.0,0.0,0.0,0.0,16233.7,161016.04,269674.36,1746.98085,9194.34,27462.86
