measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Waste/Other Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Generation","Waste/Other Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Total Fuel Consumed"
2007-01-01,8.759,75.0,75.0,1279.624,11346.0,11346.0,780.07,6919.0,6919.0
2007-02-01,33.384,296.0,296.0,1100.045,9754.0,9754.0,2973.32,26367.0,26367.0
2007-03-01,9.746,87.0,87.0,1191.438,10564.0,10564.0,867.974,7697.0,7697.0
2007-04-01,7.0280000000000005,64.0,64.0,1135.468,10068.0,10068.0,625.975,5551.0,5551.0
2007-05-01,1.4480000000000002,12.0,12.0,1252.7920000000001,11108.0,11108.0,128.969,1143.0,1143.0
2007-06-01,4.429,41.0,41.0,1235.252,10953.0,10953.0,394.485,3497.0,3497.0
2007-07-01,1.955,17.0,17.0,1362.0990000000002,12077.0,12077.0,174.097,1543.0,1543.0
2007-08-01,9.286,81.0,81.0,1259.009,11163.0,11163.0,827.013,7331.0,7331.0
2007-09-01,1.169,12.0,12.0,1160.4080000000001,10289.0,10289.0,104.09100000000001,922.0,922.0
2007-10-01,2.294,23.0,23.0,1240.207,10997.0,10997.0,204.351,1810.0,1810.0
2007-11-01,0.731,6.0,6.0,1156.5510000000002,10255.0,10255.0,65.062,574.0,574.0
2007-12-01,1.538,12.0,12.0,1311.035,11625.0,11625.0,136.941,1212.0,1212.0
2008-01-01,29.784000000000002,261.0,261.0,875.504,7380.0,7380.0,755.4780000000001,6368.0,6368.0
2008-02-01,11.671000000000001,99.0,99.0,767.171,6467.0,6467.0,296.024,2494.0,2494.0
2008-03-01,1.685,12.0,12.0,705.461,5947.0,5947.0,42.745000000000005,360.0,360.0
2008-04-01,3.52,29.0,29.0,843.019,7106.0,7106.0,89.28200000000001,754.0,754.0
2008-05-01,2.942,23.0,23.0,961.0390000000001,8101.0,8101.0,74.619,626.0,626.0
2008-06-01,31.596,267.0,267.0,1005.783,8478.0,8478.0,801.438,6757.0,6757.0
2008-07-01,15.419,128.0,128.0,980.082,8262.0,8262.0,391.108,3294.0,3294.0
2008-08-01,6.118,52.0,52.0,966.6790000000001,8149.0,8149.0,155.186,1311.0,1311.0
2008-09-01,7.829000000000001,64.0,64.0,832.741,7020.0,7020.0,198.59400000000002,1676.0,1676.0
2008-10-01,2.248,17.0,17.0,871.219,7344.0,7344.0,57.02,481.0,481.0
2008-11-01,33.552,284.0,284.0,898.6790000000001,7576.0,7576.0,851.052,7175.0,7175.0
2008-12-01,27.023,226.0,226.0,963.2520000000001,8120.0,8120.0,685.438,5777.0,5777.0
2009-01-01,0.0,0.0,0.0,161.02,1647.0,1647.0,239.58800000000002,2448.0,2448.0
2009-02-01,0.0,0.0,0.0,139.844,1430.0,1430.0,87.943,899.0,899.0
2009-03-01,0.0,0.0,0.0,138.741,1419.0,1419.0,69.49300000000001,713.0,713.0
2009-04-01,0.0,0.0,0.0,162.149,1658.0,1658.0,6.44,64.0,64.0
2009-05-01,0.0,0.0,0.0,165.267,1690.0,1690.0,18.191000000000003,186.0,186.0
2009-06-01,0.0,0.0,0.0,164.86100000000002,1686.0,1686.0,12.538,128.0,128.0
2009-07-01,0.0,0.0,0.0,150.53,1540.0,1540.0,22.636000000000003,232.0,232.0
2009-08-01,0.0,0.0,0.0,154.80800000000002,1583.0,1583.0,44.828,458.0,458.0
2009-09-01,0.0,0.0,0.0,134.73,1378.0,1378.0,5.748,58.0,58.0
2009-10-01,0.0,0.0,0.0,137.223,1403.0,1403.0,7.371,75.0,75.0
2009-11-01,0.0,0.0,0.0,137.321,1404.0,1404.0,9.463000000000001,99.0,99.0
2009-12-01,0.0,0.0,0.0,136.592,1397.0,1397.0,11.675,122.0,122.0
2010-01-01,29.893,296.0,296.0,339.639,3428.0,3428.0,134.067,1357.0,1357.0
2010-02-01,15.941,162.0,162.0,249.696,2520.0,2520.0,71.49,719.0,719.0
2010-03-01,3.7390000000000003,41.0,41.0,290.58,2933.0,2933.0,16.767,168.0,168.0
2010-04-01,3.7030000000000003,35.0,35.0,375.228,3787.0,3787.0,16.605,168.0,168.0
2010-05-01,8.72,87.0,87.0,406.535,4103.0,4103.0,39.104,394.0,394.0
2010-06-01,44.462,447.0,447.0,417.913,4218.0,4218.0,199.394,2013.0,2013.0
2010-07-01,62.774,632.0,632.0,429.797,4338.0,4338.0,281.52,2842.0,2842.0
