measured_on,"Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,1507.266,43154.0,43154.0
2003-02-01,1328.722,38042.0,38042.0
2003-03-01,1319.58,37781.0,37781.0
2003-04-01,1330.834,38103.0,38103.0
2003-05-01,1583.54,45338.0,45338.0
2003-06-01,1653.22,47333.0,47333.0
2003-07-01,1803.58,51638.0,51638.0
2003-08-01,1906.421,54582.0,54582.0
2003-09-01,1565.1460000000002,44811.0,44811.0
2003-10-01,1418.8220000000001,40622.0,40622.0
2003-11-01,1343.431,38463.0,38463.0
2003-12-01,1389.439,39781.0,39781.0
2004-01-01,1397.5720000000001,9275.46,51577.07
2004-02-01,1122.073,7447.02,41409.84
2004-03-01,1692.7640000000001,11234.61,62471.09
2004-04-01,1337.111,8874.19,49345.74
2004-05-01,1217.009,8077.1,44913.46
2004-06-01,1498.2820000000002,9943.86,55293.8
2004-07-01,1420.236,9425.88,52413.51
2004-08-01,2214.657,14698.33,81731.47
2004-09-01,2071.134,13745.79,76434.75
2004-10-01,1962.5980000000002,13025.45,72429.27
2004-11-01,1539.413,10216.84,56811.69
2004-12-01,1927.151,12790.19,71121.11
2005-01-01,1542.1660000000002,10235.11,80112.62
2005-02-01,1387.901,9211.28,72098.93
2005-03-01,1481.604,9833.17,76966.56
2005-04-01,1459.173,9684.3,75801.35
2005-05-01,1461.4070000000002,9699.13,75917.42
2005-06-01,1513.217,10042.98,78608.81
2005-07-01,1577.0910000000001,10466.9,81926.94
2005-08-01,1557.488,10336.8,80908.59
2005-09-01,1502.928,9974.69,78074.28
2005-10-01,1533.957,10180.63,79686.29
2005-11-01,1486.3210000000001,9864.47,77211.59
2005-12-01,1513.528,10045.04,78624.95
2006-01-01,2490.216,10304.52,10304.52
2006-02-01,2157.237,8926.68,8926.68
2006-03-01,2292.2360000000003,9485.36,9485.36
2006-04-01,2291.433,9481.97,9481.97
2006-05-01,2276.039,9418.23,9418.23
2006-06-01,2335.649,9664.89,9664.89
2006-07-01,2542.415,10520.53,10520.53
2006-08-01,2492.9,10315.63,10315.63
2006-09-01,2400.179,9932.02,9932.02
2006-10-01,2288.639,9470.44,9470.44
2006-11-01,2276.215,9419.05,9419.05
2006-12-01,2440.101,10097.18,10097.18
2007-01-01,2427.677,16109.0,111680.0
2007-02-01,2011.029,13343.0,92520.0
2007-03-01,2200.909,14604.0,101253.0
2007-04-01,2132.896,14157.0,98120.0
2007-05-01,2108.5730000000003,13994.0,96995.0
2007-06-01,2143.873,14224.0,98622.0
2007-07-01,2135.958,14170.0,98256.0
2007-08-01,2383.86,15825.0,109660.0
2007-09-01,2267.8830000000003,15052.0,104331.0
2007-10-01,2127.556,14116.0,97876.0
2007-11-01,2179.049,14469.0,100249.0
2007-12-01,2260.858,15011.0,104005.0
2008-01-01,2421.623,16072.0,111029.0
2008-02-01,2156.96,14315.0,98907.0
2008-03-01,2300.2070000000003,15266.0,105470.0
2008-04-01,2089.9900000000002,13871.0,95829.0
2008-05-01,2231.837,14812.0,102337.0
2008-06-01,2295.402,15234.0,105253.0
2008-07-01,2255.228,14968.0,103409.0
