measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,86364.0,967338.0,967338.0,75.0,845.0,845.0,0.0,0.0,0.0
2003-02-01,80941.0,877512.0,877512.0,52.0,563.0,563.0,0.0,0.0,0.0
2003-03-01,82913.0,886560.0,886560.0,73.0,783.0,783.0,0.0,0.0,0.0
2003-04-01,72959.0,764301.0,764301.0,105.0,1103.0,1103.0,0.0,0.0,0.0
2003-05-01,28034.0,336948.0,336948.0,98.0,1177.0,1177.0,0.0,0.0,0.0
2003-06-01,50786.0,551600.0,551600.0,97.0,1058.0,1058.0,0.0,0.0,0.0
2003-07-01,76044.0,888631.0,888631.0,187.0,2190.0,2190.0,0.0,0.0,0.0
2003-08-01,77319.0,866678.0,866678.0,215.0,2408.0,2408.0,0.0,0.0,0.0
2003-09-01,65526.0,769170.0,769170.0,257.0,3018.0,3018.0,0.0,0.0,0.0
2003-10-01,84351.0,941062.0,941062.0,129.0,1443.0,1443.0,0.0,0.0,0.0
2003-11-01,66885.0,758382.0,758382.0,258.0,2928.0,2928.0,0.0,0.0,0.0
2003-12-01,74955.0,857030.0,857030.0,187.0,2134.0,2134.0,0.0,0.0,0.0
2004-01-01,72520.74425,790028.54,790028.54,177.85375,1937.51,1937.51,0.0,0.0,0.0
2004-02-01,71502.62549,777437.7,777437.7,37.35951,406.2,406.2,0.0,0.0,0.0
2004-03-01,66462.49922,723173.63,723173.63,84.08578,914.93,914.93,0.0,0.0,0.0
2004-04-01,57179.70725,622548.48,622548.48,107.32475,1168.51,1168.51,0.0,0.0,0.0
2004-05-01,56862.68958,619027.71,619027.71,100.36542,1092.61,1092.61,0.0,0.0,0.0
2004-06-01,66389.84727,722363.14,722363.14,82.14773,893.82,893.82,0.0,0.0,0.0
2004-07-01,68554.754,745880.06,745880.06,81.293,884.47,884.47,0.0,0.0,0.0
2004-08-01,66253.85343,720731.39,720731.39,67.98957,739.61,739.61,0.0,0.0,0.0
2004-09-01,64638.79951,703471.36,703471.36,94.78249,1031.53,1031.53,0.0,0.0,0.0
2004-10-01,58179.57893,633192.45,633192.45,86.92206999999999,946.01,946.01,0.0,0.0,0.0
2004-11-01,54845.24142,597513.98,597513.98,138.11258,1504.67,1504.67,0.0,0.0,0.0
2004-12-01,56520.37866,615121.15,615121.15,83.19933999999999,905.47,905.47,0.0,0.0,0.0
2005-01-01,71976.7892,796425.0,796425.0,444.4408,4917.75,4917.75,0.0,0.0,0.0
2005-02-01,65351.64858,723117.64,723117.64,102.30142,1131.97,1131.97,0.0,0.0,0.0
2005-03-01,70052.76695,775135.72,775135.72,87.78505,971.34,971.34,0.0,0.0,0.0
2005-04-01,57631.23707,637691.15,637691.15,87.83592999999999,971.91,971.91,0.0,0.0,0.0
2005-05-01,54751.18047,605823.27,605823.27,88.56353,979.96,979.96,0.0,0.0,0.0
2005-06-01,70179.42941,776537.17,776537.17,107.27759,1187.03,1187.03,0.0,0.0,0.0
2005-07-01,78299.75695,866388.93,866388.93,203.17305,2248.12,2248.12,0.0,0.0,0.0
2005-08-01,77554.69993,858144.7,858144.7,179.95607,1991.22,1991.22,0.0,0.0,0.0
2005-09-01,69864.82921,773056.21,773056.21,100.12879,1107.93,1107.93,0.0,0.0,0.0
2005-10-01,65425.37314,723933.49,723933.49,140.38586,1553.37,1553.37,0.0,0.0,0.0
2005-11-01,64250.16111,710929.62,710929.62,94.53188999999999,1046.0,1046.0,0.0,0.0,0.0
2005-12-01,74111.3983,820044.51,820044.51,258.93870000000004,2865.16,2865.16,0.0,0.0,0.0
2006-01-01,48945.88588,546936.27,582678.09,179.34411999999998,2004.05,2135.01,0.0,0.0,0.0
2006-02-01,45964.15895,513617.54,547847.74,224.54305,2509.11,2676.33,0.0,0.0,0.0
2006-03-01,44696.92807,499457.11,534982.86,407.13493,4549.45,4873.05,0.0,0.0,0.0
2006-04-01,44953.05876,502319.19,535492.41,193.96424,2167.42,2310.55,0.0,0.0,0.0
2006-05-01,47346.84431,529068.09,563176.0,134.16269,1499.17,1595.82,0.0,0.0,0.0
2006-06-01,48442.68536,541313.35,576114.86,129.19064,1443.62,1536.43,0.0,0.0,0.0
2006-07-01,50846.83956,568178.1,604996.82,160.06944,1788.66,1904.57,0.0,0.0,0.0
2006-08-01,50814.28296,567814.31,604731.95,170.29804000000001,1902.96,2026.69,0.0,0.0,0.0
2006-09-01,45944.7657,513400.84,546136.8,99.6763,1113.81,1184.83,0.0,0.0,0.0
2006-10-01,44980.93834,502630.73,534699.56,99.24166,1108.96,1179.71,0.0,0.0,0.0
2006-11-01,45542.3432,508904.05,542091.49,161.05280000000002,1799.65,1917.02,0.0,0.0,0.0
2006-12-01,48533.7989,542331.48,577790.95,179.3951,2004.62,2135.68,0.0,0.0,0.0
2007-01-01,60744.131,696115.0,700572.0,252.869,2899.0,2916.0,,,
2007-02-01,58910.354,652471.0,652471.0,149.64600000000002,1657.0,1657.0,,,
2007-03-01,52267.486,564298.0,564298.0,61.514,664.0,664.0,,,
2007-04-01,48731.648,529369.0,529369.0,56.352000000000004,612.0,612.0,,,
2007-05-01,38854.995,431420.0,431420.0,207.005,2298.0,2298.0,,,
2007-06-01,48444.085,537028.0,537028.0,84.915,941.0,941.0,,,
2007-07-01,55926.133,615351.0,615351.0,123.867,1363.0,1363.0,,,
2007-08-01,55171.129,609284.0,609284.0,19.871000000000002,219.0,219.0,,,
2007-09-01,47237.787,503232.0,503232.0,112.21300000000001,1195.0,1195.0,,,
2007-10-01,38256.856,432681.0,432681.0,103.144,1167.0,1167.0,,,
2007-11-01,53217.757,568694.0,568694.0,3.2430000000000003,35.0,35.0,,,
2007-12-01,64315.991,714520.0,714520.0,328.009,3644.0,3644.0,,,
2008-01-01,52406.463,577110.0,577110.0,11.537,127.0,127.0,,,
2008-02-01,46772.445999999996,517035.0,517035.0,24.554000000000002,271.0,271.0,,,
2008-03-01,49688.232,545656.0,545656.0,25.768,283.0,283.0,,,
2008-04-01,48803.746,534882.0,534882.0,83.254,912.0,912.0,,,
2008-05-01,42802.154,478838.0,478838.0,42.846000000000004,479.0,479.0,,,
2008-06-01,53937.237,605557.0,605557.0,259.76300000000003,2916.0,2916.0,,,
2008-07-01,53998.409,587895.0,587895.0,1.591,17.0,17.0,,,
