measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,20.0,243.0,243.0,335.0,17366.0,17366.0
2001-02-01,20.0,232.0,232.0,-30.0,8524.0,8524.0
2001-03-01,0.0,0.0,0.0,-428.0,0.0,0.0
2001-04-01,0.0,0.0,0.0,-317.0,0.0,0.0
2001-05-01,0.0,0.0,0.0,-277.0,0.0,0.0
2001-06-01,0.0,0.0,0.0,-266.0,0.0,0.0
2001-07-01,0.0,0.0,0.0,-260.0,0.0,0.0
2001-08-01,0.0,0.0,0.0,-268.0,0.0,0.0
2001-09-01,0.0,0.0,0.0,-240.0,0.0,0.0
2001-10-01,0.0,0.0,0.0,-228.0,0.0,0.0
2001-11-01,0.0,0.0,0.0,-201.0,0.0,0.0
2001-12-01,0.0,0.0,0.0,-204.0,0.0,0.0
2002-01-01,0.0,0.0,0.0,-183.0,0.0,0.0
2002-02-01,0.0,0.0,0.0,-163.0,0.0,0.0
2002-03-01,0.0,0.0,0.0,-173.0,0.0,0.0
2002-04-01,0.0,0.0,0.0,-167.0,0.0,0.0
2002-05-01,0.0,0.0,0.0,-177.0,0.0,0.0
2002-06-01,0.0,0.0,0.0,-175.0,0.0,0.0
2002-07-01,0.0,0.0,0.0,-178.0,0.0,0.0
2002-08-01,0.0,0.0,0.0,-171.0,0.0,0.0
2002-09-01,0.0,0.0,0.0,-165.0,0.0,0.0
2002-10-01,0.0,0.0,0.0,-158.0,0.0,0.0
2002-11-01,0.0,0.0,0.0,-138.0,0.0,0.0
2002-12-01,0.0,0.0,0.0,-135.0,0.0,0.0
