measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed"
2003-01-01,7554.089,52672.0,254645.0,72.615,506.0,2448.0,9.526,66.0,321.0
2003-02-01,6820.456,47557.0,229914.0,65.563,457.0,2210.0,8.601,60.0,290.0
2003-03-01,6533.063,45553.0,220226.0,62.8,438.0,2117.0,8.239,57.0,278.0
2003-04-01,5493.84,38307.0,185195.0,52.81,368.0,1780.0,6.928,48.0,234.0
2003-05-01,6363.322,44369.0,214504.0,61.168000000000006,426.0,2062.0,8.025,56.0,270.0
2003-06-01,7172.613,50012.0,241785.0,68.94800000000001,481.0,2324.0,9.045,63.0,305.0
2003-07-01,8407.147,58620.0,283401.0,80.815,563.0,2724.0,10.602,74.0,357.0
2003-08-01,8571.43,59766.0,288939.0,82.394,574.0,2777.0,10.809000000000001,75.0,364.0
2003-09-01,6489.94,45252.0,218773.0,62.385,435.0,2103.0,8.184000000000001,57.0,276.0
2003-10-01,6381.994000000001,44500.0,215134.0,61.348000000000006,428.0,2068.0,8.048,56.0,271.0
2003-11-01,6673.496,46532.0,224960.0,64.15,447.0,2162.0,8.416,59.0,284.0
2003-12-01,7594.61,52955.0,256011.0,73.004,509.0,2461.0,9.577,67.0,323.0
2004-01-01,9657.86853,46442.33,345446.18,114.22878,549.3,4085.78,7.18669,34.56,257.06
2004-02-01,7102.312800000001,34153.29,257608.53,52.15812,250.82,1891.83,7.087079999999999,34.08,257.06
2004-03-01,5522.49378,26556.33,195666.55,78.34007,376.72,2775.65,7.2551499999999995,34.89,257.06
2004-04-01,4131.30428,19866.43,142364.89,93.10217999999999,447.71,3208.3,7.45954,35.87,257.06
2004-05-01,4111.4605,19771.01,144641.57,65.55564,315.24,2306.25,7.3068599999999995,35.14,257.06
2004-06-01,6340.68139,30490.79,232053.34,28.96175,139.27,1059.93,7.02386,33.78,257.06
2004-07-01,7875.41635,37870.95,282116.32,88.19081,424.09,3159.21,7.17585,34.51,257.06
2004-08-01,7121.49216,34245.52,260020.8,38.30555,184.2,1398.62,7.04029,33.86,257.06
2004-09-01,6208.29955,29854.2,224450.06,50.74727,244.03,1834.68,7.11018,34.19,257.06
2004-10-01,5897.51389,28359.7,211449.52,62.65559,301.3,2246.45,7.1695199999999994,34.48,257.06
2004-11-01,7192.24831,34585.76,261088.7,51.11353,245.79,1855.49,7.08116,34.05,257.06
2004-12-01,6478.95822,31155.73,234015.1,55.10091,264.97,1990.2,7.11687,34.22,257.06
2005-01-01,6655.35701,32003.99,237519.16,174.76425999999998,840.4,6237.06,8.01072,38.52,285.89
2005-02-01,6160.41526,29623.93,215656.51,41.01144,197.21,1435.68,7.286300000000001,35.04,255.07
2005-03-01,6611.77002,31794.39,231170.01,35.23627,169.44,1231.98,8.33471,40.08,291.41
2005-04-01,5431.72925,26119.86,190179.64,35.20549,169.29,1232.64,8.30327,39.93,290.72
2005-05-01,5157.01945,24798.84,180675.58,35.47436,170.59,1242.84,9.12519,43.88,319.7
2005-06-01,6615.3219,31811.47,231587.92,43.00526,206.8,1505.52,9.04684,43.5,316.71
2005-07-01,7348.43324,35336.82,258384.53,81.08958,389.94,2851.26,9.32118,44.82,327.75
2005-08-01,7286.86282,35040.74,255925.83,71.9046,345.77,2525.4,9.292589999999999,44.69,326.37
2005-09-01,6588.54098,31682.68,230549.7,40.15715,193.11,1405.2,8.78788,42.26,307.51
2005-10-01,6150.75174,29577.46,215899.85,56.126000000000005,269.9,1970.1,8.83925,42.51,310.27
2005-11-01,6057.23761,29127.77,212021.59,37.899589999999996,182.25,1326.6,8.9298,42.94,312.57
2005-12-01,6929.10025,33320.35,244563.14,102.9543,495.08,3633.78,8.87546,42.68,313.26
2006-01-01,6296.62634,30278.94,219809.92,50.57412,243.2,1765.5,16.00354,76.96,558.67
2006-02-01,5905.30499,28397.17,206670.42,63.2361,304.09,2213.1,14.293909999999999,68.74,500.25
2006-03-01,5715.5025000000005,27484.46,201817.22,114.11735,548.76,4029.54,12.72115,61.17,449.19
2006-04-01,5781.53255,27801.98,202009.5,54.68271,262.96,1910.64,11.69074,56.22,408.48
2006-05-01,6098.70733,29327.19,212452.9,37.88008,182.16,1319.58,13.64059,65.59,475.18
2006-06-01,6245.7298,30034.19,217334.04,36.51154,175.58,1270.5,9.28666,44.66,323.15
2006-07-01,6549.44223,31494.67,228229.54,45.193909999999995,217.33,1574.88,12.302859999999999,59.16,428.72
2006-08-01,6543.88834,31467.96,228129.66,48.07196,231.17,1675.86,12.086689999999999,58.12,421.36
2006-09-01,5924.70388,28490.45,206024.94,28.1746,135.48,979.74,11.270529999999999,54.2,391.92
2006-10-01,5798.30154,27882.62,201710.52,28.04081,134.84,975.48,12.90565,62.06,448.96
2006-11-01,5860.40719,28181.27,204499.02,45.42769,218.45,1585.2,14.138119999999999,67.99,493.35
2006-12-01,6244.74553,30029.46,217966.32,50.59713,243.31,1766.04,14.49033,69.68,505.77
