measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2014-01-01,185.232,2107.0,2126.0,3939.274,44803.0,45240.0,225.209,2561.0,53590.0,0.0,0.0,0.0
2014-02-01,215.21,2448.0,2472.0,964.992,10975.0,11083.0,55.169,627.0,13128.0,0.0,0.0,0.0
2014-03-01,235.929,2683.0,2710.0,1375.823,15648.0,15800.0,78.656,895.0,18717.0,0.0,0.0,0.0
2014-04-01,149.794,1704.0,1718.0,1206.365,13720.0,13855.0,68.968,784.0,16412.0,0.0,0.0,0.0
2014-05-01,198.203,2254.0,2274.0,3724.91,42365.0,42779.0,212.954,2422.0,50674.0,0.0,0.0,0.0
2014-06-01,144.938,1648.0,1667.0,3235.638,36800.0,37160.0,184.982,2104.0,44018.0,0.0,0.0,0.0
2014-07-01,141.948,1614.0,1633.0,2324.729,26440.0,26699.0,132.905,1512.0,31626.0,0.0,0.0,0.0
2014-08-01,176.605,2009.0,2030.0,4294.866,48847.0,49324.0,245.538,2793.0,58428.0,0.0,0.0,0.0
2014-09-01,167.611,1906.0,1922.0,2700.715,30716.0,31016.0,154.4,1756.0,36741.0,0.0,0.0,0.0
2014-10-01,113.926,1296.0,1310.0,3365.896,38281.0,38656.0,192.429,2189.0,45790.0,0.0,0.0,0.0
2014-11-01,166.061,1889.0,1905.0,2269.962,25817.0,26069.0,129.774,1476.0,30881.0,0.0,0.0,0.0
2014-12-01,158.374,1801.0,1820.0,2693.999,30640.0,30939.0,154.016,1752.0,36650.0,0.0,0.0,0.0
2015-01-01,29.851,340.0,352.0,1824.633,20752.0,21512.0,0.0,0.0,14186.0,,,
2015-02-01,31.947,363.0,374.0,1629.585,18534.0,19212.0,0.0,0.0,12671.0,,,
2015-03-01,28.295,322.0,335.0,1765.639,20081.0,20816.0,0.0,0.0,13729.0,,,
2015-04-01,30.918,352.0,363.0,1648.666,18751.0,19437.0,0.0,0.0,12820.0,,,
2015-05-01,32.227,367.0,380.0,1337.77,15215.0,15772.0,0.0,0.0,10402.0,,,
2015-06-01,38.949,443.0,459.0,2021.766,22994.0,23836.0,0.0,0.0,15720.0,,,
2015-07-01,27.33,311.0,323.0,2936.716,33400.0,34623.0,0.0,0.0,22834.0,,,
2015-08-01,33.182,377.0,391.0,2189.174,24898.0,25809.0,0.0,0.0,17022.0,,,
2015-09-01,45.479,517.0,539.0,2392.873,27215.0,28211.0,0.0,0.0,18606.0,,,
