measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed
2001-01-01,108061.0,1026646.0,1026646.0,42.0,490.0,490.0
2001-02-01,96663.0,916243.0,916243.0,9.0,105.0,105.0
2001-03-01,99254.0,982524.0,982524.0,94.0,759.0,759.0
2001-04-01,99488.0,1008237.0,1008237.0,49.0,409.0,409.0
2001-05-01,58830.0,608081.0,608081.0,257.0,2166.0,2166.0
2001-06-01,86294.0,911159.0,911159.0,123.0,1062.0,1062.0
2001-07-01,99813.0,1072002.0,1072002.0,75.0,654.0,654.0
2001-08-01,103558.0,1104254.0,1104254.0,28.0,245.0,245.0
2001-09-01,79691.0,844952.0,844952.0,53.0,455.0,455.0
2001-10-01,58811.0,636213.0,636213.0,104.0,922.0,922.0
2001-11-01,12600.0,145148.0,145148.0,141.0,1331.0,1331.0
2001-12-01,10953.0,129231.0,129231.0,155.0,1489.0,1489.0
2002-01-01,34601.0,363346.0,363346.0,36.0,324.0,324.0
2002-02-01,19101.0,211056.0,211056.0,106.0,974.0,974.0
2002-03-01,53665.0,578575.0,578575.0,180.0,1554.0,1554.0
2002-04-01,87338.0,936036.0,936036.0,110.0,974.0,974.0
2002-05-01,80192.0,861739.0,861739.0,111.0,957.0,957.0
2002-06-01,92181.0,1005268.0,1005268.0,77.0,666.0,666.0
2002-07-01,104617.0,1151889.0,1151889.0,33.0,295.0,295.0
2002-08-01,101456.0,1109425.0,1109425.0,31.0,336.0,336.0
2002-09-01,90165.0,953312.0,953312.0,85.0,899.0,899.0
2002-10-01,64390.0,694130.0,694130.0,56.0,608.0,608.0
2002-11-01,104425.0,1077524.0,1077524.0,11.0,108.0,108.0
2002-12-01,98455.0,1027772.0,1027772.0,46.0,481.0,481.0
2003-01-01,100027.0,1025126.0,1025126.0,57.0,553.0,553.0
