measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-08-01,167.0,1884.0,1884.0,,,,7672.0,82335.0,82335.0
2003-09-01,240.0,2646.0,2646.0,,,,886.0,9300.0,9300.0
2003-10-01,0.0,0.0,0.0,,,,1654.0,17836.0,17836.0
2003-11-01,0.0,0.0,0.0,,,,2139.0,29787.0,29787.0
2003-12-01,0.0,0.0,0.0,,,,3604.0,37400.0,37400.0
2004-01-01,15.78,168.0,168.0,,,,9015.476,91480.0,91480.0
2004-02-01,0.443,5.0,5.0,,,,1549.14,15719.0,15719.0
2004-03-01,4.986000000000001,53.0,53.0,,,,420.308,4265.0,4265.0
2004-04-01,0.5940000000000001,6.0,6.0,,,,316.38100000000003,3210.0,3210.0
2004-05-01,4.479,48.0,48.0,,,,823.3720000000001,8355.0,8355.0
2004-06-01,17.658,187.0,187.0,,,,2036.4720000000002,20664.0,20664.0
2004-07-01,14.619000000000002,155.0,155.0,,,,5385.488,54647.0,54647.0
2004-08-01,0.0,0.0,0.0,,,,642.649,6521.0,6521.0
2004-09-01,5.575,59.0,59.0,,,,3055.743,31007.0,31007.0
2004-10-01,2.175,23.0,23.0,,,,941.325,9552.0,9552.0
2004-11-01,0.24700000000000003,3.0,3.0,,,,326.843,3316.0,3316.0
2004-12-01,11.443000000000001,121.0,121.0,,,,1157.8020000000001,11748.0,11748.0
2005-01-01,261.42900000000003,3215.25,3215.25,0.0,0.0,0.0,1560.557,18286.7,18286.7
2005-02-01,89.818,1104.65,1104.65,0.0,0.0,0.0,1248.4560000000001,14629.48,14629.48
2005-03-01,99.55300000000001,1224.37,1224.37,0.0,0.0,0.0,1732.4640000000002,20301.11,20301.11
2005-04-01,120.58600000000001,1483.07,1483.07,0.0,0.0,0.0,1644.5520000000001,19270.95,19270.95
2005-05-01,111.994,1377.39,1377.39,0.0,0.0,0.0,1572.583,18427.62,18427.62
2005-06-01,145.358,1787.72,1787.72,0.0,0.0,0.0,2968.5860000000002,34786.07,34786.07
2005-07-01,147.95600000000002,1819.68,1819.68,0.0,0.0,0.0,3908.0040000000004,45794.22,45794.22
2005-08-01,173.81300000000002,2137.68,2137.68,0.0,0.0,0.0,3882.212,45491.99,45491.99
2005-09-01,113.77900000000001,1399.34,1399.34,0.0,0.0,0.0,2350.43,27542.48,27542.48
2005-10-01,126.354,1553.99,1553.99,0.0,0.0,0.0,1666.594,19529.25,19529.25
2005-11-01,101.577,1249.28,1249.28,0.0,0.0,0.0,1460.6370000000002,17115.84,17115.84
2005-12-01,214.78300000000002,2641.57,2641.57,0.0,0.0,0.0,1825.925,21396.3,21396.3
2006-01-01,58.41,927.0,927.0,,,,1222.235,18463.0,18463.0
2006-02-01,30.564,485.0,485.0,,,,1381.625,20871.0,20871.0
2006-03-01,25.674,407.0,407.0,,,,1820.65,27502.0,27502.0
2006-04-01,49.18,780.0,780.0,,,,1506.652,22759.0,22759.0
2006-05-01,45.97,729.0,729.0,,,,1984.645,29980.0,29980.0
2006-06-01,41.784,663.0,663.0,,,,2556.449,38617.0,38617.0
2006-07-01,60.525,960.0,960.0,,,,4574.679,69104.0,69104.0
2006-08-01,58.709,931.0,931.0,,,,4065.0060000000003,61405.0,61405.0
2006-09-01,26.972,428.0,428.0,,,,2391.119,36120.0,36120.0
2006-10-01,28.491,452.0,452.0,,,,2590.056,39125.0,39125.0
2006-11-01,33.549,532.0,532.0,,,,1741.2730000000001,26303.0,26303.0
2006-12-01,37.173,590.0,590.0,,,,1767.611,26701.0,26701.0
2007-01-01,24.329,288.0,288.0,,,,3809.02,45532.0,45532.0
2007-02-01,52.193000000000005,624.0,624.0,,,,6992.6720000000005,83589.0,83589.0
2007-03-01,8.501000000000001,102.0,102.0,,,,4000.99,47827.0,47827.0
2007-04-01,6.029,72.0,72.0,,,,5102.723,60997.0,60997.0
2007-05-01,7.437,90.0,90.0,,,,2613.817,31245.0,31245.0
2007-06-01,7.935,96.0,96.0,,,,4978.92,59517.0,59517.0
2007-07-01,6.283,78.0,78.0,,,,5030.478,60134.0,60134.0
2007-08-01,0.557,6.0,6.0,,,,5682.925,67933.0,67933.0
2007-09-01,2.02,24.0,24.0,,,,3148.243,37633.0,37633.0
2007-10-01,1.7730000000000001,24.0,24.0,,,,3301.8030000000003,39469.0,39469.0
2007-11-01,6.888,84.0,84.0,,,,3349.2650000000003,40037.0,40037.0
2007-12-01,11.077,132.0,132.0,,,,5670.122,67780.0,67780.0
2008-01-01,50.905,600.0,600.0,0.0,0.0,0.0,3447.563,40337.0,40337.0
2008-02-01,65.069,762.0,762.0,0.0,0.0,0.0,3410.9570000000003,39907.0,39907.0
2008-03-01,25.733,300.0,300.0,0.0,0.0,0.0,5523.529,64623.0,64623.0
2008-04-01,28.809,336.0,336.0,0.0,0.0,0.0,1810.05,21177.0,21177.0
2008-05-01,11.902000000000001,138.0,138.0,0.0,0.0,0.0,3990.7940000000003,46691.0,46691.0
2008-06-01,11.8,138.0,138.0,0.0,0.0,0.0,2575.7360000000003,30135.0,30135.0
2008-07-01,5.596,66.0,66.0,0.0,0.0,0.0,5688.956,66559.0,66559.0
2008-08-01,6.817,78.0,78.0,0.0,0.0,0.0,4701.9980000000005,55012.0,55012.0
2008-09-01,9.915000000000001,114.0,114.0,0.0,0.0,0.0,2747.2270000000003,32142.0,32142.0
2008-10-01,7.66,90.0,90.0,0.0,0.0,0.0,2036.384,23825.0,23825.0
2008-11-01,25.626,300.0,300.0,0.0,0.0,0.0,3509.58,41062.0,41062.0
2008-12-01,65.047,762.0,762.0,0.0,0.0,0.0,7476.347000000001,87471.0,87471.0
2009-01-01,294.517,3480.0,3480.0,0.0,0.0,0.0,2822.1910000000003,33283.0,33283.0
2009-02-01,50.351,594.0,594.0,0.0,0.0,0.0,1781.384,21008.0,21008.0
2009-03-01,29.756,348.0,348.0,0.0,0.0,0.0,1614.2720000000002,19037.0,19037.0
2009-04-01,42.296,498.0,498.0,0.0,0.0,0.0,1619.21,19095.0,19095.0
2009-05-01,29.608,348.0,348.0,0.0,0.0,0.0,1277.347,15063.0,15063.0
2009-06-01,28.868000000000002,342.0,342.0,0.0,0.0,0.0,2865.645,33794.0,33794.0
2009-07-01,22.458000000000002,264.0,264.0,0.0,0.0,0.0,1265.593,14924.0,14924.0
2009-08-01,28.307000000000002,336.0,336.0,0.0,0.0,0.0,2602.342,30688.0,30688.0
2009-09-01,22.591,264.0,264.0,0.0,0.0,0.0,3440.4790000000003,40573.0,40573.0
2009-10-01,33.199,390.0,390.0,0.0,0.0,0.0,2093.5080000000003,24688.0,24688.0
2009-11-01,16.332,192.0,192.0,0.0,0.0,0.0,1447.617,17071.0,17071.0
2009-12-01,44.825,528.0,528.0,0.0,0.0,0.0,2888.304,34061.0,34061.0
2010-01-01,9.033000000000001,102.0,102.0,0.0,0.0,0.0,3449.021,38932.0,38932.0
2010-02-01,5.731,66.0,66.0,0.0,0.0,0.0,2476.201,27951.0,27951.0
