measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,2.0,11.0,11.0,0.0,0.0,0.0,32506.0,208078.0,459410.0,,,,,,
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30145.0,206134.0,434423.0,,,,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31413.0,192421.0,416872.0,,,,46.0,308.0,2028.0
2003-04-01,0.0,0.0,0.0,5.0,29.0,29.0,0.0,0.0,0.0,28360.0,150576.0,344947.0,,,,,,
2003-05-01,0.0,0.0,0.0,5.0,47.0,47.0,0.0,0.0,0.0,28402.0,147351.0,348552.0,,,,101.0,601.0,3953.0
2003-06-01,0.0,0.0,0.0,82.0,758.0,758.0,0.0,0.0,0.0,36195.0,204751.0,472000.0,0.0,0.0,0.0,203.0,1125.0,8689.0
2003-07-01,57.0,337.0,758.0,82.0,758.0,758.0,0.0,0.0,0.0,36138.0,213983.0,480810.0,0.0,0.0,0.0,203.0,1125.0,8689.0
2003-08-01,11.0,61.0,143.0,192.0,1704.0,1704.0,0.0,0.0,0.0,43354.0,241353.0,560650.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,4.0,93.0,93.0,0.0,0.0,0.0,38267.0,219734.0,503194.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,2.0,29.0,29.0,0.0,0.0,0.0,22615.0,135215.0,291950.0,0.0,0.0,0.0,1581.0,8384.0,62534.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28730.0,152935.0,348861.0,0.0,0.0,0.0,1888.0,12324.0,76956.0
2003-12-01,17.0,100.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,34565.0,206716.0,446150.0,0.0,0.0,0.0,506.0,2850.0,20460.0
2004-01-01,4163.99897,20438.51,57570.68,27.05,224.46,224.46,,,,16076.29603,78908.66,222267.91,,,,93.034,439.94,4465.54
2004-02-01,1726.09337,8472.33,23863.17,10.532,87.41,87.41,,,,13122.86663,64412.09,181423.11,,,,66.538,314.64,3193.76
2004-03-01,532.11478,2611.82,7356.14,10.915,90.6,90.6,,,,9742.20522,47818.5,134679.64,,,,123.403,583.54,5923.2
2004-04-01,1010.42752,4959.57,13968.31,12.501000000000001,103.76,103.76,,,,30064.20548,147566.72,415612.46,,,,36.473,172.47,1750.65
2004-05-01,1948.50993,9564.04,26936.36,13.526,112.23,112.23,,,,79332.67007,389395.34,1096701.3,,,,151.119,714.61,7253.54
2004-06-01,723.3462000000001,3550.46,9999.55,14.366000000000001,119.25,119.25,,,,42087.4988,206581.68,581818.17,,,,89.796,424.62,4310.08
