measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-561.0,0.0,0.0,,,,0.0,0.0,0.0
2003-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-490.0,0.0,0.0,,,,0.0,0.0,0.0
2003-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-825.0,0.0,0.0,,,,0.0,0.0,0.0
2003-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,10720.0,212271.0,212271.0,,,,0.0,0.0,0.0
2003-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-345.0,0.0,0.0,,,,0.0,0.0,0.0
2003-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-223.0,0.0,0.0,,,,0.0,0.0,0.0
2003-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-244.0,0.0,0.0,,,,0.0,0.0,0.0
2003-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,5468.0,88549.0,88549.0,,,,0.0,0.0,0.0
2003-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-247.0,0.0,0.0,,,,0.0,0.0,0.0
2003-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-334.0,0.0,0.0,,,,0.0,0.0,0.0
2003-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-155.0,0.0,0.0,,,,0.0,0.0,0.0
2003-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-400.0,0.0,0.0,,,,0.0,0.0,0.0
2004-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-154.0,0.0,0.0
2004-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-151.0,0.0,0.0
2004-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-86.0,0.0,0.0
2004-05-01,,,,0.0,0.0,0.0,-44.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-53.0,0.0,0.0
2004-07-01,,,,0.0,0.0,0.0,-48.0,117.0,117.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-08-01,,,,0.0,0.0,0.0,-64.0,140.0,140.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-09-01,,,,0.0,0.0,0.0,-52.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-199.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-159.0,0.0,0.0
2004-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-147.0,0.0,0.0
2005-01-01,,,,6.0,52.2,52.2,5.0,70.04,70.04,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-119.0,0.0,0.0
2005-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-219.0,0.0,0.0
2005-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-248.0,0.0,0.0
2005-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-265.0,0.0,0.0
2005-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-315.0,8495.52,8495.52,,,,0.0,0.0,0.0
2005-07-01,,,,0.0,0.0,0.0,-294.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-122.0,0.0,0.0
2005-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-341.0,0.0,0.0
2005-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-116.0,0.0,0.0
2006-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-156.0,0.0,0.0
2006-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-178.0,0.0,0.0
2006-03-01,,,,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-88.0,0.0,0.0
2006-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-55.0,0.0,0.0
2006-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-593.0,0.0,0.0
2006-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-65.0,60.0,60.0,,,,0.0,0.0,0.0
2006-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-242.0,0.0,0.0,,,,0.0,0.0,0.0
2006-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-63.0,44.0,44.0,,,,0.0,0.0,0.0
2006-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,,,,0.0,0.0,0.0
2006-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,132.0,,,,0.0,0.0,0.0
2007-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,149.0,,,,0.0,0.0,0.0
2007-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,,,,0.0,0.0,0.0
2007-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-06-01,,,,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-01-01,13.0,510.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2008-02-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2008-05-01,0.0,510.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2008-06-01,0.0,0.0,0.0,-13.0,1050.0,1050.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2008-07-01,0.0,0.0,0.0,-13.0,319.0,319.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2008-08-01,0.0,0.0,0.0,-1.0,638.0,638.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2008-09-01,,,,-1.0,133.0,133.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-10-01,,,,-4.0,128.0,128.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-11-01,,,,-17.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-12-01,,,,-37.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-01-01,,,,-35.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2009-02-01,,,,-22.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2009-03-01,,,,-10.0,244.0,244.0,0.0,0.0,0.0,,,,,,,,,
2009-04-01,,,,-5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2009-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2009-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2009-07-01,,,,-9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2009-08-01,,,,-4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2009-09-01,,,,-5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2009-10-01,,,,0.0,157.0,157.0,0.0,0.0,0.0,,,,,,,,,
2009-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2009-12-01,,,,-43.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2010-01-01,,,,-31.0,71.0,71.0,0.0,0.0,0.0,,,,,,,,,
2010-02-01,,,,-16.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2010-03-01,,,,-6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2010-04-01,,,,-2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2010-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2010-06-01,,,,-26.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2010-07-01,,,,-28.0,6.0,6.0,0.0,0.0,0.0,,,,,,,,,
