measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,176315.0,1786298.0,2246950.0,283.0,2863.0,3602.0,,,,0.0,0.0,0.0
2003-02-01,92570.0,967529.0,1242807.0,298.0,3116.0,4002.0,,,,0.0,0.0,0.0
2003-03-01,73900.0,715120.0,996421.0,310.0,2997.0,4176.0,,,,0.0,0.0,0.0
2003-04-01,85437.0,914934.0,1214315.0,1111.0,11895.0,15788.0,,,,124.0,1328.0,1761.0
2003-05-01,176616.0,1859015.0,2313266.0,108.0,1142.0,1421.0,,,,1343.0,14137.0,17592.0
2003-06-01,170167.0,1920539.0,2296350.0,97.0,1096.0,1311.0,,,,285.0,3213.0,3842.0
2003-07-01,173576.0,1921412.0,2324664.0,21.0,235.0,284.0,,,,389.0,4308.0,5212.0
2003-08-01,176334.0,1899794.0,2311757.0,323.0,3474.0,4228.0,,,,776.0,8363.0,10176.0
2003-09-01,179964.0,1854134.0,2278452.0,2.0,24.0,29.0,,,,848.0,8734.0,10733.0
2003-10-01,182207.0,1906193.0,2351809.0,137.0,1434.0,1769.0,,,,781.0,8172.0,10084.0
2003-11-01,87329.0,948694.0,1100919.0,873.0,9481.0,11003.0,,,,51.0,550.0,639.0
2003-12-01,177062.0,1794905.0,2034115.0,115.0,1162.0,1317.0,,,,0.0,0.0,0.0
2004-01-01,174424.04059,1461403.44,2275122.1,3.11263,26.08,40.6,,,,,,
2004-02-01,159701.606,1338051.7,2155195.08,4.7276299999999996,39.61,63.8,,,,,,
2004-03-01,82363.5912,690087.84,1093428.6,50.67933,424.62,672.8,,,,,,
2004-04-01,107566.30354,901227.43,1418580.08,869.4749,7284.76,11466.6,,,,108.85156,912.0,1435.53
2004-05-01,166463.23208,1394686.13,2208641.12,394.30084,3303.59,5231.6,,,,134.79608,1129.37,1788.48
2004-06-01,157424.54658,1318956.92,2139341.75,685.86107,5746.38,9320.6,,,,139.35035,1167.53,1893.72
2004-07-01,174780.30569,1464369.43,2269422.11,128.64642,1077.84,1670.4,,,,123.00889,1030.61,1597.2
2004-08-01,157933.35266,1323219.86,2151857.7,607.87811,5093.01,8282.4,,,,191.55822999999998,1604.94,2610.0
2004-09-01,109625.29283,918478.35,1568297.35,2070.09922,17344.0,29614.8,,,,79.68695,667.64,1140.0
2004-10-01,171791.46088,1439327.87,2231489.25,1.78605,14.96,23.2,,,,266.58406,2233.53,3462.8
2004-11-01,79922.54973,669618.57,1100987.2,1818.43699,15235.49,25050.2,,,,114.98528,963.39,1584.0
2004-12-01,176563.05232,1479305.89,2301940.44,33.365300000000005,279.55,435.0,,,,193.85237999999998,1624.16,2527.35
2005-01-01,173397.66022,1497716.65,2080241.05,684.0912000000001,5908.82,8207.0,0.0,0.0,0.0,282.18558,2437.37,3385.36
2005-02-01,159865.69819,1380834.76,1892452.35,433.12235,3741.08,5127.2,1652.59002,14274.19,19562.97,260.29545,2248.29,3081.32
2005-03-01,180508.57666,1559136.95,2165725.22,139.22428,1202.55,1670.4,2055.41899,17753.61,24660.73,216.46308,1869.69,2597.1
2005-04-01,19899.65069,171882.58,244032.8,994.16382,8587.06,12191.6,0.0,0.0,0.0,14.43248,124.66,176.99
2005-05-01,186056.10584,1607053.57,2247155.2,129.17877,1115.78,1560.2,0.0,0.0,0.0,102.66839,886.79,1240.01
2005-06-01,179591.93498,1551219.5,2117581.3,98.37953,849.75,1160.0,0.0,0.0,0.0,156.3785,1350.71,1843.87
2005-07-01,196542.97347,1697633.54,2294971.98,27.31938,235.97,319.0,0.0,0.0,0.0,199.72915,1725.15,2332.18
2005-08-01,187369.17594,1618395.16,2229968.74,222.22464,1919.46,2644.8,0.0,0.0,0.0,334.11442,2885.9,3976.45
2005-09-01,181449.39504,1567263.26,2129832.73,149.22616,1288.94,1751.6,0.0,0.0,0.0,287.10479,2479.86,3370.0
2005-10-01,175031.06401,1511825.12,2139013.06,639.28908,5521.84,7812.6,0.0,0.0,0.0,296.68091,2562.57,3625.67
2005-11-01,101292.86502,874913.82,1158868.71,1152.82417,9957.48,13189.2,0.0,0.0,0.0,259.57782,2242.09,2969.77
2005-12-01,193627.92665,1672454.92,2372248.65,21.77678,188.1,266.8,0.0,0.0,0.0,384.52957,3321.36,4711.1
2006-01-01,155947.62479,1346992.54,1985486.58,297.93227,2573.38,3793.2,0.0,0.0,0.0,373.47694,3225.89,4755.02
2006-02-01,164300.26049,1419138.15,2015357.2,120.10136,1037.37,1473.2,0.0,0.0,0.0,278.42515000000003,2404.89,3415.25
2006-03-01,164190.67942,1418191.65,2058742.37,384.85561,3324.18,4825.6,0.0,0.0,0.0,425.98697,3679.45,5341.34
2006-04-01,14815.95061,127972.29,144832.64,34.41272,297.24,336.4,0.0,0.0,0.0,36.72566,317.22,359.01
2006-05-01,166083.31834,1434539.26,1943832.0,1760.72077,15208.17,20607.4,0.0,0.0,0.0,170.85589,1475.76,1999.69
2006-06-01,191512.65874,1654184.36,2246666.47,1.9776399999999998,17.08,23.2,0.0,0.0,0.0,573.71262,4955.42,6730.32
2006-07-01,155938.9296,1346917.44,1881231.52,942.31557,8139.22,11368.0,0.0,0.0,0.0,370.27083,3198.2,4466.91
2006-08-01,134772.23169,1164090.77,1694422.28,1855.44817,16026.37,23327.6,0.0,0.0,0.0,145.00614,1252.49,1823.09
2006-09-01,183453.06855,1584569.91,2206752.77,258.92476,2236.45,3114.6,0.0,0.0,0.0,416.7647,3599.79,5013.25
2006-10-01,189914.84114,1640383.27,2259557.17,2.43744,21.05,29.0,0.0,0.0,0.0,646.21842,5581.69,7688.54
2006-11-01,100967.03661,872099.5,1264882.43,883.3561000000001,7629.96,11066.4,0.0,0.0,0.0,293.18428,2532.37,3672.92
2006-12-01,181411.97235,1566940.0,2289249.18,64.34709,555.8,812.0,0.0,0.0,0.0,549.13156,4743.11,6929.53
2007-01-01,181662.872,1569107.0,2170048.0,537.0070000000001,4640.0,6415.0,0.0,0.0,0.0,617.339,5333.0,7374.0
2007-02-01,174801.561,1509831.0,1997201.0,1.5230000000000001,12.0,17.0,0.0,0.0,0.0,807.188,6972.0,9223.0
2007-03-01,179036.718,1546429.0,2104333.0,383.915,3318.0,4512.0,0.0,0.0,0.0,794.93,6866.0,9343.0
2007-04-01,19612.364999999998,169392.0,227880.0,1198.516,10353.0,13926.0,0.0,0.0,0.0,20.052,173.0,233.0
2007-05-01,169664.778,1465464.0,2084779.0,693.868,5991.0,8526.0,0.0,0.0,0.0,354.778,3064.0,4359.0
2007-06-01,185173.132,1599416.0,2283363.0,97.835,847.0,1206.0,0.0,0.0,0.0,500.94,4327.0,6177.0
2007-07-01,161795.007,1397493.0,2012068.0,941.178,8132.0,11704.0,0.0,0.0,0.0,473.149,4087.0,5884.0
2007-08-01,194205.429,1677438.0,2318406.0,5.83,52.0,70.0,0.0,0.0,0.0,503.894,4352.0,6015.0
2007-09-01,150791.355,1302455.0,1886709.0,845.5210000000001,7302.0,10579.0,0.0,0.0,0.0,466.29,4026.0,5834.0
2007-10-01,149688.66,1292936.0,1833009.0,1370.2530000000002,11838.0,16779.0,0.0,0.0,0.0,468.59200000000004,4048.0,5738.0
2007-11-01,78601.16,678911.0,965206.0,1406.0990000000002,12145.0,17267.0,0.0,0.0,0.0,209.02,1807.0,2567.0
2007-12-01,176640.16,1525733.0,2110314.0,206.81400000000002,1786.0,2471.0,0.0,0.0,0.0,592.7470000000001,5121.0,7082.0
2008-01-01,174142.699,1621846.0,2231369.0,4.074,38.0,52.0,0.0,0.0,0.0,631.227,5879.0,8088.0
2008-02-01,154874.649,1451162.0,2065745.0,198.723,1862.0,2651.0,0.0,0.0,0.0,252.62800000000001,2367.0,3370.0
2008-03-01,147479.119,1395592.0,2069371.0,367.88300000000004,3481.0,5162.0,0.0,0.0,0.0,389.998,3691.0,5472.0
2008-04-01,12642.822,120284.0,186480.0,1034.178,9839.0,15254.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,182204.916,1684760.0,2370547.0,1.7830000000000001,16.0,23.0,0.0,0.0,0.0,579.301,5357.0,7537.0
2008-06-01,173118.051,1606076.0,2308431.0,2.1750000000000003,20.0,29.0,0.0,0.0,0.0,464.774,4312.0,6198.0
2008-07-01,159697.676,1496876.0,2252980.0,457.988,4293.0,6461.0,0.0,0.0,0.0,381.336,3574.0,5380.0
2008-08-01,130080.002,1240699.0,1954142.0,1131.228,10790.0,16994.0,0.0,0.0,0.0,178.77,1705.0,2686.0
2008-09-01,165175.685,1541641.0,2265056.0,119.274,1113.0,1636.0,0.0,0.0,0.0,310.041,2894.0,4252.0
2008-10-01,154582.259,1454407.0,2208824.0,439.59700000000004,4136.0,6281.0,0.0,0.0,0.0,213.143,2005.0,3046.0
2008-11-01,78945.029,742919.0,1143288.0,1340.056,12611.0,19407.0,0.0,0.0,0.0,14.915000000000001,140.0,216.0
2008-12-01,176556.188,1627639.0,2122067.0,96.03,885.0,1154.0,0.0,0.0,0.0,10.783000000000001,99.0,130.0
2009-01-01,169845.949,1565953.0,2060057.0,293.611,2707.0,3561.0,0.0,0.0,0.0,2.44,23.0,30.0
2009-02-01,140048.021,1313875.0,1965551.0,183.073,1718.0,2569.0,0.0,0.0,0.0,123.906,1162.0,1739.0
2009-03-01,161216.538,1496355.0,2062546.0,520.9,4835.0,6664.0,0.0,0.0,0.0,46.562000000000005,432.0,596.0
2009-04-01,8895.646,87401.0,139923.0,1293.5320000000002,12709.0,20346.0,0.0,0.0,0.0,6.822,67.0,107.0
2009-05-01,155208.177,1449293.0,2079501.0,465.79600000000005,4349.0,6241.0,0.0,0.0,0.0,251.02700000000002,2344.0,3363.0
2009-06-01,166997.864,1544593.0,2125049.0,5.47,51.0,70.0,0.0,0.0,0.0,161.666,1495.0,2057.0
2009-07-01,164216.824,1513654.0,1875649.0,174.17600000000002,1605.0,1989.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,163623.578,1508170.0,1931642.0,4.422000000000001,41.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,126513.788,1190197.0,1606752.0,45.212,425.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,136888.115,1287114.0,1780307.0,5.798,55.0,75.0,0.0,0.0,0.0,13.087,123.0,170.0
2009-11-01,55487.771,543639.0,872870.0,753.996,7387.0,11861.0,0.0,0.0,0.0,27.233,267.0,428.0
2009-12-01,142079.624,1338804.0,1877783.0,61.439,579.0,812.0,0.0,0.0,0.0,196.937,1856.0,2603.0
2010-01-01,168943.953,1571516.0,2209307.0,139.709,1300.0,1827.0,0.0,0.0,0.0,198.33800000000002,1845.0,2594.0
2010-02-01,152571.177,1421832.0,2035869.0,44.77,417.0,597.0,0.0,0.0,0.0,304.053,2834.0,4057.0
2010-03-01,38240.090000000004,357009.0,541948.0,47.473,443.0,673.0,0.0,0.0,0.0,43.437000000000005,406.0,616.0
2010-04-01,71901.584,683037.0,1107890.0,1705.924,16206.0,26286.0,0.0,0.0,0.0,121.492,1154.0,1872.0
2010-05-01,143094.473,1353382.0,2006372.0,197.31400000000002,1866.0,2767.0,0.0,0.0,0.0,498.213,4712.0,6986.0
2010-06-01,152142.338,1427638.0,2162465.0,246.87900000000002,2317.0,3509.0,0.0,0.0,0.0,214.78300000000002,2015.0,3053.0
2010-07-01,146715.32,1370653.0,2051766.0,905.791,8462.0,12667.0,0.0,0.0,0.0,368.889,3446.0,5159.0
2010-08-01,170553.958,1588947.0,2313749.0,2.565,24.0,35.0,0.0,0.0,0.0,474.47700000000003,4420.0,6437.0
2010-09-01,143354.957,1352387.0,2017877.0,63.455000000000005,599.0,893.0,0.0,0.0,0.0,459.588,4336.0,6469.0
2010-10-01,118089.265,1140298.0,1814830.0,40.382000000000005,390.0,621.0,0.0,0.0,0.0,474.353,4580.0,7290.0
2010-11-01,63585.478,614315.0,1013575.0,789.932,7632.0,12592.0,0.0,0.0,0.0,208.59,2015.0,3325.0
2010-12-01,124046.577,1172836.0,1722023.0,666.817,6305.0,9257.0,0.0,0.0,0.0,190.60600000000002,1802.0,2646.0
2011-01-01,130667.7,1241966.0,1954821.0,169.81,1614.0,2540.0,0.0,0.0,0.0,366.491,3483.0,5483.0
2011-02-01,102933.11,994565.0,1629774.0,1.099,11.0,17.0,0.0,0.0,0.0,471.79,4559.0,7470.0
2011-03-01,12699.21,124352.0,200673.0,879.8,8615.0,13903.0,0.0,0.0,0.0,25.99,255.0,411.0
2011-04-01,128841.01,1224860.0,1946935.0,240.657,2288.0,3637.0,0.0,0.0,0.0,489.334,4652.0,7394.0
2011-05-01,129416.72,1231964.0,1960722.0,357.56,3404.0,5417.0,0.0,0.0,0.0,528.724,5033.0,8010.0
2011-06-01,118003.68,1133678.0,1867514.0,134.135,1289.0,2123.0,0.0,0.0,0.0,465.187,4469.0,7362.0
2011-07-01,114814.15,1109303.0,1874697.0,152.388,1472.0,2488.0,0.0,0.0,0.0,630.459,6091.0,10294.0
2011-08-01,102294.22,1001997.0,1698567.0,2.445,24.0,41.0,0.0,0.0,0.0,551.337,5400.0,9155.0
2011-09-01,105773.74,1021624.0,1718572.0,492.626,4758.0,8004.0,0.0,0.0,0.0,527.634,5096.0,8573.0
2011-10-01,86946.099,869855.0,1565268.0,0.967,10.0,17.0,0.0,0.0,0.0,430.934,4311.0,7758.0
2011-11-01,50697.746,501530.0,877627.0,730.739,7229.0,12650.0,0.0,0.0,0.0,300.515,2973.0,5202.0
2011-12-01,81823.376,820407.0,1490585.0,1.91,19.0,35.0,0.0,0.0,0.0,502.714,5041.0,9158.0
2012-01-01,48283.808,486891.0,783625.0,1.072,11.0,17.0,0.0,0.0,0.0,83.12,838.0,1349.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,57207.783,568614.0,1001839.0,556.74,5534.0,9750.0,0.0,0.0,0.0,305.477,3036.0,5350.0
2012-04-01,9492.486,93692.0,170225.0,786.59,7764.0,14106.0,0.0,0.0,0.0,44.924,443.0,806.0
2012-05-01,87911.521,867330.0,1547363.0,197.712,1951.0,3480.0,0.0,0.0,0.0,515.767,5089.0,9078.0
2012-06-01,83183.711,825814.0,1517188.0,22.578,224.0,412.0,0.0,0.0,0.0,488.711,4852.0,8914.0
2012-07-01,103689.02,996805.0,1657822.0,807.148,7759.0,12905.0,0.0,0.0,0.0,488.829,4699.0,7816.0
2012-08-01,97915.715,950482.0,1633200.0,277.836,2697.0,4634.0,0.0,0.0,0.0,461.449,4479.0,7697.0
2012-09-01,91291.07,892325.0,1564111.0,114.421,1118.0,1960.0,0.0,0.0,0.0,538.509,5264.0,9226.0
2012-10-01,88303.314,867583.0,1476458.0,358.331,3521.0,5991.0,0.0,0.0,0.0,486.355,4778.0,8132.0
2012-11-01,6015.036,59222.0,101745.0,823.964,8112.0,13937.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,81776.189,800946.0,1445650.0,725.733,7108.0,12830.0,0.0,0.0,0.0,438.078,4291.0,7744.0
2013-04-01,5610.963,54436.0,88897.0,1184.636,11493.0,18769.0,0.0,0.0,0.0,1.401,14.0,22.0
2013-05-01,97526.386,945289.0,1458829.0,146.567,1421.0,2192.0,0.0,0.0,0.0,463.047,4488.0,6926.0
2013-06-01,94751.964,918586.0,1448024.0,1.898,18.0,29.0,0.0,0.0,0.0,502.138,4868.0,7674.0
2013-07-01,88845.411,871742.0,1418001.0,66.139,649.0,1056.0,0.0,0.0,0.0,443.45,4351.0,7078.0
2013-08-01,108537.05,1035329.0,1597346.0,1.576,15.0,23.0,0.0,0.0,0.0,523.379,4992.0,7703.0
2013-09-01,90870.024,876178.0,1319178.0,2.397,23.0,35.0,0.0,0.0,0.0,285.579,2754.0,4146.0
2013-10-01,99529.205,965751.0,1489230.0,1.551,15.0,23.0,0.0,0.0,0.0,592.244,5747.0,8862.0
2013-11-01,57206.187,543741.0,823263.0,797.184,7577.0,11472.0,0.0,0.0,0.0,232.629,2211.0,3348.0
2013-12-01,58239.122,552970.0,858508.0,1.18,11.0,17.0,0.0,0.0,0.0,246.698,2342.0,3637.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,13372.151,128396.0,198683.0,592.57,5690.0,8804.0,0.0,0.0,0.0,1.279,12.0,19.0
2014-03-01,114194.74,1092101.0,1682777.0,1.181,11.0,17.0,0.0,0.0,0.0,412.078,3941.0,6072.0
2014-04-01,13185.758,124541.0,186660.0,1050.509,9922.0,14871.0,0.0,0.0,0.0,45.733,432.0,647.0
2014-05-01,118941.64,1132716.0,1726307.0,91.512,871.0,1328.0,,,,522.851,4979.0,7589.0
2014-06-01,111279.91,1062271.0,1641537.0,389.644,3720.0,5748.0,,,,616.442,5885.0,9093.0
2014-07-01,109996.17,1058703.0,1611014.0,2.376,23.0,35.0,,,,952.459,9167.0,13950.0
2014-08-01,109225.65,1047382.0,1477061.0,2.573,25.0,35.0,,,,976.778,9366.0,13209.0
2014-09-01,98159.589,950155.0,1337984.0,2.553,25.0,35.0,,,,987.858,9562.0,13465.0
2014-10-01,100481.55,971057.0,1362880.0,2.138,21.0,29.0,,,,1192.309,11523.0,16172.0
2014-11-01,54660.423,525147.0,764908.0,1046.948,10058.0,14651.0,,,,679.629,6529.0,9511.0
2014-12-01,26800.76,266194.0,408584.0,1.141,11.0,17.0,,,,108.099,1074.0,1648.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-04-01,14067.694,139867.0,215322.0,796.138,7916.0,12186.0,,,,21.168,210.0,324.0
2015-05-01,105579.31,1017340.0,1461098.0,2.096,20.0,29.0,,,,369.597,3561.0,5115.0
2015-06-01,96467.252,933644.0,1330638.0,155.999,1510.0,2152.0,,,,464.749,4498.0,6411.0
2015-07-01,93923.565,910021.0,1323040.0,1.647,16.0,23.0,,,,484.788,4697.0,6829.0
2015-08-01,93714.261,906688.0,1280691.0,442.663,4283.0,6049.0,,,,532.076,5148.0,7271.0
2015-09-01,57397.951,557263.0,805665.0,104.129,1011.0,1462.0,,,,359.92,3494.0,5052.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-07-01,42159.81,408867.0,570630.0,2040.19,19786.0,27614.0,,,,0.0,0.0,0.0
2016-08-01,23795.0,231236.0,331977.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-10-01,30874.089,299802.0,488493.0,895.911,8700.0,14175.0,,,,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
