measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-03-01,,,,0.0,0.0,0.0,,,,,,
2003-04-01,,,,0.0,0.0,0.0,,,,,,
2003-05-01,,,,0.0,0.0,0.0,,,,,,
2003-06-01,,,,0.0,0.0,0.0,2.0,30.0,30.0,,,
2003-07-01,1932.0,27096.0,27096.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-08-01,2123.0,29784.0,29784.0,0.0,0.0,0.0,,,,,,
2003-09-01,1781.0,24984.0,24984.0,0.0,0.0,0.0,48.0,485.0,485.0,,,
2003-10-01,1389.0,19464.0,19464.0,,,,50.0,592.0,592.0,,,
2003-11-01,1509.0,21120.0,21120.0,4.0,52.0,52.0,109.0,1278.0,1278.0,,,
2003-12-01,2005.0,28080.0,28080.0,0.0,0.0,0.0,31.0,364.0,364.0,,,
2004-01-01,2034.955,126046.0,126046.0,0.0,0.0,0.0,253.175,15420.0,15420.0,,,
2004-02-01,1985.0010000000002,122952.0,122952.0,0.0,0.0,0.0,123.10600000000001,7498.0,7498.0,,,
2004-03-01,2068.337,128114.0,128114.0,0.0,0.0,0.0,123.066,7496.0,7496.0,,,
2004-04-01,1338.2340000000002,82891.0,82891.0,0.0,0.0,0.0,140.219,8540.0,8540.0,,,
2004-05-01,1132.636,70156.0,70156.0,0.0,0.0,0.0,76.321,4649.0,4649.0,,,
