measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Other - Other - Other - Generation,Other - Other - Other - Quantity Consumed For Electricity,Other - Other - Other - Total Fuel Consumed
2003-01-01,41.0,853.0,853.0,1052.0,10773.53,10773.53,,,,,,
2003-02-01,,,,549.0,5622.31,5622.31,,,,,,
2003-03-01,31.0,621.0,621.0,1386.0,14194.03,14194.03,,,,,,
2003-04-01,,,,1485.0,15207.89,15207.89,,,,,,
2003-05-01,-4.0,0.0,0.0,976.0,9995.22,9995.22,,,,,,
2003-06-01,-13.0,0.0,0.0,1457.0,14921.14,14921.14,,,,,,
2003-07-01,-3.0,0.0,0.0,431.0,4413.87,4413.87,,,,,,
2003-08-01,0.0,0.0,0.0,386.0,3953.03,3953.03,,,,,,
2003-09-01,-9.0,0.0,0.0,211.0,2160.85,2160.85,,,,,,
2003-10-01,269.0,3073.0,3073.0,369.0,3778.93,3778.93,,,,,,
2003-11-01,202.0,3050.0,3050.0,1118.0,11449.44,11449.44,,,,,,
2003-12-01,108.0,1703.0,1703.0,1130.0,11572.33,11572.33,,,,,,
2004-01-01,126.41900000000001,2042.0,2042.0,4795.207,48057.56,48057.56,,,,,,
2004-02-01,189.62800000000001,3063.0,3063.0,194.595,1950.23,1950.23,,,,,,
2004-03-01,63.209,1021.0,1021.0,409.61100000000005,4105.12,4105.12,,,,,,
2004-04-01,108.35900000000001,1750.0,1750.0,227.02800000000002,2275.27,2275.27,,,,,,
2004-05-01,0.0,0.0,0.0,547.749,5489.54,5489.54,,,,,,
2004-06-01,0.0,0.0,0.0,281.082,2817.0,2817.0,,,,,,
2004-07-01,141.46800000000002,2285.0,2285.0,753.155,7548.12,7548.12,,,,,,
2004-08-01,276.91700000000003,4473.0,4473.0,1370.574,13735.89,13735.89,,,,,,
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-01-01,,,,1071.42,10713.13,10713.13,233.24900000000002,3708.79,3708.79,,,
2005-02-01,,,,926.3470000000001,9262.55,9262.55,80.137,1274.22,1274.22,,,
2005-03-01,,,,1014.775,10146.73,10146.73,88.822,1412.32,1412.32,,,
2005-04-01,,,,969.317,9692.21,9692.21,107.58800000000001,1710.72,1710.72,,,
2005-05-01,,,,876.8340000000001,8767.46,8767.46,99.92200000000001,1588.82,1588.82,,,
2005-06-01,,,,987.67,9875.72,9875.72,129.689,2062.14,2062.14,,,
2005-07-01,,,,1060.142,10600.36,10600.36,132.008,2099.0,2099.0,,,
2005-08-01,,,,897.013,8969.23,8969.23,155.077,2465.81,2465.81,,,
2005-09-01,,,,742.229,7421.54,7421.54,101.515,1614.15,1614.15,,,
2005-10-01,,,,633.48,6334.17,6334.17,112.73400000000001,1792.53,1792.53,,,
2005-11-01,,,,677.95,6778.82,6778.82,90.628,1441.04,1441.04,,,
2005-12-01,,,,829.8230000000001,8297.4,8297.4,191.631,3047.05,3047.05,,,
2006-01-01,,,,790.785,7844.0,7844.0,96.95700000000001,1667.0,1667.0,,,
2006-02-01,,,,713.0540000000001,7073.0,7073.0,50.735,872.0,872.0,,,
2006-03-01,,,,628.211,6231.0,6231.0,42.618,733.0,733.0,,,
2006-04-01,,,,683.787,6782.0,6782.0,81.63600000000001,1403.0,1403.0,,,
2006-05-01,,,,808.464,8019.0,8019.0,76.309,1312.0,1312.0,,,
2006-06-01,,,,794.368,7879.0,7879.0,69.36,1192.0,1192.0,,,
2006-07-01,,,,833.004,8263.0,8263.0,100.46900000000001,1727.0,1727.0,,,
2006-08-01,,,,826.984,8203.0,8203.0,97.455,1675.0,1675.0,,,
2006-09-01,,,,536.811,5325.0,5325.0,44.772000000000006,770.0,770.0,,,
2006-10-01,,,,473.237,4694.0,4694.0,47.294000000000004,813.0,813.0,,,
2006-11-01,,,,554.316,5498.0,5498.0,55.69,957.0,957.0,,,
2006-12-01,,,,586.979,5822.0,5822.0,61.705,1061.0,1061.0,,,
2007-01-01,0.0,0.0,0.0,636.5640000000001,6292.0,6292.0,54.014,214.0,214.0,,,
2007-02-01,0.0,0.0,0.0,460.19800000000004,4549.0,4549.0,63.596000000000004,253.0,253.0,,,
2007-03-01,0.0,0.0,0.0,533.3240000000001,5271.0,5271.0,59.353,236.0,236.0,,,
2007-04-01,0.0,0.0,0.0,761.47,7526.0,7526.0,19.413,79.0,79.0,,,
2007-05-01,0.0,0.0,0.0,806.193,7968.0,7968.0,19.658,79.0,79.0,,,
2007-06-01,0.0,0.0,0.0,478.18100000000004,4726.0,4726.0,26.831,107.0,107.0,,,
2007-07-01,0.0,0.0,0.0,386.16900000000004,3817.0,3817.0,27.004,107.0,107.0,,,
2007-08-01,0.0,0.0,0.0,331.837,3280.0,3280.0,31.993000000000002,129.0,129.0,,,
2007-09-01,0.0,0.0,0.0,316.668,3130.0,3130.0,22.471,90.0,90.0,,,
2007-10-01,0.0,0.0,0.0,414.96700000000004,4102.0,4102.0,28.284000000000002,113.0,113.0,,,
2007-11-01,0.0,0.0,0.0,623.9820000000001,6167.0,6167.0,5.252000000000001,23.0,23.0,,,
2007-12-01,0.0,0.0,0.0,587.448,5806.0,5806.0,55.13,220.0,220.0,,,
2008-01-01,0.0,0.0,0.0,820.272,8083.0,8083.0,32.09,442.0,442.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,847.211,8348.0,8348.0,38.313,532.0,532.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,962.3340000000001,9483.0,9483.0,85.486,1187.0,1187.0,0.0,0.0,0.0
