measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2010-01-01,422.579,4710.0,4710.0,2794.029,31193.0,31193.0
2010-02-01,418.05100000000004,4669.0,4669.0,2484.504,27737.0,27737.0
2010-03-01,322.58500000000004,3602.0,3602.0,2666.503,29769.0,29769.0
2010-04-01,222.848,2488.0,2488.0,1984.708,22157.0,22157.0
2010-05-01,326.302,3642.0,3642.0,2623.81,29293.0,29293.0
2010-06-01,286.72,3202.0,3202.0,2476.609,27649.0,27649.0
2010-07-01,60.635000000000005,679.0,679.0,2511.527,28039.0,28039.0
2010-08-01,155.12,1734.0,1734.0,1285.1000000000001,14347.0,14347.0
2010-09-01,49.341,551.0,551.0,2666.935,29774.0,29774.0
2010-10-01,374.86,4188.0,4188.0,2807.411,31342.0,31342.0
2010-11-01,196.83,2198.0,2198.0,2658.61,29681.0,29681.0
2010-12-01,385.67600000000004,4304.0,4304.0,2555.7070000000003,28532.0,28532.0
2011-01-01,152.214,1208.0,1208.0,603.913,4794.0,4794.0
2011-02-01,149.075,1186.0,1186.0,765.275,6075.0,6075.0
2011-03-01,100.958,804.0,804.0,789.767,6269.0,6269.0
2011-04-01,49.718,393.0,393.0,621.355,4932.0,4932.0
2011-05-01,55.131,439.0,439.0,780.41,6195.0,6195.0
2011-06-01,70.544,559.0,559.0,750.106,5954.0,5954.0
2011-07-01,151.478,1203.0,1203.0,778.833,6182.0,6182.0
2011-08-01,207.136,1642.0,1642.0,820.607,6514.0,6514.0
2011-09-01,127.642,1015.0,1015.0,666.196,5288.0,5288.0
2011-10-01,68.543,542.0,542.0,847.765,6730.0,6730.0
2011-11-01,75.791,604.0,604.0,868.485,6894.0,6894.0
2011-12-01,106.589,844.0,844.0,870.469,6910.0,6910.0
2012-01-01,162.885,1479.0,1479.0,874.361,7936.0,7936.0
2012-02-01,119.256,1085.0,1085.0,968.72,8793.0,8793.0
2012-03-01,107.863,980.0,980.0,1078.671,9791.0,9791.0
2012-04-01,165.669,1502.0,1502.0,1019.423,9253.0,9253.0
2012-05-01,61.321,557.0,557.0,1099.376,9979.0,9979.0
2012-06-01,48.035,435.0,435.0,782.764,7105.0,7105.0
2012-07-01,28.71,261.0,261.0,978.294,8880.0,8880.0
2012-08-01,184.226,1670.0,1670.0,1039.593,9436.0,9436.0
2012-09-01,106.25,963.0,963.0,1065.849,9675.0,9675.0
2012-10-01,65.503,597.0,597.0,1042.609,9464.0,9464.0
2012-11-01,108.03,980.0,980.0,1027.582,9327.0,9327.0
2012-12-01,119.598,1085.0,1085.0,888.412,8064.0,8064.0
2013-01-01,235.501,2248.0,2248.0,1857.852,17715.0,17715.0
2013-02-01,164.939,1576.0,1576.0,1695.505,16168.0,16168.0
2013-03-01,129.217,1231.0,1231.0,1878.073,17909.0,17909.0
2013-04-01,73.983,707.0,707.0,1866.84,17801.0,17801.0
2013-05-01,113.056,1075.0,1075.0,1819.173,17347.0,17347.0
2013-06-01,241.147,2300.0,2300.0,1475.804,14073.0,14073.0
2013-07-01,223.848,2133.0,2133.0,1726.453,16463.0,16463.0
2013-08-01,83.86,799.0,799.0,1948.709,18582.0,18582.0
2013-09-01,97.902,932.0,932.0,1883.429,17960.0,17960.0
2013-10-01,66.331,633.0,633.0,1763.914,16820.0,16820.0
2013-11-01,182.424,1742.0,1742.0,1814.624,17304.0,17304.0
2013-12-01,107.579,1024.0,1024.0,1702.837,16238.0,16238.0
2014-01-01,168.026,1519.0,1519.0,2049.736,18621.0,18621.0
2014-02-01,230.164,2089.0,2089.0,1791.231,16273.0,16273.0
2014-03-01,234.221,2130.0,2130.0,1931.618,17548.0,17548.0
2014-04-01,60.093,547.0,547.0,1807.741,16423.0,16423.0
2014-05-01,47.84,437.0,437.0,1852.278,16827.0,16827.0
2014-06-01,215.374,1956.0,1956.0,1381.234,12548.0,12548.0
2014-07-01,140.328,1275.0,1275.0,1615.279,14674.0,14674.0
2014-08-01,135.233,1228.0,1228.0,2172.922,19740.0,19740.0
