measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,7073.55,134986.5,134986.5,5787.45,110443.5,110443.5,,,
2003-02-01,3994.1,79205.5,79205.5,3267.9,64804.5,64804.5,,,
2003-03-01,7277.05,134964.5,134964.5,5953.95,110425.5,110425.5,,,
2003-04-01,6953.65,134964.5,134964.5,5689.35,110425.5,110425.5,,,
2003-05-01,6678.09175,143440.0,143440.0,5463.89325,117360.0,117360.0,,,
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-08-01,6369.55,123238.5,123238.5,5211.45,100831.5,100831.5,,,
2003-09-01,6540.6,111540.0,111540.0,5351.4,91260.0,91260.0,,,
2003-10-01,7102.7,114125.0,114125.0,5811.3,93375.0,93375.0,,,
2003-11-01,7059.25,123029.5,123029.5,5775.75,100660.5,100660.5,,,
2003-12-01,6803.5,129101.5,129101.5,5566.5,105628.5,105628.5,,,
2004-01-01,6810.2375,132614.9,132614.9,5572.0125,108503.1,108503.1,,,
2004-02-01,6810.2375,132614.9,132614.9,5572.0125,108503.1,108503.1,,,
2004-03-01,6810.2375,132614.9,132614.9,5572.0125,108503.1,108503.1,,,
2004-04-01,6810.2375,132614.9,132614.9,5572.0125,108503.1,108503.1,,,
2004-05-01,6810.2375,132614.9,132614.9,5572.0125,108503.1,108503.1,,,
2004-06-01,6810.2375,132614.9,132614.9,5572.0125,108503.1,108503.1,,,
2004-07-01,6810.2375,132614.9,132614.9,5572.0125,108503.1,108503.1,,,
2004-08-01,6810.2375,132614.9,132614.9,5572.0125,108503.1,108503.1,,,
2004-09-01,6810.2375,132614.9,132614.9,5572.0125,108503.1,108503.1,,,
2004-10-01,6810.2375,132614.9,132614.9,5572.0125,108503.1,108503.1,,,
2004-11-01,6810.2375,132614.9,132614.9,5572.0125,108503.1,108503.1,,,
2004-12-01,6810.2375,132614.9,132614.9,5572.0125,108503.1,108503.1,,,
2005-01-01,6450.14776,126127.75,126127.75,5067.97324,99100.37,99100.37,0.0,0.0,0.0
2005-02-01,5754.03864,112515.87,112515.87,4521.03036,88405.32,88405.32,0.0,0.0,0.0
2005-03-01,6571.908,128508.68,128508.68,5163.642,100971.11,100971.11,0.0,0.0,0.0
2005-04-01,6558.3224,128243.02,128243.02,5152.9676,100762.38,100762.38,0.0,0.0,0.0
2005-05-01,7209.92272,140984.58,140984.58,5664.93928,110773.59,110773.59,0.0,0.0,0.0
2005-06-01,7142.94952,139674.96,139674.96,5612.31748,109744.61,109744.61,0.0,0.0,0.0
2005-07-01,7396.14176,144625.95,144625.95,5811.25424,113634.67,113634.67,0.0,0.0,0.0
2005-08-01,7362.71368,143972.29,143972.29,5784.98932,113121.09,113121.09,0.0,0.0,0.0
2005-09-01,6935.62744,135620.93,135620.93,5449.42156,106559.3,106559.3,0.0,0.0,0.0
2005-10-01,7001.00128,136899.27,136899.27,5500.78672,107563.71,107563.71,0.0,0.0,0.0
2005-11-01,7051.19128,137880.7,137880.7,5540.22172,108334.84,108334.84,0.0,0.0,0.0
2005-12-01,7066.91664,138188.2,138188.2,5552.57736,108576.44,108576.44,0.0,0.0,0.0
