measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2017-02-01,31.916,374.0,94263.0
2017-03-01,33.216,389.0,98103.0
2017-04-01,25.296,297.0,74714.0
2017-05-01,30.621,359.0,90441.0
2017-06-01,34.115,400.0,100760.0
2017-07-01,41.481,486.0,122516.0
2017-08-01,40.863,479.0,120688.0
2017-09-01,35.436,415.0,104660.0
2017-10-01,30.664,360.0,90567.0
2017-11-01,42.789,502.0,126378.0
2017-12-01,47.423,556.0,140064.0
2018-01-01,251.324,2947.0,116770.0
2018-02-01,223.304,2618.0,103753.0
2018-03-01,236.392,2772.0,109834.0
2018-04-01,223.211,2617.0,103710.0
2018-05-01,214.278,2512.0,99559.0
2018-06-01,235.108,2757.0,109238.0
2018-07-01,268.391,3147.0,124701.0
2018-08-01,276.55,3243.0,128493.0
2018-09-01,244.336,2865.0,113525.0
2018-10-01,226.855,2660.0,105403.0
2018-11-01,239.846,2812.0,111439.0
2018-12-01,257.795,3023.0,119778.0
2019-01-01,358.465,4077.0,103072.0
2019-02-01,386.067,4391.0,111007.0
2019-03-01,386.904,4400.0,111249.0
2019-04-01,339.043,3856.0,97486.0
2019-05-01,317.318,3609.0,91240.0
2019-06-01,374.723,4262.0,107746.0
2019-07-01,408.913,4651.0,117577.0
2019-08-01,412.373,4690.0,118571.0
2019-09-01,363.977,4140.0,104656.0
2019-10-01,320.099,3641.0,92039.0
2019-11-01,304.451,3463.0,87540.0
2019-12-01,391.667,4455.0,112618.0
2020-01-01,261.216,2971.0,111265.0
2020-02-01,241.615,2748.0,102915.0
2020-03-01,248.901,2831.0,106019.0
2020-04-01,214.162,2436.0,91222.0
2020-05-01,202.556,2304.0,86278.0
2020-06-01,213.713,2431.0,91031.0
2020-07-01,260.418,2962.0,110924.0
2020-08-01,252.76,2875.0,107662.0
2020-09-01,222.847,2535.0,94922.0
2020-10-01,163.608,1861.0,69689.0
2020-11-01,211.042,2400.0,89893.0
2020-12-01,254.162,2891.0,108260.0
2021-01-01,143.959,1637.0,113769.0
2021-02-01,120.174,1367.0,94974.0
2021-03-01,128.779,1465.0,101774.0
2021-04-01,102.896,1170.0,81319.0
2021-05-01,121.962,1387.0,96385.0
2021-06-01,110.701,1259.0,87486.0
2021-07-01,113.488,1291.0,89690.0
2021-08-01,123.459,1404.0,97569.0
2021-09-01,100.009,1137.0,79037.0
2021-10-01,119.171,1355.0,94181.0
2021-11-01,120.432,1370.0,95178.0
2021-12-01,123.97,1410.0,97973.0
2022-01-01,132.9,1512.0,117028.0
2022-02-01,113.067,1286.0,99565.0
2022-03-01,112.987,1285.0,99495.0
2022-04-01,82.766,941.0,72883.0
2022-05-01,103.649,1179.0,91273.0
2022-06-01,115.196,1310.0,101440.0
2022-07-01,125.92,1432.0,110883.0
2022-08-01,122.574,1394.0,107936.0
2022-09-01,115.643,1315.0,101834.0
2022-10-01,96.237,1095.0,84745.0
2022-11-01,117.851,1340.0,103778.0
2022-12-01,120.21,1367.0,105855.0
2023-01-01,160.447,1825.0,94088.0
2023-02-01,150.173,1708.0,88063.0
2023-03-01,161.979,1842.0,94987.0
2023-04-01,107.378,1221.0,62968.0
2023-05-01,144.777,1647.0,84899.0
2023-06-01,161.696,1839.0,94820.0
2023-07-01,175.2,1993.0,102740.0
2023-08-01,172.959,1967.0,101426.0
2023-09-01,164.037,1866.0,96194.0
2023-10-01,121.602,1383.0,71309.0
2023-11-01,158.624,1804.0,93019.0
2023-12-01,168.128,1912.0,98592.0
2024-01-01,200.526,2281.0,99810.0
2024-02-01,191.57,2179.0,95354.0
2024-03-01,191.707,2180.0,95423.0
2024-04-01,147.705,1680.0,73521.0
2024-05-01,157.933,1796.0,78611.0
2024-06-01,185.29,2107.0,92228.0
2024-07-01,200.762,2283.0,99930.0
2024-08-01,206.154,2345.0,102614.0
2024-09-01,197.233,2243.0,98173.0
2024-10-01,109.597,1246.0,54552.0
2024-11-01,178.183,2027.0,88691.0
2024-12-01,209.34,2381.0,104199.0
