measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Other Gases-Combustion (Gas) Turbine (including jet engine design) Generation,Other Gases-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Other Gases-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,50480.0,454452.0,454452.0,,,
2003-02-01,27678.0,215115.0,215115.0,,,
2003-03-01,26033.0,252990.0,252990.0,,,
2003-04-01,37399.0,360365.0,360365.0,,,
2003-05-01,26169.0,262189.0,262189.0,,,
2003-06-01,32697.0,322102.0,322102.0,,,
2003-07-01,40383.0,402552.0,402552.0,,,
2003-08-01,39693.0,401908.0,401908.0,,,
2003-09-01,35508.0,365012.0,365012.0,,,
2003-10-01,26353.0,249377.0,249377.0,,,
2003-11-01,12995.0,54938.0,54938.0,,,
2003-12-01,45549.0,423267.0,423267.0,,,
2004-01-01,50546.159,487887.0,487887.0,,,
2004-02-01,36072.789000000004,348185.0,348185.0,,,
2004-03-01,40837.723,394178.0,394178.0,,,
2004-04-01,30224.137,291733.0,291733.0,,,
2004-05-01,38447.366,371106.0,371106.0,,,
2004-06-01,32756.037,316171.0,316171.0,,,
2004-07-01,39070.418,377120.0,377120.0,,,
2004-08-01,64859.087,626040.0,626040.0,,,
2004-09-01,44774.622,432178.0,432178.0,,,
2004-10-01,34431.326,332342.0,332342.0,,,
2004-11-01,30784.602,297142.0,297142.0,,,
2004-12-01,37091.733,358021.0,358021.0,,,
2005-01-01,18055.593,167519.03,167519.03,0.0,0.0,0.0
2005-02-01,14988.726999999999,139064.77,139064.77,0.0,0.0,0.0
2005-03-01,18562.314,172220.36,172220.36,0.0,0.0,0.0
2005-04-01,18289.614999999998,169690.27,169690.27,0.0,0.0,0.0
2005-05-01,21560.5,200037.41,200037.41,0.0,0.0,0.0
2005-06-01,27209.945,252452.71,252452.71,0.0,0.0,0.0
2005-07-01,34102.197,316398.73,316398.73,0.0,0.0,0.0
2005-08-01,35326.179000000004,327754.79,327754.79,0.0,0.0,0.0
2005-09-01,26881.015,249400.91,249400.91,0.0,0.0,0.0
2005-10-01,21474.65,199240.88,199240.88,0.0,0.0,0.0
2005-11-01,18321.431,169985.46,169985.46,0.0,0.0,0.0
2005-12-01,17879.834000000003,165888.34,165888.34,0.0,0.0,0.0
2006-01-01,17365.617,150017.0,150017.0,,,
2006-02-01,20602.722,177981.0,177981.0,,,
2006-03-01,23499.291,203004.0,203004.0,,,
2006-04-01,26284.472,227064.0,227064.0,,,
2006-05-01,30443.984,262997.0,262997.0,,,
2006-06-01,38793.914000000004,335129.0,335129.0,,,
