measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Generation","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Quantity Consumed For Electricity","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,60767.0,748395.0,756504.0
2003-02-01,,,,61.0,755.0,762.0,57719.0,712655.0,719431.0
2003-03-01,,,,0.0,0.0,0.0,128.0,1504.0,2114.0
2003-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,,,,339.0,3730.0,3750.0,53112.272,609349.0,612656.0
2003-07-01,,,,134.0,1453.0,1459.0,66712.041,752352.0,755532.0
2003-08-01,,,,0.0,0.0,0.0,70135.511,790365.0,793487.0
2003-09-01,,,,0.0,0.0,0.0,66758.135,749408.0,752849.0
2003-10-01,,,,0.0,0.0,0.0,70370.784,782358.0,787719.0
2003-11-01,,,,0.0,0.0,0.0,67942.185,762649.0,768249.0
2003-12-01,,,,0.0,0.0,0.0,69809.969,781728.0,789183.0
2004-01-01,,,,18.02341,204.42,210.48,66098.88159,749702.65,771914.36
2004-02-01,,,,12.890979999999999,146.21,150.53,59895.06102,679338.06,699424.89
2004-03-01,,,,23.90428,271.13,279.19,60933.06072,691111.2,711672.07
2004-04-01,,,,7.066669999999999,80.15,82.51,58607.64333,664735.99,684326.23
2004-05-01,,,,29.268379999999997,331.97,341.9,52607.28762,596679.13,614531.38
2004-06-01,,,,17.39376,197.28,203.16,41483.02124,470506.16,484517.03
2004-07-01,,,,28.8279,326.97,336.73,59872.0111,679076.64,699341.85
2004-08-01,,,,24.83346,281.66,290.07,52108.30654,591019.62,608653.99
2004-09-01,,,,18.514400000000002,209.99,216.23,55223.5896,626353.58,644951.07
2004-10-01,,,,8.31293,94.29,97.07,58624.93007,664932.07,684542.61
2004-11-01,,,,19.42587,220.33,226.84,110168.17813,1249542.71,1286439.39
2004-12-01,,,,13.074259999999999,148.29,152.66,138525.46374,1571174.97,1617436.33
2005-01-01,,,,83.74812,949.88,978.76,66673.88388,756224.41,779213.34
2005-02-01,,,,74.24476,842.09,867.69,60536.85224,686617.35,707490.27
2005-03-01,,,,88.59743999999999,1004.88,1035.43,64891.61356,736009.65,758384.03
2005-04-01,,,,90.83429,1030.26,1061.57,53385.24271,605502.81,623909.9
2005-05-01,,,,73.68884,835.79,861.2,50717.37816,575243.52,592730.75
2005-06-01,,,,125.36622,1421.92,1465.15,65008.94278,737340.42,759755.24
2005-07-01,,,,161.55181,1832.34,1888.05,72531.00419,822656.68,847665.06
2005-08-01,,,,172.72292,1959.05,2018.6,71840.84308,814828.77,839599.17
2005-09-01,,,,114.25756,1295.93,1335.32,64717.52144,734035.07,756349.4
2005-10-01,,,,79.01491999999999,896.2,923.44,60605.14608,687391.96,708288.34
2005-11-01,,,,70.9251,804.44,828.9,59516.5199,675044.6,695565.63
2005-12-01,,,,76.63027,869.15,895.57,68651.22673,778651.7,802322.47
2006-01-01,0.0,0.0,0.0,13.846179999999999,157.05,163.75,70025.91182,794243.56,828152.58
2006-02-01,0.0,0.0,0.0,13.80533,156.58,163.27,65840.01767,746766.57,778648.56
2006-03-01,0.0,0.0,0.0,15.06138,170.83,178.12,64293.90962,729230.42,760363.82
2006-04-01,0.0,0.0,0.0,12.66314,143.63,149.76,64355.14686,729924.97,761087.94
2006-05-01,0.0,0.0,0.0,12.284149999999999,139.33,145.28,67682.14185,767660.21,800434.26
2006-06-01,0.0,0.0,0.0,15.71332,178.22,185.83,69237.12868,785297.1,818824.1
2006-07-01,0.0,0.0,0.0,23.53217,266.91,278.3,72708.16383,824666.05,859873.85
2006-08-01,0.0,0.0,0.0,22.15441,251.28,262.01,72676.33759,824305.07,859497.53
2006-09-01,0.0,0.0,0.0,15.714189999999999,178.23,185.84,65634.37981,744434.23,776216.6
2006-10-01,0.0,0.0,0.0,17.52569,198.78,207.27,64259.86531,728844.28,759961.19
2006-11-01,0.0,0.0,0.0,15.07442,170.98,178.28,65148.23358,738920.27,770467.28
2006-12-01,0.0,0.0,0.0,14.729339999999999,167.06,174.19,69438.57266,787581.88,821206.39
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,64779.0,765899.0,765899.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,57698.0,683958.0,683958.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,64599.0,761385.0,761385.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,62568.0,735038.0,735038.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,43937.0,515391.0,515391.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,62962.0,757064.0,757064.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,62038.0,760661.0,774542.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,61817.0,743723.0,743723.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,61770.0,745484.0,745484.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,60646.0,736476.0,736476.0
2007-11-01,0.0,0.0,0.0,,,,61570.0,739845.0,739845.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,64354.0,781330.0,781330.0
2008-01-01,0.0,0.0,0.0,6.772,84.0,85.0,64224.228,792059.0,809163.0
2008-02-01,0.0,0.0,0.0,6.087000000000001,82.0,85.0,53364.913,719554.0,748084.0
2008-03-01,0.0,0.0,0.0,6.182,85.0,85.0,56726.818,782902.0,782902.0
2008-04-01,0.0,0.0,0.0,6.396,85.0,86.0,52454.604,700675.0,708224.0
2008-05-01,0.0,0.0,0.0,6.5120000000000005,85.0,85.0,51309.488,672253.0,672253.0
2008-06-01,0.0,0.0,0.0,6.415,85.0,85.0,53418.585,710553.0,710553.0
2008-07-01,0.0,0.0,0.0,6.094,81.0,85.0,56123.906,745902.0,785820.0
2008-08-01,0.0,0.0,0.0,6.415,85.0,85.0,57061.585,758978.0,758978.0
2008-09-01,0.0,0.0,0.0,6.094,82.0,85.0,53976.906,725969.0,755762.0
2008-10-01,0.0,0.0,0.0,6.094,85.0,85.0,55484.906,776874.0,776874.0
2008-11-01,0.0,0.0,0.0,6.1240000000000006,86.0,86.0,53592.876000000004,755746.0,755746.0
2008-12-01,0.0,0.0,0.0,6.1240000000000006,84.0,86.0,55918.876000000004,764002.0,788543.0
2009-01-01,,,,0.0,0.0,0.0,52889.0,665786.0,784252.0
2009-02-01,,,,0.0,0.0,0.0,50483.0,633503.0,722152.0
2009-03-01,,,,0.0,0.0,0.0,55773.0,700216.0,796989.0
2009-04-01,,,,0.0,0.0,0.0,36688.0,468143.0,541758.0
2009-05-01,,,,0.0,0.0,0.0,55667.0,694040.0,796421.0
2009-06-01,,,,0.0,0.0,0.0,54239.0,675034.0,777549.0
2009-07-01,,,,0.0,0.0,0.0,55555.0,691927.0,806820.0
2009-08-01,,,,0.0,0.0,0.0,54904.0,684934.0,799817.0
2009-09-01,,,,0.0,0.0,0.0,53262.0,664545.0,769747.0
2009-10-01,,,,0.0,0.0,0.0,54789.0,685021.0,770758.0
2009-11-01,,,,0.0,0.0,0.0,43616.0,556498.0,627271.0
2009-12-01,,,,0.0,0.0,0.0,55596.0,696894.0,802546.0
2010-01-01,,,,,,,61685.0,765817.0,784252.0
2010-02-01,,,,,,,57707.0,716118.0,777291.0
2010-03-01,,,,,,,63221.0,784083.0,812836.0
2010-04-01,,,,,,,28225.0,347570.0,366673.0
2010-05-01,,,,,,,63546.0,775271.0,783713.0
2010-06-01,,,,,,,61878.0,753575.0,763361.0
2010-07-01,,,,,,,63585.0,773705.0,773705.0
2010-08-01,,,,,,,64303.0,771917.0,791874.0
2010-09-01,,,,,,,60688.0,742835.0,748278.0
2010-10-01,,,,,,,64181.0,785836.0,791718.0
2010-11-01,,,,,,,61892.0,759195.0,775586.0
2010-12-01,,,,0.0,0.0,0.0,64130.0,788352.0,809007.0
2011-01-01,,,,,,,58536.0,723306.0,744126.0
2011-02-01,,,,,,,58101.0,713395.0,731243.0
2011-03-01,,,,,,,63061.0,775054.0,786984.0
2011-04-01,,,,,,,50083.0,485549.0,485549.0
2011-05-01,,,,,,,64537.0,783617.0,783617.0
2011-06-01,,,,,,,62564.0,763661.0,764092.0
2011-07-01,,,,,,,60842.0,746245.0,757610.0
2011-08-01,,,,,,,64585.0,777192.0,777192.0
2011-09-01,,,,,,,62567.0,746282.0,746282.0
2011-10-01,,,,,,,63102.0,760904.0,760904.0
2011-11-01,,,,,,,62367.0,758805.0,758805.0
2011-12-01,,,,0.0,0.0,0.0,62933.0,773648.0,782709.0
2012-01-01,,,,,,,55970.0,699290.0,855603.0
2012-02-01,,,,,,,52271.0,654481.0,798490.0
2012-03-01,,,,,,,54084.0,679750.0,842431.0
2012-04-01,,,,,,,13353.0,168606.0,208073.0
2012-05-01,,,,,,,41082.0,516535.0,632002.0
2012-06-01,,,,,,,53855.0,669261.0,831465.0
2012-07-01,,,,,,,56509.0,700477.0,811127.0
2012-08-01,,,,,,,56827.0,704060.0,808508.0
2012-09-01,,,,,,,54955.0,680872.0,779901.0
2012-10-01,,,,,,,56361.0,698691.0,820696.0
2012-11-01,,,,,,,55837.0,688866.0,756637.0
2012-12-01,,,,0.0,0.0,0.0,58552.0,721052.0,771599.0
2013-01-01,,,,0.152,1.0,1.0,57521.848,378609.0,378609.0
2013-02-01,,,,0.15,1.0,1.0,56051.85,373119.0,373119.0
2013-03-01,,,,0.0,0.0,0.0,64458.0,429017.0,429017.0
2013-04-01,,,,0.145,1.0,1.0,56051.855,385246.0,385246.0
2013-05-01,,,,0.16,1.0,1.0,62580.84,391021.0,391021.0
2013-06-01,,,,0.323,2.0,2.0,61894.677,383651.0,383651.0
2013-07-01,,,,0.0,0.0,0.0,64641.0,392369.0,392369.0
2013-08-01,,,,0.161,1.0,1.0,61757.839,384534.0,384534.0
2013-09-01,,,,0.0,0.0,0.0,59170.0,370900.0,370900.0
2013-10-01,,,,0.777,5.0,5.0,43548.223,280251.0,280251.0
2013-11-01,,,,0.163,1.0,1.0,62008.837,380170.0,380170.0
2013-12-01,,,,0.0,0.0,0.0,63850.0,406952.0,406952.0
2014-01-01,,,,0.0,0.0,0.0,63309.0,773748.0,773748.0
2014-02-01,,,,0.0,0.0,0.0,57663.0,691661.0,691661.0
2014-03-01,,,,0.259,3.0,3.0,62108.741,739105.0,739105.0
2014-04-01,,,,0.0,0.0,0.0,62621.0,742010.0,742010.0
2014-05-01,,,,0.087,1.0,1.0,62952.913,743350.0,743350.0
2014-06-01,,,,0.0,0.0,0.0,62057.0,737368.0,737368.0
2014-07-01,,,,0.0,0.0,0.0,64285.0,754017.0,754017.0
2014-08-01,,,,0.0,0.0,0.0,64855.0,775867.0,775867.0
2014-09-01,,,,0.6,7.0,7.0,59975.4,719071.0,719071.0
2014-10-01,,,,0.0,0.0,0.0,64237.0,774620.0,774620.0
2014-11-01,,,,0.0,0.0,0.0,60448.0,729755.0,729755.0
2014-12-01,,,,0.0,0.0,0.0,64102.0,776429.0,776429.0
2015-01-01,,,,0.082,1.0,1.0,62006.918,752850.0,752850.0
2015-02-01,,,,0.082,1.0,1.0,55630.918,677586.0,677586.0
2015-03-01,,,,0.0,0.0,0.0,64551.0,774846.0,774846.0
2015-04-01,,,,0.165,2.0,2.0,50521.835,612108.0,612108.0
2015-05-01,,,,0.0,0.0,0.0,62615.0,734804.0,734804.0
2015-06-01,,,,0.0,0.0,0.0,37856.0,464562.0,464562.0
2015-07-01,,,,0.0,0.0,0.0,53051.0,649051.0,649051.0
2015-08-01,,,,0.167,2.0,2.0,43516.833,522242.0,522242.0
2015-09-01,,,,0.082,1.0,1.0,44723.918,533101.0,542864.0
2015-10-01,,,,0.397,5.0,5.0,18608.603,234656.0,234656.0
2015-11-01,,,,0.0,0.0,0.0,53153.0,621491.0,621491.0
2015-12-01,,,,0.0,0.0,0.0,56100.0,680438.0,680438.0
2016-01-01,,,,927.064,9948.0,10586.0,59138.936,634607.0,675298.0
2016-02-01,,,,0.0,0.0,0.0,42953.0,467690.0,547803.0
2016-03-01,,,,0.0,0.0,0.0,56093.0,602730.0,681400.0
2016-04-01,,,,0.0,0.0,0.0,62544.0,665549.0,736690.0
2016-05-01,,,,0.0,0.0,0.0,59672.0,638442.0,723029.0
2016-06-01,,,,0.0,0.0,0.0,58480.0,625221.0,694230.0
2016-07-01,,,,0.0,0.0,0.0,62343.0,664838.0,737826.0
2016-08-01,,,,0.0,0.0,0.0,60608.0,647967.0,725703.0
2016-09-01,,,,0.0,0.0,0.0,52887.0,569539.0,648376.0
2016-10-01,,,,0.0,0.0,0.0,43831.0,469652.0,526107.0
2016-11-01,,,,0.0,0.0,0.0,62309.0,662961.0,733362.0
2016-12-01,,,,0.0,0.0,0.0,63035.0,672344.0,847172.0
2017-01-01,,,,45.202,483.0,558.0,63472.798,677596.0,783553.0
