measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,100912.0,1056967.0,1056967.0,98.0,1023.0,1023.0,,,
2003-02-01,96208.0,1017469.0,1017469.0,28.0,296.0,296.0,,,
2003-03-01,99725.0,1044135.0,1044135.0,61.0,643.0,643.0,,,
2003-04-01,89913.0,917255.0,917255.0,127.0,1296.0,1296.0,,,
2003-05-01,50160.0,469050.0,469050.0,234.0,2189.0,2189.0,,,
2003-06-01,89580.0,934802.0,934802.0,56.0,583.0,583.0,,,
2003-07-01,87625.0,896963.0,896963.0,189.0,1931.0,1931.0,,,
2003-08-01,98098.0,966022.0,966022.0,33.0,320.0,320.0,,,
2003-09-01,78801.0,740432.0,740432.0,182.0,1711.0,1711.0,,,
2003-10-01,101008.0,1055692.0,1055692.0,68.0,711.0,711.0,,,
2003-11-01,86155.0,913192.0,913192.0,106.0,1119.0,1119.0,,,
2003-12-01,96329.0,1024965.0,1024965.0,51.0,545.0,545.0,,,
2004-01-01,77534.75200000001,726773.0,726773.0,1518.193,14227.0,14227.0,,,
2004-02-01,81484.723,763798.0,763798.0,0.0,0.0,0.0,,,
2004-03-01,84563.14600000001,792654.0,792654.0,0.0,0.0,0.0,,,
2004-04-01,79452.136,744745.0,744745.0,0.0,0.0,0.0,,,
2004-05-01,52770.863,494648.0,494648.0,0.0,0.0,0.0,,,
2004-06-01,62772.513,588399.0,588399.0,0.0,0.0,0.0,,,
2004-07-01,89626.027,840111.0,840111.0,0.0,0.0,0.0,,,
2004-08-01,83814.379,785635.0,785635.0,0.0,0.0,0.0,,,
2004-09-01,66726.478,625461.0,625461.0,46.061,432.0,432.0,,,
2004-10-01,69087.572,647593.0,647593.0,0.0,0.0,0.0,,,
2004-11-01,66481.121,623162.0,623162.0,0.0,0.0,0.0,,,
2004-12-01,89475.29,838698.0,838698.0,189.745,1778.0,1778.0,,,
2005-01-01,90773.156,916340.83,916340.83,,,,130.51600000000002,1312.55,1312.55
2005-02-01,79033.106,797826.85,797826.85,,,,97.759,983.12,983.12
2005-03-01,81996.63,827743.16,827743.16,,,,82.834,833.03,833.03
2005-04-01,73075.127,737681.99,737681.99,,,,66.367,667.42,667.42
2005-05-01,80221.797,809826.52,809826.52,,,,51.857,521.5,521.5
2005-06-01,89350.446,901978.8,901978.8,,,,93.839,943.7,943.7
2005-07-01,94452.876,953487.03,953487.03,,,,114.58,1152.28,1152.28
2005-08-01,95503.754,964095.47,964095.47,,,,132.7,1334.51,1334.51
2005-09-01,87521.229,883513.14,883513.14,,,,97.812,983.65,983.65
2005-10-01,82647.41,834312.68,834312.68,,,,78.46900000000001,789.13,789.13
2005-11-01,80577.394,813416.21,813416.21,,,,68.012,683.97,683.97
2005-12-01,89988.075,908415.54,908415.54,,,,123.256,1239.54,1239.54
2006-01-01,80066.18,805358.0,805358.0,118.11200000000001,1188.0,1188.0,,,
2006-02-01,76254.249,767015.0,767015.0,61.804,622.0,622.0,,,
2006-03-01,77917.734,783748.0,783748.0,51.916000000000004,522.0,522.0,,,
2006-04-01,66290.642,666795.0,666795.0,99.44800000000001,1000.0,1000.0,,,
2006-05-01,70843.473,712590.0,712590.0,92.958,935.0,935.0,,,
2006-06-01,76748.272,771985.0,771985.0,84.49300000000001,850.0,850.0,,,
2006-07-01,87301.019,878131.0,878131.0,122.39,1231.0,1231.0,,,
2006-08-01,87930.945,884467.0,884467.0,118.717,1194.0,1194.0,,,
2006-09-01,73060.003,734886.0,734886.0,54.541000000000004,549.0,549.0,,,
2006-10-01,75569.066,760123.0,760123.0,57.613,580.0,580.0,,,
2006-11-01,74719.417,751577.0,751577.0,67.84100000000001,682.0,682.0,,,
2006-12-01,80890.0,813645.0,813645.0,75.168,756.0,756.0,,,
2007-01-01,102007.525,1081303.0,1081303.0,724.475,7680.0,7680.0,,,
2007-02-01,74863.0,784402.0,784402.0,0.0,0.0,0.0,,,
2007-03-01,89311.0,939348.0,939348.0,0.0,0.0,0.0,,,
2007-04-01,100144.037,1045573.0,1045573.0,272.963,2850.0,2850.0,,,
2007-05-01,42350.387,507739.0,507739.0,6175.613,74040.0,74040.0,,,
2007-06-01,99772.997,1040266.0,1040266.0,14.003,146.0,146.0,,,
2007-07-01,95451.728,1035101.0,1035101.0,2554.272,27699.0,27699.0,,,
2007-08-01,97038.898,1054178.0,1054178.0,2147.1020000000003,23325.0,23325.0,,,
2007-09-01,100113.454,1057987.0,1057987.0,273.546,2891.0,2891.0,,,
2007-10-01,103258.109,1077714.0,1077714.0,280.891,2932.0,2932.0,,,
2007-11-01,86303.958,949265.0,949265.0,4898.042,53874.0,53874.0,,,
2007-12-01,104352.264,1086198.0,1086198.0,29.736,310.0,310.0,,,
2008-01-01,98246.037,1035686.0,1035686.0,1814.9630000000002,19133.0,19133.0,,,
2008-02-01,91758.491,949147.0,949147.0,830.509,8591.0,8591.0,,,
2008-03-01,100826.968,1023037.0,1023037.0,138.032,1401.0,1401.0,,,
2008-04-01,93414.173,970493.0,970493.0,482.827,5016.0,5016.0,,,
2008-05-01,30956.581,398731.0,398731.0,8086.419000000001,104156.0,104156.0,,,
2008-06-01,75816.481,837833.0,837833.0,4816.519,53226.0,53226.0,,,
2008-07-01,78975.962,868620.0,868620.0,3977.038,43742.0,43742.0,,,
2008-08-01,86439.35800000001,923277.0,923277.0,2258.6420000000003,24125.0,24125.0,,,
2008-09-01,93363.403,957772.0,957772.0,451.59700000000004,4633.0,4633.0,,,
2008-10-01,95647.89199999999,971629.0,971629.0,260.108,2642.0,2642.0,,,
2008-11-01,90237.396,920234.0,920234.0,424.60400000000004,4330.0,4330.0,,,
2008-12-01,88899.578,912670.0,912670.0,1092.422,11215.0,11215.0,,,
2009-01-01,91890.652,958816.0,958816.0,534.3480000000001,5576.0,5576.0,,,
2009-02-01,51687.761,599759.0,599759.0,5909.2390000000005,68568.0,68568.0,,,
2009-03-01,43885.215,538090.0,538090.0,6912.785000000001,84760.0,84760.0,,,
2009-04-01,47827.005,530418.0,530418.0,1678.995,18621.0,18621.0,,,
2009-05-01,1387.896,57270.0,57270.0,4066.1040000000003,167783.0,167783.0,,,
2009-06-01,36207.855,457142.0,457142.0,5872.145,74139.0,74139.0,,,
2009-07-01,55734.419,643542.0,643542.0,4242.581,48987.0,48987.0,,,
2009-08-01,46447.866,572699.0,572699.0,5512.134,67964.0,67964.0,,,
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-11-01,21354.707,365828.0,365828.0,10388.293,177962.0,177962.0,,,
2009-12-01,71999.625,824285.0,824285.0,6854.375,78472.0,78472.0,,,
2010-01-01,69081.106,591060.0,591060.0,315.894,2703.0,2703.0,,,
2010-02-01,71067.437,679298.0,679298.0,14.563,139.0,139.0,,,
2010-03-01,25615.589,272669.0,272669.0,41.411,441.0,441.0,,,
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-05-01,31588.829,272808.0,272808.0,296.171,2558.0,2558.0,,,
2010-06-01,63864.102,507450.0,507450.0,21.898,174.0,174.0,,,
2010-07-01,37221.525,293836.0,293836.0,253.47500000000002,2001.0,2001.0,,,
2010-08-01,51737.035,530127.0,530127.0,243.965,2500.0,2500.0,,,
2010-09-01,50380.43,536158.0,536158.0,79.57000000000001,847.0,847.0,,,
2010-10-01,5789.308,72090.0,72090.0,337.692,4205.0,4205.0,,,
2010-11-01,19601.445,204999.0,204999.0,442.555,4628.0,4628.0,,,
2010-12-01,46507.386,342893.0,342893.0,447.61400000000003,3300.0,3300.0,,,
2011-01-01,29322.447,330574.0,330574.0,428.553,4831.0,4831.0,,,
2011-02-01,18011.699,172957.0,172957.0,467.301,4487.0,4487.0,,,
2011-03-01,4070.19,48859.0,48859.0,293.81,3527.0,3527.0,,,
2011-04-01,6188.528,52849.0,52849.0,159.472,1362.0,1362.0,,,
2011-05-01,0.0,0.0,0.0,0.0,1154.0,1154.0,,,
2011-06-01,10314.564,96831.0,96831.0,126.436,1187.0,1187.0,,,
2011-07-01,25441.029,275733.0,275733.0,381.971,4140.0,4140.0,,,
2011-08-01,4712.193,48172.0,48172.0,117.807,1204.0,1204.0,,,
2011-09-01,3108.829,37013.0,37013.0,136.171,1621.0,1621.0,,,
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-11-01,2497.681,24400.0,24400.0,271.319,2651.0,2651.0,,,
2011-12-01,4818.941,54150.0,54150.0,146.059,1641.0,1641.0,,,
2012-01-01,7251.984,87198.0,87198.0,331.016,3980.0,3980.0,,,
2012-02-01,0.0,0.0,0.0,0.0,3137.0,3137.0,,,
2012-03-01,5181.098,54645.0,54645.0,350.902,3701.0,3701.0,,,
2012-04-01,22327.939,275658.0,275658.0,79.061,976.0,976.0,,,
2012-05-01,4945.074,56143.0,56143.0,287.926,3269.0,3269.0,,,
2012-06-01,7701.19,86693.0,86693.0,198.81,2238.0,2238.0,,,
2012-07-01,9502.864,115201.0,115201.0,206.136,2499.0,2499.0,,,
2012-08-01,7847.694,94391.0,94391.0,205.306,2469.0,2469.0,,,
2012-09-01,6035.532,70261.0,70261.0,148.468,1728.0,1728.0,,,
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-11-01,16804.736,195372.0,195372.0,297.264,3456.0,3456.0,,,
2012-12-01,16180.322,197803.0,197803.0,303.678,3712.0,3712.0,,,
2013-01-01,18612.978,228884.0,228884.0,436.022,5362.0,5362.0,,,
2013-02-01,15102.391,182341.0,182341.0,136.609,1649.0,1649.0,,,
2013-03-01,16745.783,202956.0,202956.0,212.217,2572.0,2572.0,,,
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-05-01,4344.154,53128.0,53128.0,91.846,1123.0,1123.0,,,
2013-06-01,5391.756,66314.0,66314.0,88.244,1085.0,1085.0,,,
2013-07-01,11775.208,143376.0,143376.0,94.792,1154.0,1154.0,,,
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-09-01,4545.047,58661.0,58661.0,208.953,2697.0,2697.0,,,
2013-10-01,0.0,0.0,0.0,0.0,182.0,182.0,,,
2013-11-01,0.0,0.0,0.0,0.0,319.0,319.0,,,
2013-12-01,19354.46,233950.0,233950.0,309.54,3742.0,3742.0,,,
2014-01-01,5021.031,66243.0,66243.0,214.969,2836.0,2836.0,,,
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
