measured_on,Wood Waste Solids-Other Generation,Wood Waste Solids-Other Quantity Consumed For Electricity,Wood Waste Solids-Other Total Fuel Consumed
2016-10-01,2164.253,46538.0,46538.0
2016-11-01,2519.024,54171.0,54171.0
2016-12-01,3415.723,73449.0,73449.0
2017-01-01,5305.683,93420.0,93420.0
2017-02-01,4506.267,79353.0,79353.0
2017-03-01,5018.786,88380.0,88380.0
2017-04-01,4194.84,73872.0,73872.0
2017-05-01,3830.994,67464.0,67464.0
2017-06-01,4129.086,72711.0,72711.0
2017-07-01,4682.555,82458.0,82458.0
2017-08-01,4634.55,81612.0,81612.0
2017-09-01,4317.127,76023.0,76023.0
2017-10-01,3706.451,65268.0,65268.0
2017-11-01,4037.287,71091.0,71091.0
2017-12-01,4984.374,87768.0,87768.0
2018-01-01,5789.047,98949.0,98949.0
2018-02-01,4713.141,80563.0,80563.0
2018-03-01,5196.168,88817.0,88817.0
2018-04-01,4076.321,69675.0,69675.0
2018-05-01,3528.769,60316.0,60316.0
2018-06-01,4720.017,80674.0,80674.0
2018-07-01,5272.018,90109.0,90109.0
2018-08-01,4996.413,85400.0,85400.0
2018-09-01,5253.922,89803.0,89803.0
2018-10-01,4511.003,77104.0,77104.0
2018-11-01,4966.032,84881.0,84881.0
2018-12-01,5043.149,86199.0,86199.0
2019-01-01,5679.348,96008.0,96008.0
2019-02-01,4989.506,84337.0,84337.0
2019-03-01,5038.547,85170.0,85170.0
2019-04-01,4426.158,74817.0,74817.0
2019-05-01,4640.958,78447.0,78447.0
2019-06-01,4707.711,79577.0,79577.0
2019-07-01,5384.138,91010.0,91010.0
2019-08-01,5067.387,85655.0,85655.0
2019-09-01,4685.281,79195.0,79195.0
2019-10-01,4069.584,68791.0,68791.0
2019-11-01,4768.623,80606.0,80606.0
2019-12-01,5470.759,92472.0,92472.0
2020-01-01,5311.527,87695.0,87695.0
2020-02-01,4787.63,79050.0,79050.0
2020-03-01,4888.922,80725.0,80725.0
2020-04-01,4745.781,78362.0,78362.0
2020-05-01,4644.892,76696.0,76696.0
2020-06-01,4860.759,80257.0,80257.0
2020-07-01,5415.814,89429.0,89429.0
2020-08-01,5326.352,87950.0,87950.0
2020-09-01,4691.014,77461.0,77461.0
2020-10-01,4463.251,73695.0,73695.0
2020-11-01,4915.814,81167.0,81167.0
2020-12-01,5168.244,85340.0,85340.0
2021-01-01,5798.923,95098.0,95098.0
2021-02-01,4857.322,79671.0,79671.0
2021-03-01,5545.615,90959.0,90959.0
2021-04-01,4128.077,67711.0,67711.0
2021-05-01,3652.872,59917.0,59917.0
2021-06-01,5508.59,90355.0,90355.0
2021-07-01,5356.209,87856.0,87856.0
2021-08-01,5658.077,92803.0,92803.0
2021-09-01,4892.241,80240.0,80240.0
2021-10-01,4262.425,69913.0,69913.0
2021-11-01,5068.29,83130.0,83130.0
2021-12-01,4492.359,73687.0,73687.0
2022-01-01,6181.46,81345.0,81345.0
2022-02-01,5023.278,66096.0,66096.0
2022-03-01,5038.182,66300.0,66300.0
2022-04-01,4356.614,57324.0,57324.0
2022-05-01,2739.142,36040.0,36040.0
2022-06-01,4273.698,56236.0,56236.0
2022-07-01,5835.24,76781.0,76781.0
2022-08-01,5640.403,74222.0,74222.0
2022-09-01,4321.222,56865.0,56865.0
2022-10-01,3528.322,46427.0,46427.0
2022-11-01,5198.146,68400.0,68400.0
2022-12-01,5757.293,75761.0,75761.0
2023-01-01,5840.354,94631.0,94631.0
2023-02-01,5408.969,87644.0,87644.0
2023-03-01,5939.671,96246.0,96246.0
2023-04-01,4449.075,72089.0,72089.0
2023-05-01,4909.757,79552.0,79552.0
2023-06-01,4721.085,76500.0,76500.0
2023-07-01,5664.832,91792.0,91792.0
2023-08-01,4993.492,80912.0,80912.0
2023-09-01,3672.143,59500.0,59500.0
2023-10-01,3969.636,64320.0,64320.0
2023-11-01,5268.401,85366.0,85366.0
2023-12-01,4821.585,78124.0,78124.0
2024-01-01,5591.661,81099.0,81099.0
2024-02-01,5063.654,73457.0,73457.0
2024-03-01,5180.095,75140.0,75140.0
2024-04-01,3896.448,56525.0,56525.0
2024-05-01,3160.436,45849.0,45849.0
2024-06-01,3942.828,57197.0,57197.0
2024-07-01,5107.8,74095.0,74095.0
2024-08-01,5629.295,81660.0,81660.0
2024-09-01,5061.486,73423.0,73423.0
2024-10-01,4169.615,60486.0,60486.0
2024-11-01,5496.801,79739.0,79739.0
2024-12-01,5943.881,86224.0,86224.0
