measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,-13.595,140.0,140.0,-3.609,3.0,3.0
2003-02-01,-13.034,134.0,134.0,-3.46,3.0,3.0
2003-03-01,-13.17,135.0,135.0,-3.496,3.0,3.0
2003-04-01,-12.04,124.0,124.0,-3.196,3.0,3.0
2003-05-01,-12.255,126.0,126.0,-3.253,3.0,3.0
2003-06-01,-12.806000000000001,132.0,132.0,-3.399,3.0,3.0
2003-07-01,-14.826,152.0,152.0,-3.935,3.0,3.0
2003-08-01,-15.865,163.0,163.0,-4.211,3.0,3.0
2003-09-01,-13.529,139.0,139.0,-3.591,3.0,3.0
2003-10-01,-13.177000000000001,135.0,135.0,-3.498,3.0,3.0
2003-11-01,-13.249,136.0,136.0,-3.5170000000000003,3.0,3.0
2003-12-01,-14.455,149.0,149.0,-3.837,3.0,3.0
2004-01-01,-108.464,203.0,203.0,-11.905,3.0,3.0
2004-02-01,-4.207,8.0,8.0,-4.524,1.0,1.0
2004-03-01,-6.3790000000000004,12.0,12.0,-0.23800000000000002,0.0,0.0
2004-04-01,-2.793,5.0,5.0,-3.333,1.0,1.0
2004-05-01,-10.247,19.0,19.0,-3.81,1.0,1.0
2004-06-01,-22.454,42.0,42.0,-9.286,2.0,2.0
2004-07-01,-17.905,33.0,33.0,-4.2860000000000005,1.0,1.0
2004-08-01,-3.708,7.0,7.0,-0.9520000000000001,0.0,0.0
2004-09-01,-8.071,15.0,15.0,-3.333,1.0,1.0
2004-10-01,-1.305,2.0,2.0,-0.9520000000000001,0.0,0.0
2004-11-01,-12.181000000000001,23.0,23.0,0.0,0.0,0.0
2004-12-01,-7.2860000000000005,14.0,14.0,-2.3810000000000002,1.0,1.0
2005-01-01,-17.459,621.8,621.8,-2.45,45.3,45.3
2005-02-01,-5.998,213.63,213.63,-0.8420000000000001,15.57,15.57
2005-03-01,-6.649,236.78,236.78,-0.933,17.25,17.25
2005-04-01,-8.053,286.81,286.81,-1.13,20.9,20.9
2005-05-01,-7.479,266.37,266.37,-1.05,19.41,19.41
2005-06-01,-9.708,345.73,345.73,-1.362,25.19,25.19
2005-07-01,-9.881,351.9,351.9,-1.387,25.64,25.64
2005-08-01,-11.608,413.4,413.4,-1.629,30.12,30.12
2005-09-01,-7.599,270.62,270.62,-1.066,19.71,19.71
2005-10-01,-8.438,300.53,300.53,-1.1840000000000002,21.9,21.9
2005-11-01,-6.784000000000001,241.59,241.59,-0.9520000000000001,17.6,17.6
2005-12-01,-14.344000000000001,510.85,510.85,-2.013,37.22,37.22
2006-01-01,-20.332,151.0,151.0,-2.821,22.0,22.0
2006-02-01,-10.639000000000001,79.0,79.0,-1.476,12.0,12.0
2006-03-01,-8.937000000000001,66.0,66.0,-1.24,10.0,10.0
2006-04-01,-17.119,127.0,127.0,-2.375,19.0,19.0
2006-05-01,-16.002000000000002,119.0,119.0,-2.22,18.0,18.0
2006-06-01,-14.545,108.0,108.0,-2.0180000000000002,16.0,16.0
