measured_on,"Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2003-01-01,481.0,4925.92,4925.92
2003-02-01,494.0,5059.05,5059.05
2003-03-01,589.0,6031.95,6031.95
2003-04-01,414.0,4239.77,4239.77
2003-05-01,462.0,4731.34,4731.34
2003-06-01,296.0,3031.34,3031.34
2003-07-01,406.0,4157.85,4157.85
2003-08-01,308.0,3154.23,3154.23
2003-09-01,582.0,5960.26,5960.26
2003-10-01,533.0,5458.45,5458.45
2003-11-01,625.0,6400.63,6400.63
2003-12-01,652.0,6677.13,6677.13
2004-01-01,39.87,399.58,399.58
2004-02-01,42.076,421.69,421.69
2004-03-01,52.626000000000005,527.42,527.42
2004-04-01,44.194,442.91,442.91
2004-05-01,53.684000000000005,538.02,538.02
2004-06-01,34.58,346.56,346.56
2004-07-01,24.53,245.84,245.84
2004-08-01,32.511,325.83,325.83
2004-09-01,43.727000000000004,438.23,438.23
2004-10-01,48.245,483.51,483.51
2004-11-01,54.664,547.84,547.84
2004-12-01,59.931000000000004,600.63,600.63
2005-01-01,412.088,4120.47,4120.47
2005-02-01,394.761,3947.22,3947.22
2005-03-01,561.724,5616.68,5616.68
2005-04-01,528.371,5283.18,5283.18
2005-05-01,536.475,5364.21,5364.21
2005-06-01,461.469,4614.23,4614.23
2005-07-01,346.682,3466.47,3466.47
2005-08-01,301.603,3015.73,3015.73
2005-09-01,433.05100000000004,4330.08,4330.08
2005-10-01,457.78200000000004,4577.36,4577.36
2005-11-01,649.6080000000001,6495.43,6495.43
2005-12-01,519.385,5193.33,5193.33
2006-01-01,635.7040000000001,6306.0,6306.0
2006-02-01,516.777,5126.0,5126.0
2006-03-01,527.76,5235.0,5235.0
2006-04-01,530.4010000000001,5261.0,5261.0
2006-05-01,499.19100000000003,4951.0,4951.0
2006-06-01,334.928,3322.0,3322.0
2006-07-01,341.59200000000004,3388.0,3388.0
2006-08-01,295.635,2932.0,2932.0
2006-09-01,360.97200000000004,3580.0,3580.0
2006-10-01,512.365,5082.0,5082.0
2006-11-01,578.606,5739.0,5739.0
2006-12-01,622.068,6170.0,6170.0
2007-01-01,647.979,6405.0,6405.0
2007-02-01,455.493,4502.0,4502.0
2007-03-01,630.049,6227.0,6227.0
2007-04-01,563.3670000000001,5568.0,5568.0
2007-05-01,611.3860000000001,6043.0,6043.0
2007-06-01,382.11400000000003,3777.0,3777.0
2007-07-01,293.483,2901.0,2901.0
2007-08-01,229.554,2269.0,2269.0
2007-09-01,523.921,5178.0,5178.0
2007-10-01,539.75,5335.0,5335.0
2007-11-01,503.826,4980.0,4980.0
2007-12-01,419.077,4142.0,4142.0
2008-01-01,530.248,5225.0,5225.0
2008-02-01,430.34700000000004,4241.0,4241.0
2008-03-01,447.192,4407.0,4407.0
2008-04-01,586.2950000000001,5777.0,5777.0
2008-05-01,537.881,5300.0,5300.0
2008-06-01,340.021,3351.0,3351.0
2008-07-01,302.90500000000003,2985.0,2985.0
2008-08-01,333.54400000000004,3287.0,3287.0
2008-09-01,473.415,4665.0,4665.0
2008-10-01,537.231,5294.0,5294.0
2008-11-01,613.4820000000001,6045.0,6045.0
2008-12-01,795.4390000000001,7838.0,7838.0
2009-01-01,522.591,5100.0,5100.0
2009-02-01,527.515,5149.0,5149.0
2009-03-01,575.217,5614.0,5614.0
2009-04-01,578.63,5647.0,5647.0
2009-05-01,509.586,4974.0,4974.0
2009-06-01,309.37800000000004,3020.0,3020.0
2009-07-01,278.038,2714.0,2714.0
2009-08-01,330.308,3224.0,3224.0
2009-09-01,269.905,2634.0,2634.0
2009-10-01,432.55400000000003,4222.0,4222.0
2009-11-01,424.716,4145.0,4145.0
2009-12-01,474.702,4633.0,4633.0
2010-01-01,479.261,4676.0,4676.0
2010-02-01,298.694,2914.0,2914.0
2010-03-01,488.65500000000003,4767.0,4767.0
2010-04-01,524.9970000000001,5122.0,5122.0
2010-05-01,479.07,4674.0,4674.0
2010-06-01,320.036,3122.0,3122.0
2010-07-01,291.91900000000004,2848.0,2848.0
2010-08-01,357.903,3492.0,3492.0
2010-09-01,374.37100000000004,3652.0,3652.0
2010-10-01,470.35900000000004,4589.0,4589.0
2010-11-01,549.969,5365.0,5365.0
2010-12-01,498.766,4866.0,4866.0
2011-01-01,353.208,3432.0,3432.0
2011-02-01,520.956,5062.0,5062.0
2011-03-01,404.275,3928.0,3928.0
2011-04-01,477.316,4638.0,4638.0
2011-05-01,524.874,5100.0,5100.0
2011-06-01,357.415,3473.0,3473.0
2011-07-01,219.457,2132.0,2132.0
2011-08-01,200.851,1951.0,1951.0
2011-09-01,264.619,2571.0,2571.0
2011-10-01,537.789,5225.0,5225.0
2011-11-01,592.277,5755.0,5755.0
2011-12-01,537.963,5227.0,5227.0
2012-01-01,497.13,4731.0,4731.0
2012-02-01,361.442,3439.0,3439.0
2012-03-01,426.382,4057.0,4057.0
2012-04-01,466.621,4440.0,4440.0
2012-05-01,454.612,4326.0,4326.0
2012-06-01,354.524,3374.0,3374.0
2012-07-01,232.609,2214.0,2214.0
2012-08-01,247.406,2354.0,2354.0
2012-09-01,304.054,2893.0,2893.0
2012-10-01,486.468,4629.0,4629.0
2012-11-01,453.312,4314.0,4314.0
2012-12-01,377.44,3592.0,3592.0
2013-01-01,555.859,5303.0,5303.0
2013-02-01,425.199,4057.0,4057.0
2013-03-01,454.049,4332.0,4332.0
2013-04-01,492.663,4700.0,4700.0
2013-05-01,482.507,4604.0,4604.0
2013-06-01,342.399,3267.0,3267.0
2013-07-01,313.393,2990.0,2990.0
2013-08-01,229.78,2192.0,2192.0
2013-09-01,373.718,3566.0,3566.0
2013-10-01,426.715,4071.0,4071.0
2013-11-01,572.247,5460.0,5460.0
2013-12-01,418.471,3993.0,3993.0
2014-01-01,646.53,6149.0,6149.0
2014-02-01,535.523,5093.0,5093.0
2014-03-01,564.965,5373.0,5373.0
2014-04-01,590.626,5617.0,5617.0
2014-05-01,450.076,4280.0,4280.0
2014-06-01,365.191,3473.0,3473.0
2014-07-01,366.687,3487.0,3487.0
2014-08-01,174.803,1662.0,1662.0
2014-09-01,377.829,3593.0,3593.0
2014-10-01,504.949,4802.0,4802.0
2014-11-01,632.59,6016.0,6016.0
2014-12-01,497.231,4729.0,4729.0
2015-01-01,567.446,5288.0,5288.0
2015-02-01,517.482,4822.0,4822.0
2015-03-01,565.686,5272.0,5272.0
2015-04-01,587.09,5471.0,5471.0
2015-05-01,539.092,5024.0,5024.0
2015-06-01,301.257,2807.0,2807.0
2015-07-01,267.035,2488.0,2488.0
2015-08-01,354.475,3303.0,3303.0
2015-09-01,401.119,3738.0,3738.0
2015-10-01,541.357,5045.0,5045.0
2015-11-01,658.692,6138.0,6138.0
2015-12-01,542.269,5053.0,5053.0
2016-01-01,462.392,4269.0,4269.0
2016-02-01,498.086,4598.0,4598.0
2016-03-01,476.137,4396.0,4396.0
2016-04-01,601.776,5556.0,5556.0
2016-05-01,367.037,3388.0,3388.0
2016-06-01,354.152,3270.0,3270.0
2016-07-01,279.496,2580.0,2580.0
2016-08-01,232.086,2143.0,2143.0
2016-09-01,440.453,4066.0,4066.0
2016-10-01,503.622,4649.0,4649.0
2016-11-01,524.342,4841.0,4841.0
2016-12-01,700.421,6466.0,6466.0
2017-01-01,438.913,4044.0,4044.0
2017-02-01,518.474,4777.0,4777.0
2017-03-01,523.507,4823.0,4823.0
2017-04-01,470.07,4331.0,4331.0
2017-05-01,431.602,3976.0,3976.0
2017-06-01,340.646,3138.0,3138.0
2017-07-01,231.136,2129.0,2129.0
2017-08-01,195.64,1802.0,1802.0
2017-09-01,364.881,3362.0,3362.0
2017-10-01,534.385,4923.0,4923.0
2017-11-01,516.976,4763.0,4763.0
2017-12-01,513.77,4733.0,4733.0
2018-01-01,420.826,3831.0,3831.0
2018-02-01,360.152,3279.0,3279.0
2018-03-01,388.806,3540.0,3540.0
2018-04-01,348.983,3177.0,3177.0
2018-05-01,275.536,2508.0,2508.0
2018-06-01,322.52,2936.0,2936.0
2018-07-01,217.785,1983.0,1983.0
2018-08-01,222.299,2024.0,2024.0
2018-09-01,322.6,2937.0,2937.0
2018-10-01,344.566,3137.0,3137.0
2018-11-01,341.356,3108.0,3108.0
2018-12-01,339.571,3091.0,3091.0
2019-01-01,364.089,3242.0,3242.0
2019-02-01,295.858,2635.0,2635.0
2019-03-01,371.368,3307.0,3307.0
2019-04-01,305.624,2722.0,2722.0
2019-05-01,331.818,2955.0,2955.0
2019-06-01,243.683,2170.0,2170.0
2019-07-01,215.967,1923.0,1923.0
2019-08-01,195.642,1742.0,1742.0
2019-09-01,339.293,3021.0,3021.0
2019-10-01,437.114,3893.0,3893.0
2019-11-01,384.1,3420.0,3420.0
2019-12-01,340.444,3032.0,3032.0
2020-01-01,447.02,3919.0,3919.0
2020-02-01,576.856,5057.0,5057.0
2020-03-01,573.371,5027.0,5027.0
2020-04-01,478.626,4196.0,4196.0
2020-05-01,412.32,3615.0,3615.0
2020-06-01,448.129,3929.0,3929.0
2020-07-01,303.783,2663.0,2663.0
2020-08-01,406.717,3566.0,3566.0
2020-09-01,428.737,3759.0,3759.0
2020-10-01,436.484,3827.0,3827.0
2020-11-01,515.279,4517.0,4517.0
2020-12-01,470.678,4126.0,4126.0
2021-01-01,351.139,3105.0,3105.0
2021-02-01,278.407,2462.0,2462.0
2021-03-01,431.844,3819.0,3819.0
2021-04-01,465.056,4113.0,4113.0
2021-05-01,384.138,3397.0,3397.0
2021-06-01,297.683,2633.0,2633.0
2021-07-01,241.415,2135.0,2135.0
2021-08-01,323.522,2861.0,2861.0
2021-09-01,358.914,3174.0,3174.0
2021-10-01,366.062,3237.0,3237.0
2021-11-01,472.271,4177.0,4177.0
2021-12-01,505.549,4471.0,4471.0
2022-01-01,563.124,1921.0,1921.0
2022-02-01,483.259,1649.0,1649.0
2022-03-01,505.856,1726.0,1726.0
2022-04-01,509.487,1738.0,1738.0
2022-05-01,407.108,1389.0,1389.0
2022-06-01,367.722,1255.0,1255.0
2022-07-01,306.11,1044.0,1044.0
2022-08-01,304.645,1039.0,1039.0
2022-09-01,367.234,1253.0,1253.0
2022-10-01,480.387,1639.0,1639.0
2022-11-01,536.453,1830.0,1830.0
2022-12-01,519.615,1773.0,1773.0
2023-01-01,267.0,911.0,911.0
2023-02-01,474.0,1617.0,1617.0
2023-03-01,341.0,1163.0,1163.0
2023-04-01,449.0,1532.0,1532.0
2023-05-01,356.0,1215.0,1215.0
2023-06-01,180.0,614.0,614.0
2023-07-01,144.0,491.0,491.0
2023-08-01,245.0,836.0,836.0
2023-09-01,248.0,846.0,846.0
2023-10-01,342.0,1167.0,1167.0
2023-11-01,349.0,1191.0,1191.0
2023-12-01,284.0,969.0,969.0
2024-01-01,303.0,1034.0,1034.0
2024-02-01,272.0,928.0,928.0
2024-03-01,355.0,1211.0,1211.0
2024-04-01,394.0,1344.0,1344.0
2024-05-01,380.0,1297.0,1297.0
2024-06-01,240.0,819.0,819.0
2024-07-01,177.0,604.0,604.0
