measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-01-01,,,,,,,1147.393,14037.11,14037.11
2005-02-01,,,,,,,1035.642,12669.96,12669.96
2005-03-01,,,,,,,1117.6680000000001,13673.45,13673.45
2005-04-01,,,,,,,1123.035,13739.12,13739.12
2005-05-01,,,,,,,1233.4360000000001,15089.76,15089.76
2005-06-01,,,,,,,1584.277,19381.92,19381.92
2005-07-01,,,,,,,2028.6970000000001,24818.91,24818.91
2005-08-01,,,,,,,2102.375,25720.29,25720.29
2005-09-01,,,,,,,1585.64,19398.59,19398.59
2005-10-01,,,,,,,1230.7630000000001,15057.05,15057.05
2005-11-01,,,,,,,1098.134,13434.49,13434.49
2005-12-01,,,,,,,1252.939,15328.35,15328.35
2006-01-01,,,,,,,826.336,10542.0,10542.0
2006-02-01,,,,,,,980.3720000000001,12507.0,12507.0
2006-03-01,,,,,,,1118.204,14266.0,14266.0
2006-04-01,,,,,,,1250.736,15956.0,15956.0
2006-05-01,,,,,,,1448.665,18481.0,18481.0
2006-06-01,,,,,,,1845.9930000000002,23550.0,23550.0
2006-07-01,,,,,,,2320.8160000000003,29608.0,29608.0
2006-08-01,,,,,,,2350.0840000000003,29981.0,29981.0
2006-09-01,,,,,,,1599.0030000000002,20399.0,20399.0
2006-10-01,,,,,,,1447.756,18470.0,18470.0
2006-11-01,,,,,,,1075.184,13717.0,13717.0
2006-12-01,,,,,,,1120.851,14299.0,14299.0
2007-01-01,,,,,,,37.324000000000005,496.0,496.0
2007-02-01,,,,,,,31.713,421.0,421.0
2007-03-01,,,,,,,36.903,491.0,491.0
2007-04-01,,,,,,,34.757000000000005,462.0,462.0
2007-05-01,,,,,,,37.882000000000005,504.0,504.0
2007-06-01,,,,,,,44.354,590.0,590.0
2007-07-01,,,,,,,47.888000000000005,636.0,636.0
2007-08-01,,,,,,,57.088,759.0,759.0
2007-09-01,,,,,,,46.669000000000004,621.0,621.0
2007-10-01,,,,,,,39.233000000000004,522.0,522.0
2007-11-01,,,,,,,31.026,412.0,412.0
2007-12-01,,,,,,,32.163000000000004,428.0,428.0
2008-01-01,,,,,,,1163.117,14758.0,14758.0
2008-02-01,,,,,,,982.879,12470.0,12470.0
2008-03-01,,,,,,,1127.775,14310.0,14310.0
2008-04-01,,,,,,,1096.645,13915.0,13915.0
2008-05-01,,,,,,,1333.7740000000001,16923.0,16923.0
2008-06-01,,,,,,,1620.116,20557.0,20557.0
2008-07-01,,,,,,,1757.884,22304.0,22304.0
2008-08-01,,,,,,,1731.547,21970.0,21970.0
2008-09-01,,,,,,,1167.0810000000001,14808.0,14808.0
2008-10-01,,,,,,,1117.384,14177.0,14177.0
2008-11-01,,,,,,,858.8820000000001,10898.0,10898.0
2008-12-01,,,,,,,951.916,12078.0,12078.0
2009-01-01,,,,,,,1460.3,18342.0,18342.0
2009-02-01,,,,,,,1246.106,15651.0,15651.0
2009-03-01,,,,,,,1603.462,20139.0,20139.0
2009-04-01,,,,,,,1398.5510000000002,17566.0,17566.0
2009-05-01,,,,,,,1872.304,23517.0,23517.0
2009-06-01,,,,,,,2503.771,31448.0,31448.0
2009-07-01,,,,,,,2761.8610000000003,34689.0,34689.0
2009-08-01,,,,,,,2771.143,34807.0,34807.0
2009-09-01,,,,,,,2073.6020000000003,26045.0,26045.0
2009-10-01,,,,,,,1669.0420000000001,20964.0,20964.0
2009-11-01,,,,,,,1283.977,16127.0,16127.0
2009-12-01,,,,,,,1679.881,21100.0,21100.0
2010-01-01,,,,,,,559.2370000000001,7811.0,7811.0
2010-02-01,,,,,,,524.083,7319.0,7319.0
2010-03-01,,,,,,,415.61600000000004,5805.0,5805.0
2010-04-01,,,,,,,487.273,6806.0,6806.0
2010-05-01,,,,,,,595.294,8315.0,8315.0
2010-06-01,,,,,,,716.306,10005.0,10005.0
2010-07-01,,,,,,,748.2040000000001,10450.0,10450.0
2010-08-01,,,,,,,886.6890000000001,12384.0,12384.0
2010-09-01,,,,,,,644.9250000000001,9008.0,9008.0
2010-10-01,,,,,,,479.38500000000005,6696.0,6696.0
2010-11-01,,,,,,,433.057,6049.0,6049.0
2010-12-01,,,,,,,451.93100000000004,6312.0,6312.0
2011-01-01,,,,,,,1262.483,17494.0,17494.0
2011-02-01,,,,,,,1146.329,15883.0,15883.0
2011-03-01,,,,,,,1031.265,14289.0,14289.0
2011-04-01,,,,,,,1330.18,18431.0,18431.0
2011-05-01,,,,,,,1416.632,19628.0,19628.0
2011-06-01,,,,,,,1838.892,25479.0,25479.0
2011-07-01,,,,,,,2230.152,30901.0,30901.0
2011-08-01,,,,,,,2400.304,33259.0,33259.0
2011-09-01,,,,,,,1688.94,23401.0,23401.0
2011-10-01,,,,,,,1288.964,17860.0,17860.0
2011-11-01,,,,,,,1189.27,16478.0,16478.0
2011-12-01,,,,,,,1428.589,19795.0,19795.0
2012-01-01,,,,,,,192.444,2570.0,2570.0
2012-02-01,,,,,,,179.374,2395.0,2395.0
2012-03-01,,,,,,,196.831,2628.0,2628.0
2012-04-01,,,,,,,221.48,2957.0,2957.0
2012-05-01,,,,,,,237.948,3177.0,3177.0
2012-06-01,,,,,,,264.365,3530.0,3530.0
2012-07-01,,,,,,,285.213,3808.0,3808.0
2012-08-01,,,,,,,295.815,3949.0,3949.0
2012-09-01,,,,,,,228.521,3051.0,3051.0
2012-10-01,,,,,,,179.484,2396.0,2396.0
2012-11-01,,,,,,,162.575,2170.0,2170.0
2012-12-01,,,,,,,174.95,2335.0,2335.0
2013-01-01,,,,,,,280.699,3634.0,3634.0
2013-02-01,,,,,,,221.718,2871.0,2871.0
2013-03-01,,,,,,,238.678,3091.0,3091.0
2013-04-01,,,,,,,257.262,3331.0,3331.0
2013-05-01,,,,,,,276.927,3586.0,3586.0
2013-06-01,,,,,,,341.834,4426.0,4426.0
2013-07-01,,,,,,,379.08,4909.0,4909.0
2013-08-01,,,,,,,421.923,5464.0,5464.0
2013-09-01,,,,,,,356.971,4622.0,4622.0
2013-10-01,,,,,,,279.305,3617.0,3617.0
2013-11-01,,,,,,,273.045,3535.0,3535.0
2013-12-01,,,,,,,298.558,3867.0,3867.0
2014-01-01,,,,,,,200.735,2386.0,2386.0
2014-02-01,,,,,,,175.176,2083.0,2083.0
2014-03-01,,,,,,,177.78,2114.0,2114.0
2014-04-01,,,,,,,183.868,2186.0,2186.0
2014-05-01,,,,,,,203.476,2419.0,2419.0
2014-06-01,,,,,,,237.647,2825.0,2825.0
2014-07-01,,,,,,,276.1,3282.0,3282.0
2014-08-01,,,,,,,307.596,3657.0,3657.0
2014-09-01,,,,,,,250.066,2973.0,2973.0
2014-10-01,,,,,,,219.019,2604.0,2604.0
2014-11-01,,,,,,,189.987,2259.0,2259.0
2014-12-01,,,,,,,207.55,2467.0,2467.0
2015-01-01,,,,,,,196.388,2525.0,2525.0
2015-02-01,,,,,,,178.003,2288.0,2288.0
2015-03-01,,,,,,,201.794,2594.0,2594.0
2015-04-01,,,,,,,186.986,2404.0,2404.0
2015-05-01,,,,,,,194.44,2500.0,2500.0
2015-06-01,,,,,,,228.792,2941.0,2941.0
2015-07-01,,,,,,,271.303,3488.0,3488.0
2015-08-01,,,,,,,278.743,3584.0,3584.0
2015-09-01,,,,,,,233.721,3005.0,3005.0
2015-10-01,,,,,,,203.615,2618.0,2618.0
2015-11-01,,,,,,,176.85,2274.0,2274.0
2015-12-01,,,,,,,199.365,2563.0,2563.0
2016-01-01,,,,,,,760.564,8736.0,8736.0
2016-02-01,,,,,,,664.165,7630.0,7630.0
2016-03-01,,,,,,,747.561,8588.0,8588.0
2016-04-01,,,,,,,713.347,8195.0,8195.0
2016-05-01,,,,,,,797.143,9157.0,9157.0
2016-06-01,,,,,,,891.377,10240.0,10240.0
2016-07-01,,,,,,,996.403,11446.0,11446.0
2016-08-01,,,,,,,1025.71,11783.0,11783.0
2016-09-01,,,,,,,866.501,9954.0,9954.0
2016-10-01,,,,,,,682.817,7844.0,7844.0
2016-11-01,,,,,,,610.657,7015.0,7015.0
2016-12-01,,,,,,,568.755,6534.0,6534.0
2017-01-01,,,,,,,287.762,4848.0,4848.0
2017-02-01,,,,,,,255.022,4296.0,4296.0
2017-03-01,,,,,,,300.475,5062.0,5062.0
2017-04-01,,,,,,,297.019,5004.0,5004.0
2017-05-01,,,,,,,338.965,5711.0,5711.0
2017-06-01,,,,,,,434.194,7315.0,7315.0
2017-07-01,,,,,,,532.646,8974.0,8974.0
2017-08-01,,,,,,,508.483,8566.0,8566.0
2017-09-01,,,,,,,374.999,6318.0,6318.0
2017-10-01,,,,,,,331.393,5583.0,5583.0
2017-11-01,,,,,,,275.606,4643.0,4643.0
2017-12-01,,,,,,,360.436,6072.0,6072.0
