measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,-136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-02-01,94.0,2309.0,2309.0,14.0,148.0,148.0,25.0,618.0,618.0,,,
2003-03-01,393.0,6470.0,6470.0,6.0,63.0,63.0,25.0,422.0,422.0,,,
2003-04-01,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-05-01,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-06-01,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-07-01,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,673.0,10959.0,10959.0,,,
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,,,
2003-10-01,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-11-01,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,3169.0,42664.0,42664.0,,,
2004-01-01,-131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-02-01,-103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-03-01,-97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-04-01,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-05-01,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-06-01,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-07-01,0.0,0.0,0.0,1.0,12.0,12.0,-82.0,1563.0,1563.0,,,
2004-08-01,0.0,0.0,0.0,1.0,12.0,12.0,1208.0,18155.0,18155.0,,,
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,166.0,3229.0,3229.0,,,
2004-10-01,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-11-01,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-12-01,2.0,258.0,258.0,0.0,0.0,0.0,18.0,2018.0,2018.0,,,
2005-01-01,22.0,316.64,316.64,19.0,201.5,201.5,674.0,9973.56,9973.56,,,
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,97.0,2389.86,2389.86,,,
2005-03-01,-94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-04-01,-76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-05-01,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-06-01,-77.0,0.0,0.0,5.0,51.81,51.81,0.0,0.0,0.0,,,
2005-07-01,0.0,0.0,0.0,11.0,115.14,115.14,3074.0,41459.94,41459.94,,,
2005-08-01,0.0,0.0,0.0,12.0,126.65,126.65,3018.0,40282.86,40282.86,,,
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,398.0,6386.22,6386.22,,,
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,,,
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,,,
2005-12-01,0.0,0.0,0.0,1.0,11.51,11.51,-112.0,0.0,0.0,,,
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-97.0,0.0,0.0,,,
2006-02-01,0.0,0.0,0.0,16.0,167.0,167.0,-97.0,0.0,0.0,,,
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-94.0,0.0,0.0,,,
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,0.0,0.0,,,
2006-05-01,0.0,0.0,0.0,9.0,98.0,98.0,460.0,7083.0,7083.0,,,
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-73.0,0.0,0.0,,,
2006-07-01,0.0,0.0,0.0,17.0,178.0,178.0,2775.0,37688.0,37688.0,,,
2006-08-01,0.0,0.0,0.0,80.0,846.0,846.0,3776.0,51159.0,51159.0,,,
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2076.0,2076.0,,,
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,,,
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,,,
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-126.0,567.0,567.0,,,
2007-01-01,-70.5,0.0,0.0,0.0,0.0,0.0,-70.5,0.0,0.0,,,
2007-02-01,-82.0,0.0,0.0,13.0,138.0,138.0,-82.0,0.0,0.0,,,
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,152.0,3614.0,3614.0,,,
2007-04-01,-53.0,0.0,0.0,0.0,0.0,0.0,-53.0,0.0,0.0,,,
2007-05-01,-41.5,0.0,0.0,0.0,0.0,0.0,-41.5,0.0,0.0,,,
2007-06-01,0.0,0.0,0.0,11.0,115.0,115.0,630.0,9853.0,9853.0,,,
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,578.0,9126.0,9126.0,,,
2007-08-01,0.0,0.0,0.0,16.0,167.0,167.0,13133.0,175586.0,175586.0,,,
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,2645.0,37004.0,37004.0,,,
2007-10-01,0.0,0.0,0.0,7.0,75.0,75.0,1274.0,18552.0,18552.0,,,
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-59.0,525.0,525.0,,,
2007-12-01,-62.5,0.0,0.0,0.0,0.0,0.0,-62.5,0.0,0.0,,,
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,358.0,6768.0,6768.0,,,
2008-02-01,0.0,0.0,0.0,16.0,167.0,167.0,206.0,5356.0,5356.0,,,
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2311.0,2311.0,,,
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,167.0,3728.0,3728.0,,,
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-96.0,27.0,27.0,,,
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,3233.0,46068.0,46068.0,,,
2008-07-01,,,,10.0,104.0,104.0,601.0,10036.0,10036.0,,,
2008-08-01,,,,0.0,0.0,0.0,755.0,11732.0,11732.0,,,
2008-09-01,,,,0.0,0.0,0.0,1455.0,22277.0,22277.0,,,
2008-10-01,,,,0.0,0.0,0.0,411.0,6142.0,6142.0,,,
2008-11-01,,,,0.0,0.0,0.0,122.0,4906.0,4906.0,,,
2008-12-01,,,,0.0,0.0,0.0,534.0,9555.0,9555.0,,,
2009-01-01,,,,12.0,127.0,127.0,755.0,12694.0,12694.0,,,
2009-02-01,,,,0.0,0.0,0.0,771.0,12267.0,12267.0,,,
2009-03-01,,,,0.0,0.0,0.0,1234.0,18220.0,18220.0,,,
2009-04-01,,,,0.0,0.0,0.0,-28.0,835.0,835.0,,,
2009-05-01,,,,0.0,0.0,0.0,151.0,3121.0,3121.0,,,
2009-06-01,,,,0.0,0.0,0.0,12.0,1382.0,1382.0,,,
2009-07-01,,,,25.0,265.0,265.0,491.0,7660.0,7660.0,,,
2009-08-01,,,,0.0,0.0,0.0,729.0,11931.0,11931.0,,,
2009-09-01,,,,0.0,0.0,0.0,1166.0,16270.0,16270.0,,,
2009-10-01,,,,0.0,0.0,0.0,11.0,1214.0,1214.0,,,
2009-11-01,,,,0.0,0.0,0.0,979.0,15667.0,15667.0,,,
2009-12-01,,,,0.0,0.0,0.0,944.0,14813.0,14813.0,,,
2010-01-01,,,,0.0,0.0,0.0,2042.0,28867.0,28867.0,,,
2010-02-01,,,,0.0,0.0,0.0,89.0,3176.0,3176.0,,,
2010-03-01,,,,0.0,0.0,0.0,83.0,2628.0,2628.0,,,
2010-04-01,,,,0.0,0.0,0.0,164.0,3202.0,3202.0,,,
2010-05-01,,,,0.0,0.0,0.0,1747.0,25701.0,25701.0,,,
2010-06-01,,,,6.0,63.0,63.0,205.0,3773.0,3773.0,,,
2010-07-01,,,,18.0,190.0,190.0,9134.0,123948.0,123948.0,,,
2010-08-01,,,,0.0,0.0,0.0,9959.0,137698.0,137698.0,,,
2010-09-01,,,,0.0,0.0,0.0,547.0,9711.0,9711.0,,,
2010-10-01,,,,0.0,0.0,0.0,26.0,1559.0,1559.0,,,
2010-11-01,,,,0.0,0.0,0.0,-73.0,511.0,511.0,,,
2010-12-01,,,,0.0,0.0,0.0,2674.0,36091.0,36091.0,,,
2011-01-01,,,,0.0,0.0,0.0,1199.0,17988.0,17988.0,,,
2011-02-01,,,,0.0,0.0,0.0,114.0,2900.0,2900.0,,,
2011-03-01,,,,0.0,0.0,0.0,-35.0,973.0,973.0,,,
2011-04-01,,,,0.0,0.0,0.0,410.0,6538.0,6538.0,,,
2011-05-01,,,,20.0,282.0,282.0,4154.0,55370.0,55370.0,,,
2011-06-01,,,,23.0,242.0,242.0,4922.0,68129.0,68129.0,,,
2011-07-01,,,,0.0,0.0,0.0,12622.0,171085.0,171085.0,,,
2011-08-01,,,,0.0,0.0,0.0,6774.0,93348.0,93348.0,,,
2011-09-01,,,,0.0,0.0,0.0,832.0,12363.0,12363.0,,,
2011-10-01,,,,0.0,0.0,0.0,62.0,1551.0,1551.0,,,
2011-11-01,,,,0.0,0.0,0.0,-17.0,750.0,750.0,,,
2011-12-01,,,,0.0,0.0,0.0,354.0,6443.0,6443.0,,,
2012-01-01,,,,3.0,35.0,35.0,354.0,6732.0,6732.0,,,
2012-02-01,,,,2.0,23.0,23.0,-78.0,675.0,675.0,,,
2012-03-01,,,,0.0,0.0,0.0,3958.0,52259.0,52259.0,,,
2012-04-01,,,,0.0,0.0,0.0,1801.0,25509.0,25509.0,,,
2012-05-01,,,,7.0,75.0,75.0,7612.0,102471.0,102471.0,,,
2012-06-01,,,,20.0,215.0,215.0,8236.0,110926.0,110926.0,,,
2012-07-01,,,,22.0,232.0,232.0,19070.0,252967.0,252967.0,,,
2012-08-01,,,,15.0,162.0,162.0,4414.0,60213.0,60213.0,,,
2012-09-01,,,,12.0,128.0,128.0,4752.0,62411.0,62411.0,,,
2012-10-01,,,,0.0,0.0,0.0,157.0,2919.0,2919.0,,,
2012-11-01,,,,0.0,0.0,0.0,3109.0,41057.0,41057.0,,,
2012-12-01,,,,0.0,0.0,0.0,-96.0,513.0,513.0,,,
2013-01-01,,,,9.0,99.0,99.0,1372.0,19810.0,19810.0,,,
2013-02-01,,,,0.0,0.0,0.0,-19.0,1631.0,1631.0,,,
2013-03-01,,,,0.0,0.0,0.0,827.0,12599.0,12599.0,,,
2013-04-01,,,,0.0,0.0,0.0,-17.0,1544.0,1544.0,,,
2013-05-01,,,,5.0,52.0,52.0,1974.0,28086.0,28086.0,,,
2013-06-01,,,,62.0,658.0,658.0,1402.0,19701.0,19701.0,,,
