measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,719674.0,6878234.0,6878234.0,1192.0,11397.0,11397.0
2003-02-01,,,,661498.0,6383295.0,6383295.0,2274.0,21959.0,21959.0
2003-03-01,,,,621547.0,5982703.0,5982703.0,1339.0,12885.0,12885.0
2003-04-01,,,,398325.0,4033755.0,4033755.0,1685.0,17079.0,17079.0
2003-05-01,,,,546650.0,5794359.0,5794359.0,3248.0,34175.0,34175.0
2003-06-01,,,,700160.0,6965622.0,6965622.0,2694.0,26898.0,26898.0
2003-07-01,,,,805442.0,8173084.0,8173084.0,2448.0,24879.0,24879.0
2003-08-01,,,,862810.0,8721674.0,8721674.0,2224.0,22582.0,22582.0
2003-09-01,,,,779904.0,7736067.0,7736067.0,1287.0,12803.0,12803.0
2003-10-01,,,,648810.0,6587781.0,6587781.0,1798.0,18137.0,18137.0
2003-11-01,,,,575473.0,5711076.0,5711076.0,1641.0,16253.0,16253.0
2003-12-01,,,,619572.0,6269396.0,6269396.0,1921.0,19708.0,19708.0
2004-01-01,,,,715337.0,7201430.0,7201430.0,2444.0,24972.0,24972.0
2004-02-01,,,,736782.0,6975126.0,6975126.0,1455.0,13932.0,13932.0
2004-03-01,,,,641417.0,6418807.0,6418807.0,2301.0,22855.0,22855.0
2004-04-01,,,,555219.0,5266233.0,5266233.0,1284.0,12233.0,12233.0
2004-05-01,,,,618673.0,6346458.0,6346458.0,2224.0,22750.0,22750.0
2004-06-01,,,,697399.0,6950233.0,6950233.0,2683.0,27090.0,27090.0
2004-07-01,,,,801064.0,8091797.0,8091797.0,2069.0,20714.0,20714.0
2004-08-01,,,,745928.0,7454542.0,7454542.0,2392.0,23879.0,23879.0
2004-09-01,,,,448847.0,4450288.0,4450288.0,2782.0,28253.0,28253.0
2004-10-01,,,,573908.0,5838997.0,5838997.0,2036.0,20912.0,20912.0
2004-11-01,,,,461405.0,4495578.0,4495578.0,1040.0,10314.0,10314.0
2004-12-01,,,,527927.0,5324352.0,5324352.0,2694.0,28944.0,28944.0
2005-01-01,,,,526745.0,5184802.39,5184802.39,2204.0,21959.18,21959.18
2005-02-01,,,,664892.0,6551726.0600000005,6551726.0600000005,2890.0,29067.55,29067.55
2005-03-01,,,,889961.0,8476221.64,8476221.64,1569.0,15147.47,15147.47
2005-04-01,,,,638059.0,6198748.63,6198748.63,983.0,9696.94,9696.94
2005-05-01,,,,833076.0,8133063.13,8133063.13,2890.0,28706.9,28706.9
2005-06-01,,,,936162.0,9221978.12,9221978.12,767.0,7649.36,7649.36
2005-07-01,,,,894570.0,8768632.24,8768632.24,1727.0,17206.69,17206.69
2005-08-01,,,,943602.0,9331975.1,9331975.1,1541.0,15554.66,15554.66
2005-09-01,,,,900441.0,8715674.9,8715674.9,1076.0,10645.11,10645.11
2005-10-01,,,,1034484.0,9854941.58,9854941.58,378.0,3717.06,3717.06
2005-11-01,,,,847658.0,8057544.09,8057544.09,420.0,4042.82,4042.82
2005-12-01,,,,670060.0,6804686.16,6804686.16,1288.0,13152.24,13152.24
2006-01-01,,,,832761.0,8137901.0,8137901.0,807.0,8057.0,8057.0
2006-02-01,,,,879091.0,8553118.0,8553118.0,480.0,4735.0,4735.0
2006-03-01,,,,911529.0,8817795.0,8817795.0,762.0,7440.0,7440.0
2006-04-01,,,,913275.0,8747764.0,8747764.0,738.0,7161.0,7161.0
2006-05-01,,,,922697.0,8939604.0,8939604.0,526.0,5148.0,5148.0
2006-06-01,,,,941143.0,9250557.0,9250557.0,316.0,3159.0,3159.0
2006-07-01,,,,997911.0,9804075.0,9804075.0,558.0,5544.0,5544.0
