measured_on,Natural Gas-Combined Cycle Single Shaft Generation,Natural Gas-Combined Cycle Single Shaft Quantity Consumed For Electricity,Natural Gas-Combined Cycle Single Shaft Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Other Gases-Combustion (Gas) Turbine (including jet engine design) Generation,Other Gases-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Other Gases-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,21672.907,117475.0,299150.0,516.457,2799.0,7129.0
2003-02-01,,,,19105.625,103559.0,263714.0,455.279,2468.0,6284.0
2003-03-01,,,,18974.175000000003,102847.0,261900.0,452.14700000000005,2451.0,6241.0
2003-04-01,,,,19136.0,103724.0,264134.0,456.00300000000004,2472.0,6294.0
2003-05-01,,,,22769.643,123420.0,314289.0,542.591,2941.0,7489.0
2003-06-01,,,,23771.57,128851.0,328118.0,566.467,3070.0,7819.0
2003-07-01,,,,25933.597999999998,140569.0,357961.0,617.9870000000001,3350.0,8530.0
2003-08-01,,,,27412.342,148585.0,378372.0,653.225,3541.0,9016.0
2003-09-01,,,,22505.163,121986.0,310638.0,536.289,2907.0,7402.0
2003-10-01,,,,20401.178,110582.0,281597.0,486.15200000000004,2635.0,6710.0
2003-11-01,,,,19317.126,104706.0,266634.0,460.319,2495.0,6354.0
2003-12-01,,,,19978.673000000003,108292.0,275765.0,476.084,2581.0,6571.0
2004-01-01,,,,26497.33488,124991.63,333203.52,20.48512,96.63,257.6
2004-02-01,,,,14708.82,69383.56,204743.4,0.0,0.0,0.0
2004-03-01,,,,24971.85901,117795.75,342242.16,169.06099,797.48,2317.0
2004-04-01,,,,18233.16024,86008.36,247574.92,4.63976,21.89,63.0
2004-05-01,,,,24197.51291,114143.05,333125.27,1.62709,7.68,22.4
2004-06-01,,,,20016.11964,94418.83,282000.08,6.2603599999999995,29.53,88.2
2004-07-01,,,,20249.74,95520.85,285451.25,0.0,0.0,0.0
2004-08-01,,,,18495.64147,87246.52,250037.62,1567.89853,7396.0,21196.0
2004-09-01,,,,18786.20753,88617.17,251833.05,2946.27247,13897.98,39495.4
2004-10-01,,,,19349.31693,91273.43,260555.7,4040.34307,19058.86,54406.8
2004-11-01,,,,21857.09595,103102.97,275601.73,2420.44405,11417.57,30520.0
2004-12-01,,,,24273.20477,114500.1,277883.1,1975.1152299999999,9316.89,22611.4
2005-01-01,,,,21993.51791,103746.5,289135.69,596.46209,2813.59,7841.33
2005-02-01,,,,19968.21854,94192.88,259303.97,89.44145999999999,421.91,1161.47
2005-03-01,,,,22687.0,107017.75,274834.15,0.0,0.0,0.0
2005-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,,,,6352.84343,29967.25,82893.89,143.57657,677.27,1873.43
2005-06-01,,,,17722.22071,83598.19,246325.54,2334.45929,11011.97,32447.23
2005-07-01,,,,17729.69505,83633.45,237934.23,2995.34495,14129.46,40197.82
2005-08-01,,,,18626.88713,87865.63,260827.65,2869.41287,13535.42,40179.67
2005-09-01,,,,12276.98864,57912.27,182846.37,1979.07136,9335.56,29475.14
2005-10-01,,,,14560.84,68685.52,211533.84,0.0,0.0,0.0
2005-11-01,,,,23887.5,112680.67,313915.56,0.0,0.0,0.0
2005-12-01,,,,25150.01269,118636.12,307613.84,560.28731,2642.95,6852.96
2006-01-01,,,,24951.84637,117701.35,348933.05,130.27363,614.52,1821.78
