measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2021-11-01,0.0,0.0,0.0,124.427,1100.0,1100.0
2021-12-01,0.0,0.0,0.0,66.573,589.0,589.0
2022-01-01,-13.643,0.0,0.0,299.832,1023.0,1023.0
2022-02-01,-11.319,0.0,0.0,197.317,673.0,673.0
2022-03-01,-11.706,0.0,0.0,294.483,1005.0,1005.0
2022-04-01,-14.012,0.0,0.0,359.799,1228.0,1228.0
2022-05-01,-14.015,0.0,0.0,404.96,1382.0,1382.0
2022-06-01,-14.24,0.0,0.0,407.324,1390.0,1390.0
2022-07-01,-13.639,0.0,0.0,449.624,1534.0,1534.0
2022-08-01,-13.363,0.0,0.0,396.625,1353.0,1353.0
2022-09-01,-13.62,0.0,0.0,328.82,1122.0,1122.0
2022-10-01,-14.048,0.0,0.0,260.643,889.0,889.0
2022-11-01,-13.548,0.0,0.0,214.983,734.0,734.0
2022-12-01,-13.847,0.0,0.0,139.59,476.0,476.0
2023-01-01,-15.0,0.0,0.0,103.0,351.0,351.0
2023-02-01,-14.0,0.0,0.0,205.0,699.0,699.0
2023-03-01,-17.0,0.0,0.0,319.0,1088.0,1088.0
2023-04-01,-17.0,0.0,0.0,347.0,1184.0,1184.0
2023-05-01,-20.0,0.0,0.0,498.0,1699.0,1699.0
2023-06-01,-18.0,0.0,0.0,371.0,1266.0,1266.0
2023-07-01,-18.0,0.0,0.0,402.0,1372.0,1372.0
2023-08-01,-19.0,0.0,0.0,376.0,1283.0,1283.0
2023-09-01,-15.0,0.0,0.0,312.0,1065.0,1065.0
2023-10-01,-17.0,0.0,0.0,239.0,815.0,815.0
2023-11-01,-17.0,0.0,0.0,208.0,710.0,710.0
2023-12-01,-15.0,0.0,0.0,127.0,433.0,433.0
2024-01-01,-12.0,0.0,0.0,73.0,249.0,249.0
2024-02-01,-18.0,0.0,0.0,287.0,979.0,979.0
2024-03-01,-17.0,0.0,0.0,312.0,1065.0,1065.0
2024-04-01,-16.0,0.0,0.0,323.0,1102.0,1102.0
2024-05-01,-18.0,0.0,0.0,382.0,1303.0,1303.0
2024-06-01,-19.0,0.0,0.0,414.0,1413.0,1413.0
2024-07-01,-22.0,0.0,0.0,438.0,1494.0,1494.0
2024-08-01,-13.0,0.0,0.0,341.0,1163.0,1163.0
2024-09-01,-15.0,0.0,0.0,320.0,1092.0,1092.0
2024-10-01,-18.0,0.0,0.0,303.0,1034.0,1034.0
2024-11-01,-12.0,0.0,0.0,218.0,744.0,744.0
2024-12-01,-9.0,0.0,0.0,139.0,474.0,474.0
