measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,2.0,42.0,42.0,3431.0,56851.0,56851.0
2001-02-01,1.0,18.0,18.0,2028.0,33872.0,33872.0
2001-03-01,0.0,0.0,0.0,2734.0,46447.0,46447.0
2001-04-01,0.0,0.0,0.0,1250.0,21516.0,21516.0
2001-05-01,0.0,0.0,0.0,1077.0,18340.0,18340.0
2001-06-01,0.0,0.0,0.0,293.0,5183.0,5183.0
2001-07-01,0.0,0.0,0.0,431.0,6810.0,6810.0
2001-08-01,0.0,0.0,0.0,27.0,409.0,409.0
2001-09-01,0.0,0.0,0.0,92.0,1458.0,1458.0
2001-10-01,0.0,0.0,0.0,32.0,469.0,469.0
2001-11-01,0.0,0.0,0.0,57.0,837.0,837.0
2001-12-01,0.0,0.0,0.0,53.0,922.0,922.0
2002-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-02-01,0.0,0.0,0.0,28.0,506.0,506.0
2002-03-01,0.0,0.0,0.0,10.0,165.0,165.0
2002-04-01,0.0,0.0,0.0,20.0,329.0,329.0
2002-05-01,11.0,198.0,198.0,91.0,1599.0,1599.0
2002-06-01,0.0,0.0,0.0,118.0,1897.0,1897.0
2002-07-01,0.0,0.0,0.0,106.0,1691.0,1691.0
2002-08-01,0.0,0.0,0.0,21.0,370.0,370.0
2002-09-01,0.0,0.0,0.0,110.0,1983.0,1983.0
2002-10-01,0.0,0.0,0.0,118.0,2004.0,2004.0
2002-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-12-01,0.0,0.0,0.0,0.0,0.0,0.0
