measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2012-01-01,2189.969,27915.0,30016.0
2012-02-01,2965.644,37803.0,40649.0
2012-03-01,3330.392,42452.0,45648.0
2012-04-01,3806.311,48518.0,52171.0
2012-05-01,3001.935,38265.0,41146.0
2012-06-01,5144.859,65581.0,70518.0
2012-07-01,8443.701,107630.0,115734.0
2012-08-01,3961.181,50493.0,54294.0
2012-09-01,2739.322,34918.0,37547.0
2012-10-01,1135.424,14473.0,15563.0
2012-11-01,1628.139,20754.0,22316.0
2012-12-01,1143.123,14571.0,15668.0
2013-01-01,2358.604,28463.0,31219.0
2013-02-01,2356.174,28434.0,31187.0
2013-03-01,4396.975,53062.0,58200.0
2013-04-01,3785.939,45688.0,50112.0
2013-05-01,2757.145,33273.0,36494.0
2013-06-01,2568.266,30993.0,33994.0
2013-07-01,6983.202,84272.0,92432.0
2013-08-01,4856.886,58612.0,64287.0
2013-09-01,2866.039,34587.0,37936.0
2013-10-01,1365.353,16477.0,18072.0
2013-11-01,1975.775,23843.0,26152.0
2013-12-01,1855.642,22394.0,24562.0
2014-01-01,4372.857,53905.0,61157.0
2014-02-01,1071.206,13205.0,14982.0
2014-03-01,1527.255,18827.0,21360.0
2014-04-01,1339.145,16508.0,18729.0
2014-05-01,4134.899,50971.0,57829.0
2014-06-01,3591.774,44276.0,50233.0
2014-07-01,2580.605,31811.0,36091.0
2014-08-01,4767.588,58771.0,66678.0
2014-09-01,2997.974,36956.0,41929.0
2014-10-01,3736.369,46059.0,52256.0
2014-11-01,2519.809,31062.0,35241.0
2014-12-01,2990.519,36864.0,41824.0
2015-01-01,2677.534,30574.0,36463.0
2015-02-01,2391.313,27306.0,32564.0
2015-03-01,2590.963,29586.0,35283.0
2015-04-01,2419.313,27626.0,32946.0
2015-05-01,1963.094,22416.0,26733.0
2015-06-01,2966.814,33878.0,40402.0
2015-07-01,4309.444,49209.0,58685.0
2015-08-01,3212.475,36683.0,43747.0
2015-09-01,3511.39,40096.0,47817.0
2015-10-01,2870.652,32780.0,39092.0
