measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed"
2019-01-01,-23.159,0.0,0.0
2019-02-01,-22.398,0.0,0.0
2019-03-01,-20.469,0.0,0.0
2019-04-01,-15.808,0.0,0.0
2019-05-01,-23.239,0.0,0.0
2019-06-01,-25.506,0.0,0.0
2019-07-01,-26.517,0.0,0.0
2019-08-01,-26.246,0.0,0.0
2019-09-01,-24.186,0.0,0.0
2019-10-01,-25.353,0.0,0.0
2019-11-01,-25.597,0.0,0.0
2019-12-01,-25.522,0.0,0.0
2020-01-01,-20.089,0.0,0.0
2020-02-01,-19.936,0.0,0.0
2020-03-01,-20.288,0.0,0.0
2020-04-01,-19.902,0.0,0.0
2020-05-01,-21.262,0.0,0.0
2020-06-01,-20.047,0.0,0.0
2020-07-01,-20.158,0.0,0.0
2020-08-01,-21.815,0.0,0.0
2020-09-01,-19.437,0.0,0.0
2020-10-01,-21.241,0.0,0.0
2020-11-01,-20.306,0.0,0.0
2020-12-01,-21.519,0.0,0.0
2021-01-01,-16.168,0.0,0.0
2021-02-01,-14.164,0.0,0.0
2021-03-01,-15.562,0.0,0.0
2021-04-01,-14.918,0.0,0.0
2021-05-01,-16.865,0.0,0.0
2021-06-01,-16.434,0.0,0.0
2021-07-01,-16.739,0.0,0.0
2021-08-01,-16.381,0.0,0.0
2021-09-01,-16.135,0.0,0.0
2021-10-01,-14.892,0.0,0.0
2021-11-01,-13.521,0.0,0.0
2021-12-01,-15.221,0.0,0.0
2022-01-01,-9.468,0.0,0.0
2022-02-01,-8.366,0.0,0.0
2022-03-01,-9.709,0.0,0.0
2022-04-01,-9.913,0.0,0.0
2022-05-01,-11.235,0.0,0.0
2022-06-01,-10.739,0.0,0.0
2022-07-01,-10.932,0.0,0.0
2022-08-01,-10.923,0.0,0.0
2022-09-01,-10.457,0.0,0.0
2022-10-01,-10.253,0.0,0.0
2022-11-01,-10.268,0.0,0.0
2022-12-01,-10.737,0.0,0.0
2023-01-01,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0
2023-04-01,-2.0,0.0,0.0
2023-05-01,-4.0,0.0,0.0
2023-06-01,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0
2023-08-01,-4.0,0.0,0.0
2023-09-01,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0
2024-01-01,-20.0,0.0,0.0
2024-02-01,-22.0,0.0,0.0
2024-03-01,-21.0,0.0,0.0
2024-04-01,-20.0,0.0,0.0
2024-05-01,-16.0,0.0,0.0
2024-06-01,-16.0,0.0,0.0
2024-07-01,-23.0,0.0,0.0
2024-08-01,-27.0,0.0,0.0
2024-09-01,-19.0,0.0,0.0
2024-10-01,-26.0,0.0,0.0
2024-11-01,-30.0,0.0,0.0
2024-12-01,-18.0,0.0,0.0
