measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,5.469,59.0,59.0,,,,92.342,1764.0,1764.0
2003-02-01,4.827,52.0,52.0,,,,81.49,1556.0,1556.0
2003-03-01,4.966,53.0,53.0,,,,83.85,1601.0,1601.0
2003-04-01,4.46,48.0,48.0,,,,75.305,1438.0,1438.0
2003-05-01,4.5520000000000005,49.0,49.0,,,,76.848,1468.0,1468.0
2003-06-01,4.827,52.0,52.0,,,,81.5,1556.0,1556.0
2003-07-01,5.583,60.0,60.0,,,,94.256,1800.0,1800.0
2003-08-01,5.9190000000000005,64.0,64.0,,,,99.93400000000001,1909.0,1909.0
2003-09-01,4.96,53.0,53.0,,,,83.742,1599.0,1599.0
2003-10-01,4.6530000000000005,50.0,50.0,,,,78.552,1500.0,1500.0
2003-11-01,4.6370000000000005,50.0,50.0,,,,78.29,1495.0,1495.0
2003-12-01,5.147,55.0,55.0,,,,86.89200000000001,1659.0,1659.0
2004-01-01,26.635,297.0,297.0,,,,258.414,4473.0,4473.0
2004-02-01,6.9430000000000005,77.0,77.0,,,,283.82300000000004,4913.0,4913.0
2004-03-01,0.955,11.0,11.0,,,,574.662,9947.0,9947.0
2004-04-01,6.819,76.0,76.0,,,,269.18100000000004,4659.0,4659.0
2004-05-01,7.246,81.0,81.0,,,,129.983,2250.0,2250.0
2004-06-01,9.668000000000001,108.0,108.0,,,,182.695,3162.0,3162.0
2004-07-01,13.796000000000001,154.0,154.0,,,,132.096,2286.0,2286.0
2004-08-01,15.419,172.0,172.0,,,,178.774,3094.0,3094.0
2004-09-01,12.201,136.0,136.0,,,,156.99200000000002,2717.0,2717.0
2004-10-01,17.314,193.0,193.0,,,,174.684,3024.0,3024.0
2004-11-01,14.827,166.0,166.0,,,,97.035,1680.0,1680.0
2004-12-01,16.178,181.0,181.0,,,,114.66,1985.0,1985.0
2005-01-01,143.656,1513.52,1513.52,,,,523.3290000000001,7438.4,7438.4
