measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed
2001-01-01,2.782,24.0,24.0,26.893,277.89,277.89
2001-02-01,2.3560000000000003,21.0,21.0,22.773,235.31,235.31
2001-03-01,2.412,21.0,21.0,23.317,240.93,240.93
2001-04-01,2.367,21.0,21.0,22.878,236.4,236.4
2001-05-01,2.402,21.0,21.0,23.224,239.97,239.97
2001-06-01,2.511,22.0,22.0,24.271,250.79,250.79
2001-07-01,2.879,25.0,25.0,27.829,287.56,287.56
2001-08-01,2.908,25.0,25.0,28.108,290.44,290.44
2001-09-01,2.27,20.0,20.0,21.942,226.73,226.73
2001-10-01,2.405,21.0,21.0,23.253,240.27,240.27
2001-11-01,2.293,20.0,20.0,22.163,229.01,229.01
2001-12-01,2.415,21.0,21.0,23.349,241.27,241.27
