measured_on,"Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2012-07-01,548.006,8775.0,8775.0
2012-08-01,543.291,8700.0,8700.0
2012-09-01,518.273,8299.0,8299.0
2012-10-01,538.701,8626.0,8626.0
2012-11-01,540.522,8655.0,8655.0
2012-12-01,559.207,8954.0,8954.0
2013-01-01,870.019,9989.0,9989.0
2013-02-01,772.041,8864.0,8864.0
2013-03-01,895.214,10278.0,10278.0
2013-04-01,858.399,9855.0,9855.0
2013-05-01,895.476,10281.0,10281.0
2013-06-01,876.574,10064.0,10064.0
2013-07-01,917.094,10529.0,10529.0
2013-08-01,918.973,10550.0,10550.0
2013-09-01,866.325,9946.0,9946.0
2013-10-01,912.155,10472.0,10472.0
2013-11-01,924.359,10613.0,10613.0
2013-12-01,962.371,11049.0,11049.0
2014-01-01,1156.388,13819.0,13819.0
2014-02-01,989.69,11828.0,11828.0
2014-03-01,1146.887,13707.0,13707.0
2014-04-01,1110.675,13274.0,13274.0
2014-05-01,1148.475,13726.0,13726.0
2014-06-01,1126.036,13457.0,13457.0
2014-07-01,1153.41,13784.0,13784.0
2014-08-01,1140.286,13628.0,13628.0
2014-09-01,1076.772,12869.0,12869.0
2014-10-01,1106.6,13225.0,13225.0
2014-11-01,1086.364,12984.0,12984.0
2014-12-01,1125.417,13450.0,13450.0
2015-01-01,771.861,9964.0,9964.0
2015-02-01,669.837,8648.0,8648.0
2015-03-01,740.554,9560.0,9560.0
2015-04-01,738.238,9530.0,9530.0
2015-05-01,762.151,9839.0,9839.0
2015-06-01,763.178,9853.0,9853.0
2015-07-01,844.747,10905.0,10905.0
2015-08-01,834.723,10776.0,10776.0
2015-09-01,772.392,9971.0,9971.0
2015-10-01,801.916,10353.0,10353.0
2015-11-01,807.611,10426.0,10426.0
2015-12-01,839.792,10841.0,10841.0
2016-01-01,1129.792,9617.0,9617.0
2016-02-01,1060.039,9023.0,9023.0
2016-03-01,1118.071,9517.0,9517.0
2016-04-01,1114.426,9486.0,9486.0
2016-05-01,1163.046,9900.0,9900.0
2016-06-01,1098.655,9352.0,9352.0
2016-07-01,1139.452,9700.0,9700.0
2016-08-01,1153.491,9819.0,9819.0
2016-09-01,1086.499,9249.0,9249.0
2016-10-01,1064.003,9057.0,9057.0
2016-11-01,1127.37,9597.0,9597.0
2016-12-01,1181.156,10054.0,10054.0
2017-01-01,895.506,10683.0,10683.0
2017-02-01,818.536,9765.0,9765.0
2017-03-01,883.801,10543.0,10543.0
2017-04-01,826.222,9856.0,9856.0
2017-05-01,869.65,10374.0,10374.0
2017-06-01,855.055,10200.0,10200.0
2017-07-01,876.545,10457.0,10457.0
2017-08-01,880.631,10505.0,10505.0
2017-09-01,814.763,9719.0,9719.0
2017-10-01,834.065,9950.0,9950.0
2017-11-01,868.569,10361.0,10361.0
2017-12-01,903.657,10780.0,10780.0
2018-01-01,506.296,7305.0,7305.0
2018-02-01,476.544,6875.0,6875.0
2018-03-01,514.33,7420.0,7420.0
2018-04-01,480.54,6933.0,6933.0
2018-05-01,483.451,6975.0,6975.0
2018-06-01,489.654,7064.0,7064.0
2018-07-01,503.848,7269.0,7269.0
2018-08-01,505.88,7298.0,7298.0
2018-09-01,457.491,6600.0,6600.0
2018-10-01,500.263,7217.0,7217.0
2018-11-01,496.881,7169.0,7169.0
2018-12-01,519.822,7500.0,7500.0
2019-01-01,828.896,7613.0,7613.0
2019-02-01,746.393,6856.0,6856.0
2019-03-01,802.265,7369.0,7369.0
2019-04-01,756.675,6950.0,6950.0
2019-05-01,782.395,7186.0,7186.0
2019-06-01,789.295,7249.0,7249.0
2019-07-01,812.995,7467.0,7467.0
2019-08-01,825.11,7579.0,7579.0
2019-09-01,774.171,7111.0,7111.0
2019-10-01,795.026,7302.0,7302.0
2019-11-01,781.965,7182.0,7182.0
2019-12-01,830.814,7631.0,7631.0
2020-01-01,735.983,11711.0,11711.0
2020-02-01,673.711,10720.0,10720.0
2020-03-01,741.205,11794.0,11794.0
2020-04-01,696.997,11090.0,11090.0
2020-05-01,718.539,11433.0,11433.0
2020-06-01,658.713,10481.0,10481.0
2020-07-01,706.889,11248.0,11248.0
2020-08-01,715.808,11390.0,11390.0
2020-09-01,672.127,10695.0,10695.0
2020-10-01,680.723,10831.0,10831.0
2020-11-01,667.29,10618.0,10618.0
2020-12-01,711.015,11313.0,11313.0
2021-01-01,850.277,10187.0,10187.0
2021-02-01,747.765,8959.0,8959.0
2021-03-01,849.711,10180.0,10180.0
2021-04-01,795.539,9531.0,9531.0
2021-05-01,816.518,9783.0,9783.0
2021-06-01,787.609,9436.0,9436.0
2021-07-01,806.724,9665.0,9665.0
2021-08-01,798.914,9572.0,9572.0
2021-09-01,780.54,9352.0,9352.0
2021-10-01,784.178,9395.0,9395.0
2021-11-01,755.608,9053.0,9053.0
2021-12-01,840.617,10071.0,10071.0
2022-01-01,1018.819,13233.0,13233.0
2022-02-01,928.408,12059.0,12059.0
2022-03-01,1019.904,13247.0,13247.0
2022-04-01,960.73,12479.0,12479.0
2022-05-01,968.531,12580.0,12580.0
2022-06-01,977.785,12700.0,12700.0
2022-07-01,1006.7,13076.0,13076.0
2022-08-01,990.039,12859.0,12859.0
2022-09-01,932.084,12106.0,12106.0
