measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed
2001-01-01,1093025.0,9955167.0,9955167.0,834.0,10820.0,10820.0
2001-02-01,484936.0,4465125.0,4465125.0,-70.0,0.0,0.0
2001-03-01,1038195.0,9597986.0,9597986.0,968.0,7231.0,7231.0
2001-04-01,1170133.0,10452300.0,10452300.0,234.0,3077.0,3077.0
2001-05-01,1076504.0,9717742.0,9717742.0,658.0,4805.0,4805.0
2001-06-01,1108822.0,10164299.0,10164299.0,245.0,2903.0,2903.0
2001-07-01,1170118.0,10903701.0,10903701.0,120.0,1367.0,1367.0
2001-08-01,1207361.0,11210803.0,11210803.0,483.0,4840.0,4840.0
2001-09-01,966751.0,9061407.0,9061407.0,633.0,7504.0,7504.0
2001-10-01,807348.0,7328039.0,7328039.0,634.0,4654.0,4654.0
2001-11-01,429837.0,4055928.0,4055928.0,1505.0,11483.0,11483.0
2001-12-01,800197.0,7555801.0,7555801.0,1117.0,8522.0,8522.0
2002-01-01,590960.0,5279900.0,5279900.0,3976.0,34052.0,34052.0
2002-02-01,576374.0,5381800.0,5381800.0,2048.0,16518.0,16518.0
2002-03-01,1210262.0,11025745.0,11025745.0,1104.0,14952.0,14952.0
2002-04-01,1092514.0,9961016.0,9961016.0,1840.0,20056.0,20056.0
2002-05-01,709492.0,6549258.0,6549258.0,2910.0,23572.0,23572.0
2002-06-01,1100186.0,10255634.0,10255634.0,-30.0,394.0,394.0
2002-07-01,1087755.0,10133752.0,10133752.0,3714.0,37560.0,37560.0
2002-08-01,1078208.0,10012837.0,10012837.0,2940.0,37584.0,37584.0
2002-09-01,1104134.0,10183785.0,10183785.0,546.0,5834.0,5834.0
2002-10-01,934469.0,8562324.0,8562324.0,210.0,3504.0,3504.0
2002-11-01,596612.0,5616731.0,5616731.0,1648.0,16936.0,16936.0
2002-12-01,1106169.0,10187049.0,10187049.0,-134.0,336.0,336.0
2003-01-01,939826.0,8600962.0,8600962.0,902.0,11173.5,11173.5
2003-02-01,534622.0,5061252.0,5061252.0,308.0,3349.5,3349.5
2003-03-01,1145008.0,10509979.0,10509979.0,325.5,3225.5,3225.5
2003-04-01,1125493.0,10302436.0,10302436.0,270.5,2774.5,2774.5
2003-05-01,1104416.0,9970411.0,9970411.0,321.5,3173.0,3173.0
2003-06-01,1086538.0,10084291.0,10084291.0,260.0,2600.0,2600.0
2003-07-01,1199942.0,11032812.0,11032812.0,-5.0,154.0,154.0
2003-08-01,1219127.0,11310955.0,11310955.0,5.0,241.5,241.5
2003-09-01,1171355.0,10754549.0,10754549.0,24.5,421.5,421.5
2003-10-01,985642.0,8958927.0,8958927.0,666.5,6250.5,6250.5
2003-11-01,562996.0,5198943.0,5198943.0,-26.0,55.5,55.5
2003-12-01,1026438.0,9499470.0,9499470.0,644.5,6419.0,6419.0
2004-01-01,1118271.0,10198491.0,10198491.0,82.0,1186.5,1186.5
2004-02-01,1065066.0,9616188.0,9616188.0,9.5,494.5,494.5
2004-03-01,555963.0,5132361.0,5132361.0,11.5,477.0,477.0
2004-04-01,926255.0,8595044.0,8595044.0,385.5,4165.0,4165.0
2004-05-01,1204893.0,11099645.0,11099645.0,-10.5,116.5,116.5
2004-06-01,1102852.0,10185799.0,10185799.0,140.0,1649.0,1649.0
2004-07-01,1191940.0,11099819.0,11099819.0,21.5,503.0,503.0
2004-08-01,1145053.0,10660044.0,10660044.0,21.0,578.5,578.5
2004-09-01,1100486.0,10261928.0,10261928.0,-1.0,317.0,317.0
2004-10-01,1000833.0,9263576.0,9263576.0,96.5,1317.5,1317.5
2004-11-01,974234.0,9055770.0,9055770.0,-16.5,78.5,78.5
2004-12-01,945355.0,8904650.0,8904650.0,67.0,1092.0,1092.0
2005-01-01,489874.0,4556398.56,4556398.56,4.5,447.90999999999997,447.90999999999997
2005-02-01,838620.0,7886684.35,7886684.35,646.0,6526.675,6526.675
2005-03-01,1161856.0,10741442.81,10741442.81,18.0,532.26,532.26
2005-04-01,1091838.0,10068277.96,10068277.96,10.5,415.91499999999996,415.91499999999996
2005-05-01,1191867.0,10932472.4,10932472.4,117.5,1407.715,1407.715
2005-06-01,1173982.0,10955956.62,10955956.62,34.0,424.64500000000004,424.64500000000004
2005-07-01,1222766.0,11517997.83,11517997.83,92.0,1079.055,1079.055
2005-08-01,1180289.0,11180911.64,11180911.64,313.5,3309.8700000000003,3309.8700000000003
2005-09-01,1179677.0,11013094.61,11013094.61,8.5,392.65,392.65
2005-10-01,1165596.0,10831478.62,10831478.62,108.5,1544.415,1544.415
2005-11-01,1147715.0,10713976.11,10713976.11,4.0,119.25,119.25
2005-12-01,1079102.0,10218017.0,10218017.0,1309.0,15036.945,15036.945
2006-01-01,642541.0,5936131.0,5936131.0,52.5,852.0,852.0
2006-02-01,622841.0,6046681.0,6046681.0,757.0,7791.5,7791.5
2006-03-01,1108624.0,10209378.0,10209378.0,330.5,3423.0,3423.0
2006-04-01,917173.0,8558114.0,8558114.0,709.0,7035.5,7035.5
2006-05-01,1197419.0,11186937.0,11186937.0,12.0,433.5,433.5
2006-06-01,1189624.0,11133703.0,11133703.0,-14.5,75.5,75.5
2006-07-01,1235643.0,11595336.0,11595336.0,-10.0,276.0,276.0
2006-08-01,1229289.0,11567029.0,11567029.0,110.5,1340.5,1340.5
2006-09-01,1170057.0,10973244.0,10973244.0,22.5,549.5,549.5
2006-10-01,1119407.0,10516431.0,10516431.0,4.5,390.0,390.0
2006-11-01,1066296.0,10021176.0,10021176.0,143.5,1759.5,1759.5
2006-12-01,1114074.0,10475736.0,10475736.0,31.5,741.5,741.5
2007-01-01,654956.66,6082477.0,6082477.0,44.67,837.5,837.5
2007-02-01,541605.001,5151962.0,5151962.0,18.4995,568.5,568.5
2007-03-01,1044615.547,9722861.0,9722861.0,551.7265,5474.0,5474.0
2007-04-01,1117155.989,10545892.0,10545892.0,315.00550000000004,3292.5,3292.5
2007-05-01,1218306.714,11443731.0,11443731.0,130.143,1576.5,1576.5
2007-06-01,1176716.877,11012057.0,11012057.0,127.56150000000001,1620.0,1620.0
2007-07-01,1231170.738,11671455.0,11671455.0,123.131,1483.5,1483.5
2007-08-01,1258723.152,11821493.0,11821493.0,33.924,672.0,672.0
2007-09-01,1210846.734,11469060.0,11469060.0,5.133000000000001,363.5,363.5
2007-10-01,1217346.903,11422536.0,11422536.0,264.0485,3880.0,3880.0
2007-11-01,1162887.265,11038604.0,11038604.0,-5.1325,212.5,212.5
2007-12-01,1065401.306,9948308.0,9948308.0,93.84700000000001,1175.5,1175.5
2008-01-01,584858.164,5644415.0,5644415.0,26.918,954.0,954.0
2008-02-01,965174.24,9390389.0,9390389.0,665.38,6913.5,6913.5
2008-03-01,1128429.338,10725004.0,10725004.0,14.831,538.0,538.0
2008-04-01,1043326.452,9997052.0,9997052.0,118.274,1448.5,1448.5
2008-05-01,1096818.238,10524567.0,10524567.0,14.381,485.5,485.5
2008-06-01,1096362.212,10524256.0,10524256.0,121.394,1486.5,1486.5
2008-07-01,1136663.056,10958797.0,10958797.0,12.472000000000001,448.0,448.0
2008-08-01,1078201.299,10400534.0,10400534.0,31.8505,634.0,634.0
2008-09-01,1055315.394,10023995.0,10023995.0,82.80300000000001,986.0,986.0
2008-10-01,935876.398,8751133.0,8751133.0,275.301,2981.0,2981.0
2008-11-01,1076724.99,10113578.0,10113578.0,78.005,1323.0,1323.0
2008-12-01,877611.539,8331373.0,8331373.0,212.2305,2295.0,2295.0
2009-01-01,556364.375,5132394.0,5132394.0,36.3125,715.5,715.5
2009-02-01,664963.141,6447591.0,6447591.0,578.9295000000001,5991.5,5991.5
2009-03-01,410187.567,4066604.0,4066604.0,270.7165,3048.0,3048.0
2009-04-01,432145.465,4365063.0,4365063.0,375.7675,4165.0,4165.0
2009-05-01,616556.708,6097397.0,6097397.0,13.146,404.5,404.5
2009-06-01,908351.652,8903272.0,8903272.0,263.67400000000004,2911.5,2911.5
2009-07-01,921781.147,8988297.0,8988297.0,137.9265,1678.5,1678.5
2009-08-01,780419.243,7683768.0,7683768.0,171.8785,2141.0,2141.0
2009-09-01,435830.851,4336889.0,4336889.0,12.0745,416.0,416.0
2009-10-01,535292.279,5306648.0,5306648.0,425.8605,4415.0,4415.0
2009-11-01,191970.168,1935230.0,1935230.0,570.916,6099.0,6099.0
2009-12-01,772097.665,7821221.0,7821221.0,431.6675,4773.0,4773.0
2010-01-01,785047.222,7586173.0,7586173.0,561.389,5892.5,5892.5
2010-02-01,564554.435,5736249.0,5736249.0,345.7825,4002.5,4002.5
2010-03-01,742270.234,7156310.0,7156310.0,21.383000000000003,611.0,611.0
2010-04-01,630389.356,6372422.0,6372422.0,346.322,4057.0,4057.0
2010-05-01,867756.764,8744103.0,8744103.0,0.11800000000000033,331.5,331.5
2010-06-01,954489.515,9563275.0,9563275.0,132.2425,1628.5,1628.5
2010-07-01,996819.404,9910111.0,9910111.0,13.298,471.0,471.0
2010-08-01,942345.65,9370296.0,9370296.0,23.174999999999997,555.5,555.5
2010-09-01,783699.621,7833553.0,7833553.0,137.1895,1617.0,1617.0
2010-10-01,513715.892,5066970.0,5066970.0,636.0540000000001,6273.5,6273.5
2010-11-01,384663.751,4034448.0,4034448.0,882.1245,9258.0,9258.0
2010-12-01,844980.671,8542477.0,8542477.0,312.66450000000003,3388.5,3388.5
2011-01-01,889660.0,8867686.0,8867686.0,250.502,3298.5,3298.5
2011-02-01,446851.6,4374371.0,4374371.0,155.701,1911.0,1911.0
2011-03-01,422323.66,4571492.0,4571492.0,1050.6695,11773.5,11773.5
2011-04-01,715720.58,7188255.0,7188255.0,110.7085,1480.5,1480.5
2011-05-01,927846.53,9145645.0,9145645.0,128.7335,1614.5,1614.5
2011-06-01,1010933.2,9872561.0,9872561.0,88.4085,1119.5,1119.5
2011-07-01,1025152.4,10123691.0,10123691.0,488.791,5156.5,5156.5
2011-08-01,943492.83,9316315.0,9316315.0,15.086500000000001,439.0,439.0
2011-09-01,654730.38,6343856.0,6343856.0,163.311,1911.0,1911.0
2011-10-01,71775.242,720192.0,720192.0,678.879,7201.5,7201.5
2011-11-01,9807.241,263664.0,263664.0,364.8795,11064.0,11064.0
2011-12-01,597301.93,6062180.0,6062180.0,399.0345,4476.0,4476.0
2012-01-01,267066.64,2680811.0,2680811.0,893.1805,9447.0,9447.0
2012-02-01,340098.08,3487877.0,3487877.0,424.961,4900.5,4900.5
