measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,10.003,118.0,118.0,0.0,0.0,0.0
2003-02-01,8.69,102.0,102.0,0.0,0.0,0.0
2003-03-01,7.789000000000001,92.0,92.0,0.0,0.0,0.0
2003-04-01,6.7860000000000005,80.0,80.0,0.0,0.0,0.0
2003-05-01,7.514,88.0,88.0,0.0,0.0,0.0
2003-06-01,7.828,92.0,92.0,0.0,0.0,0.0
2003-07-01,10.689,126.0,126.0,0.0,0.0,0.0
2003-08-01,10.47,123.0,123.0,0.0,0.0,0.0
2003-09-01,8.749,103.0,103.0,0.0,0.0,0.0
2003-10-01,8.379,99.0,99.0,0.0,0.0,0.0
2003-11-01,9.22,108.0,108.0,0.0,0.0,0.0
2003-12-01,9.883000000000001,116.0,116.0,0.0,0.0,0.0
2004-01-01,9.628,144.0,144.0,4.571000000000001,56.0,56.0
2004-02-01,5.508,82.0,82.0,4.543,56.0,56.0
2004-03-01,3.3890000000000002,51.0,51.0,5.199,64.0,64.0
2004-04-01,2.303,34.0,34.0,5.048,62.0,62.0
2004-05-01,2.341,35.0,35.0,5.606,69.0,69.0
2004-06-01,2.2110000000000003,33.0,33.0,5.7010000000000005,70.0,70.0
2004-07-01,2.52,38.0,38.0,6.0120000000000005,74.0,74.0
2004-08-01,3.238,48.0,48.0,5.571000000000001,68.0,68.0
2004-09-01,3.3030000000000004,49.0,49.0,5.225,64.0,64.0
2004-10-01,3.246,48.0,48.0,5.204000000000001,64.0,64.0
2004-11-01,2.963,44.0,44.0,4.742,58.0,58.0
2004-12-01,6.35,95.0,95.0,4.579000000000001,56.0,56.0
2005-01-01,3.063,57.74,57.74,13.115,162.69,162.69
2005-02-01,1.052,19.84,19.84,10.492,130.15,130.15
2005-03-01,1.1660000000000001,21.99,21.99,14.56,180.61,180.61
2005-04-01,1.413,26.63,26.63,13.821000000000002,171.44,171.44
2005-05-01,1.312,24.74,24.74,13.216000000000001,163.94,163.94
2005-06-01,1.703,32.1,32.1,24.948,309.47,309.47
2005-07-01,1.734,32.68,32.68,32.843,407.4,407.4
2005-08-01,2.036,38.39,38.39,32.626000000000005,404.71,404.71
2005-09-01,1.333,25.13,25.13,19.753,245.03,245.03
2005-10-01,1.48,27.9,27.9,14.006,173.74,173.74
2005-11-01,1.19,22.43,22.43,12.275,152.27,152.27
2005-12-01,2.516,47.44,47.44,15.345,190.35,190.35
2006-01-01,5.054,94.0,94.0,2.701,33.0,33.0
2006-02-01,2.644,49.0,49.0,3.053,37.0,37.0
2006-03-01,2.221,41.0,41.0,4.024,49.0,49.0
2006-04-01,4.255,79.0,79.0,3.33,41.0,41.0
2006-05-01,3.9770000000000003,74.0,74.0,4.386,53.0,53.0
2006-06-01,3.615,67.0,67.0,5.65,69.0,69.0
2006-07-01,5.237,97.0,97.0,10.11,123.0,123.0
2006-08-01,5.079000000000001,95.0,95.0,8.984,109.0,109.0
2006-09-01,2.334,43.0,43.0,5.284000000000001,64.0,64.0
2006-10-01,2.465,46.0,46.0,5.724,70.0,70.0
2006-11-01,2.903,54.0,54.0,3.8480000000000003,47.0,47.0
2006-12-01,3.216,60.0,60.0,3.906,48.0,48.0
2007-01-01,3.152,24.0,24.0,11.371,80.0,80.0
2007-02-01,1.457,12.0,12.0,8.866,63.0,63.0
2007-03-01,0.28600000000000003,0.0,0.0,3.7840000000000003,27.0,27.0
