measured_on,Bituminous Coal-Combined Cycle Combustion Turbine Part Generation,Bituminous Coal-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Bituminous Coal-Combined Cycle Combustion Turbine Part Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Petroleum Coke-Combined Cycle Combustion Turbine Part Generation,Petroleum Coke-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Petroleum Coke-Combined Cycle Combustion Turbine Part Total Fuel Consumed,"Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Waste Coal-Combined Cycle Combustion Turbine Part Generation,Waste Coal-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Waste Coal-Combined Cycle Combustion Turbine Part Total Fuel Consumed,"Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,642.0,5673.0,9785.0,,,,15023.0,132719.0,228925.0,177.0,1560.0,2691.0,,,,20136.0,177886.0,306834.0
2003-02-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,455.0,6555.0,9383.0,,,,13419.0,193315.0,276725.0,0.0,0.0,0.0,,,,18451.0,265804.0,380491.0
2003-03-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,591.0,8089.0,10815.0,,,,13950.0,190913.0,255275.0,0.0,0.0,0.0,,,,18824.0,257609.0,344458.0
2003-04-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,901.7220000000001,8554.0,18432.0,,,,9853.638,93506.0,201475.0,0.0,0.0,0.0,,,,6641.435,63023.0,135795.0
2003-05-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,1019.839,9893.0,16995.0,,,,12674.039,122946.0,211225.0,0.0,0.0,0.0,,,,19885.892,192916.0,331435.0
2003-06-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,881.555,7990.0,14049.0,,,,15184.264,137573.0,241875.0,0.0,0.0,0.0,,,,18092.052,163923.0,288204.0
2003-07-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,279.447,2473.0,4470.0,,,,15945.782,141147.0,255193.0,0.0,0.0,0.0,,,,19267.459000000003,170554.0,308360.0
2003-08-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,221.829,1447.0,3296.0,,,,15944.821,103959.0,236682.0,0.0,0.0,0.0,,,,16906.082000000002,110223.0,250942.0
2003-09-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,561.7760000000001,5889.0,9631.0,,,,15000.846000000001,157317.0,257272.0,263.122,2762.0,4517.0,,,,20510.087,215089.0,351752.0
2003-10-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,236.234,3168.0,4295.0,,,,14291.185000000001,191920.0,260267.0,322.661,4333.0,5875.0,,,,18900.625,253812.0,344201.0
2003-11-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,1070.0,9585.0,16347.0,,,,12068.0,108057.0,184297.0,348.0,3118.0,5318.0,,,,15631.0,139967.0,238720.0
2003-12-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,523.0,5552.0,8395.0,,,,14825.0,157498.0,238109.0,327.0,3476.0,5256.0,,,,19533.0,207525.0,313741.0
2004-01-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,523.91858,3580.71,7725.0,,,,16958.34785,115901.46,250045.03,295.77968,2021.5,4361.17,,,,17978.72489,122875.2,265090.14
2004-02-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,438.66852,2998.07,6494.15,,,,10688.49447,73050.29,158234.94,205.32914,1403.32,3039.74,,,,7382.79488,50457.55,109296.6
2004-03-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,2107.1647000000003,14401.37,21517.73,,,,15301.23365,104575.95,156251.58,377.91951,2582.88,3859.2,,,,18056.87913,123409.35,184391.4
