measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2002-01-01,,,,4965.026,91019.0,91019.0
2002-02-01,,,,4331.071,79398.0,79398.0
2002-03-01,,,,5502.465,100872.0,100872.0
2002-04-01,,,,4437.747,81353.0,81353.0
2002-05-01,,,,4601.33,84352.0,84352.0
2002-06-01,,,,5973.106000000001,109499.0,109499.0
2002-07-01,,,,7211.945000000001,132210.0,132210.0
2002-08-01,,,,6866.106000000001,125870.0,125870.0
2002-09-01,,,,6189.9580000000005,113475.0,113475.0
2002-10-01,,,,5246.915,96187.0,96187.0
2002-11-01,,,,4833.0960000000005,88601.0,88601.0
2002-12-01,,,,5300.235000000001,97164.0,97164.0
2003-01-01,0.0,0.0,0.0,,,
2003-02-01,0.0,0.0,0.0,,,
2003-03-01,0.0,0.0,0.0,,,
2003-04-01,0.0,0.0,0.0,,,
2003-05-01,0.0,0.0,0.0,,,
2003-06-01,0.0,0.0,0.0,,,
2003-07-01,0.0,0.0,0.0,,,
2003-08-01,0.0,0.0,0.0,,,
2003-09-01,0.0,0.0,0.0,,,
2003-10-01,0.0,0.0,0.0,,,
2003-11-01,0.0,0.0,0.0,,,
2003-12-01,0.0,0.0,0.0,,,
2004-01-01,,,,5576.77,76771.99,110526.56
2004-02-01,,,,4943.513,68054.33,97976.0
2004-03-01,,,,5234.169,72055.62,103736.48
2004-04-01,,,,4860.4,66910.16,96328.8
2004-05-01,,,,4618.058,63573.99,91525.76
2004-06-01,,,,5505.4580000000005,75790.29,109113.28
2004-07-01,,,,5820.467000000001,80126.82,115356.48
2004-08-01,,,,5750.157,79158.91,113962.88
2004-09-01,,,,5473.18,75345.93,108473.6
2004-10-01,,,,5514.973,75921.27,109301.76
2004-11-01,,,,4758.814,65511.7,94315.36
2004-12-01,,,,5462.552000000001,75199.63,108262.88
2005-01-01,,,,5453.625,54150.4,54150.4
2005-02-01,,,,4908.091,48733.68,48733.68
2005-03-01,,,,5239.456,52023.85,52023.85
2005-04-01,,,,5160.1320000000005,51236.28,51236.28
2005-05-01,,,,5168.034000000001,51314.72,51314.72
2005-06-01,,,,5351.253000000001,53133.92,53133.92
2005-07-01,,,,5577.131,55376.72,55376.72
2005-08-01,,,,5507.808,54688.41,54688.41
2005-09-01,,,,5314.867,52772.61,52772.61
2005-10-01,,,,5424.5960000000005,53862.2,53862.2
2005-11-01,,,,5256.137000000001,52189.47,52189.47
2005-12-01,,,,5352.351000000001,53144.83,53144.83
2006-01-01,,,,4547.347000000001,62600.56,99561.01
2006-02-01,,,,3939.299,54229.93,86248.14
2006-03-01,,,,4185.818,57623.62,91645.64
2006-04-01,,,,4184.353,57603.44,91613.51
2006-05-01,,,,4156.242,57216.46,90997.94
2006-06-01,,,,4265.094,58714.95,93381.17
2006-07-01,,,,4642.668000000001,63912.79,101647.93
2006-08-01,,,,4552.249,62668.04,99668.28
2006-09-01,,,,4382.9310000000005,60337.15,95961.26
2006-10-01,,,,4179.25,57533.19,91501.82
2006-11-01,,,,4156.564,57220.88,91005.08
2006-12-01,,,,4455.8330000000005,61340.75,97557.39
2007-01-01,,,,4867.53,68096.0,100064.0
2007-02-01,,,,4196.229,58704.0,86256.0
2007-03-01,,,,3925.2780000000002,54912.0,80688.0
2007-04-01,,,,3719.511,52032.0,76464.0
2007-05-01,,,,3215.89,44992.0,66112.0
2007-06-01,,,,4690.283,65616.0,96416.0
2007-07-01,,,,4900.555,68560.0,100736.0
2007-08-01,,,,4874.979,68208.0,100224.0
2007-09-01,,,,4651.363,65072.0,95616.0
2007-10-01,,,,4675.673,65408.0,96112.0
2007-11-01,,,,4370.4130000000005,61152.0,89840.0
2007-12-01,,,,4059.2960000000003,56784.0,83456.0
2008-01-01,,,,2874.0620000000004,42022.0,64928.0
2008-02-01,,,,2708.8050000000003,39606.0,61184.0
2008-03-01,,,,3011.6040000000003,44033.0,68032.0
2008-04-01,,,,2623.26,38355.0,59248.0
2008-05-01,,,,2512.732,36739.0,56752.0
2008-06-01,,,,3134.7090000000003,45833.0,70816.0
2008-07-01,,,,3505.646,51257.0,79184.0
2008-08-01,,,,3498.0510000000004,51146.0,79024.0
2008-09-01,,,,3360.1220000000003,49129.0,75904.0
2008-10-01,,,,2860.473,41824.0,64608.0
2008-11-01,,,,3054.2870000000003,44657.0,68992.0
2008-12-01,,,,3382.2490000000003,49453.0,76400.0
2009-01-01,,,,4379.052000000001,61915.0,104736.0
2009-02-01,,,,3978.337,56249.0,95136.0
2009-03-01,,,,3982.0860000000002,56302.0,95232.0
2009-04-01,,,,3632.742,51363.0,86880.0
2009-05-01,,,,3005.654,42496.0,71872.0
2009-06-01,,,,4147.143,58636.0,99168.0
2009-07-01,,,,4571.227,64632.0,109312.0
2009-08-01,,,,4499.285,63614.0,107600.0
2009-09-01,,,,4054.059,57320.0,96944.0
2009-10-01,,,,3738.581,52859.0,89408.0
2009-11-01,,,,3850.713,54444.0,92080.0
2009-12-01,,,,4311.121,60954.0,103088.0
2010-01-01,,,,4266.066,60973.0,106800.0
2010-02-01,,,,4086.1960000000004,58402.0,102288.0
2010-03-01,,,,4125.2390000000005,58960.0,103264.0
2010-04-01,,,,3469.967,49594.0,86864.0
2010-05-01,,,,3214.034,45936.0,80448.0
2010-06-01,,,,4422.289,63205.0,110704.0
2010-07-01,,,,4721.511,67482.0,118192.0
2010-08-01,,,,4697.253000000001,67135.0,117584.0
2010-09-01,,,,4496.041,64259.0,112544.0
2010-10-01,,,,4057.672,57994.0,101568.0
2010-11-01,,,,3767.661,53849.0,94320.0
2010-12-01,,,,3963.0710000000004,56642.0,99200.0
2011-01-01,,,,4409.106,63176.0,111312.0
2011-02-01,,,,4017.378,57563.0,101440.0
2011-03-01,,,,4076.66,58412.0,102928.0
2011-04-01,,,,3432.117,49177.0,86656.0
2011-05-01,,,,3548.652,50847.0,89600.0
2011-06-01,,,,4465.507,63984.0,112752.0
2011-07-01,,,,4984.45,71420.0,125856.0
2011-08-01,,,,4754.414,68124.0,120048.0
2011-09-01,,,,4674.896,66984.0,118032.0
2011-10-01,,,,4579.948,65624.0,115632.0
2011-11-01,,,,4493.208,64381.0,113440.0
2011-12-01,,,,5094.664,72999.0,128640.0
2012-01-01,,,,4730.662,68167.0,109904.0
2012-02-01,,,,4534.463,65340.0,105328.0
2012-03-01,,,,4733.829,68213.0,109968.0
2012-04-01,,,,3538.496,50989.0,82192.0
2012-05-01,,,,4115.732,59306.0,95616.0
2012-06-01,,,,4641.327,66880.0,107824.0
2012-07-01,,,,5196.858,74885.0,120720.0
2012-08-01,,,,5003.946,72105.0,116240.0
2012-09-01,,,,4830.472,69606.0,112208.0
2012-10-01,,,,4548.889,65548.0,105664.0
2012-11-01,,,,4103.658,59132.0,95328.0
2012-12-01,,,,4709.668,67865.0,109408.0
2013-01-01,,,,4210.801,60911.0,105296.0
2013-02-01,,,,3471.707,50220.0,86800.0
2013-03-01,,,,3998.595,57842.0,99968.0
2013-04-01,,,,3286.166,47536.0,82160.0
2013-05-01,,,,3852.469,55728.0,96320.0
2013-06-01,,,,4287.405,62020.0,107200.0
2013-07-01,,,,4667.774,67522.0,116704.0
2013-08-01,,,,4458.408,64493.0,111472.0
2013-09-01,,,,4357.461,63033.0,108944.0
2013-10-01,,,,4307.429,62309.0,107696.0
2013-11-01,,,,4294.412,62121.0,107376.0
2013-12-01,,,,4312.373,62381.0,107824.0
2014-01-01,,,,261.024,4211.0,7040.0
2014-02-01,,,,198.793,3207.0,5360.0
2014-03-01,,,,279.889,4515.0,7536.0
2014-04-01,,,,239.476,3863.0,6448.0
2014-05-01,,,,223.293,3602.0,6016.0
2014-06-01,,,,298.319,4812.0,8048.0
2014-07-01,,,,306.206,4940.0,8256.0
