measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,12.389000000000001,221.0,221.0
2003-02-01,9.851,176.0,176.0
2003-03-01,8.735,156.0,156.0
2003-04-01,8.789,157.0,157.0
2003-05-01,7.329000000000001,131.0,131.0
2003-06-01,9.332,166.0,166.0
2003-07-01,11.178,199.0,199.0
2003-08-01,11.523,206.0,206.0
2003-09-01,9.649000000000001,172.0,172.0
2003-10-01,8.704,155.0,155.0
2003-11-01,9.519,170.0,170.0
2003-12-01,11.0,196.0,196.0
2004-01-01,1.26,23.0,23.0
2004-02-01,1.26,23.0,23.0
2004-03-01,5.46,98.0,98.0
2004-04-01,4.2,75.0,75.0
2004-05-01,5.88,106.0,106.0
2004-06-01,5.46,98.0,98.0
2004-07-01,16.38,294.0,294.0
2004-08-01,10.5,189.0,189.0
2004-09-01,5.88,106.0,106.0
2004-10-01,4.62,83.0,83.0
2004-11-01,0.42,8.0,8.0
2004-12-01,1.68,30.0,30.0
2005-01-01,29.864,595.14,595.14
2005-02-01,10.26,204.47,204.47
2005-03-01,11.372,226.64,226.64
2005-04-01,13.775,274.51,274.51
2005-05-01,12.794,254.96,254.96
2005-06-01,16.605,330.91,330.91
2005-07-01,16.902,336.82,336.82
2005-08-01,19.856,395.69,395.69
2005-09-01,12.998000000000001,259.02,259.02
2005-10-01,14.434000000000001,287.65,287.65
2005-11-01,11.604000000000001,231.24,231.24
2005-12-01,24.536,488.96,488.96
2006-01-01,-6.699000000000001,169.0,169.0
2006-02-01,-3.505,88.0,88.0
2006-03-01,-2.944,74.0,74.0
2006-04-01,-5.64,142.0,142.0
2006-05-01,-5.272,133.0,133.0
2006-06-01,-4.792,121.0,121.0
2006-07-01,-6.942,175.0,175.0
2006-08-01,-6.7330000000000005,170.0,170.0
2006-09-01,-3.093,78.0,78.0
2006-10-01,-3.2680000000000002,82.0,82.0
2006-11-01,-3.8480000000000003,97.0,97.0
2006-12-01,-4.263,108.0,108.0
2007-01-01,10.888,139.0,139.0
2007-02-01,67.001,870.0,870.0
2007-03-01,16.064,209.0,209.0
2007-04-01,6.115,81.0,81.0
2007-05-01,4.765,64.0,64.0
2007-06-01,14.299000000000001,186.0,186.0
2007-07-01,7.531000000000001,99.0,99.0
2007-08-01,22.091,290.0,290.0
2007-09-01,10.037,133.0,133.0
2007-10-01,4.9590000000000005,64.0,64.0
2007-11-01,3.084,41.0,41.0
2007-12-01,10.546000000000001,139.0,139.0
2008-01-01,21.487000000000002,133.0,133.0
2008-02-01,19.699,128.0,128.0
2008-03-01,4.538,29.0,29.0
2008-04-01,2.4410000000000003,17.0,17.0
2008-05-01,7.604,46.0,46.0
2008-06-01,22.951,145.0,145.0
2008-07-01,21.863,139.0,139.0
2008-08-01,5.798,35.0,35.0
2008-09-01,8.42,52.0,52.0
2008-10-01,4.245,29.0,29.0
2008-11-01,4.761,29.0,29.0
2008-12-01,13.393,87.0,87.0
2009-01-01,30.036,429.0,429.0
2009-02-01,4.945,70.0,70.0
2009-03-01,17.524,249.0,249.0
2009-04-01,1.8110000000000002,23.0,23.0
2009-05-01,2.415,35.0,35.0
2009-06-01,3.043,41.0,41.0
2009-07-01,4.13,58.0,58.0
2009-08-01,2.992,41.0,41.0
2009-09-01,2.281,35.0,35.0
2009-10-01,3.765,52.0,52.0
2009-11-01,2.636,35.0,35.0
2009-12-01,3.802,52.0,52.0
2010-01-01,13.992,182.0,182.0
2010-02-01,12.962,171.0,171.0
2010-03-01,4.965,65.0,65.0
2010-04-01,4.7,65.0,65.0
2010-05-01,10.685,141.0,141.0
2010-06-01,17.518,229.0,229.0
2010-07-01,38.979,517.0,517.0
2010-08-01,26.087,347.0,347.0
2010-09-01,18.839000000000002,247.0,247.0
2010-10-01,10.777000000000001,141.0,141.0
2010-11-01,4.461,59.0,59.0
2010-12-01,30.075000000000003,400.0,400.0
2011-01-01,16.954,168.0,168.0
2011-02-01,7.902,81.0,81.0
2011-03-01,4.657,46.0,46.0
2011-04-01,6.903,70.0,70.0
2011-05-01,10.552,104.0,104.0
2011-06-01,27.229,273.0,273.0
2011-07-01,40.526,406.0,406.0
2011-08-01,10.58,104.0,104.0
2011-09-01,10.268,104.0,104.0
2011-10-01,5.756,58.0,58.0
2011-11-01,6.974,70.0,70.0
2011-12-01,16.699,168.0,168.0
2012-01-01,5.91,64.0,64.0
2012-02-01,3.257,35.0,35.0
2012-03-01,13.213,145.0,145.0
2012-04-01,4.534,52.0,52.0
2012-05-01,7.652,87.0,87.0
2012-06-01,16.37,180.0,180.0
2012-07-01,17.876,197.0,197.0
2012-08-01,10.403,116.0,116.0
2012-09-01,4.787,52.0,52.0
2012-10-01,5.186,58.0,58.0
2012-11-01,4.74,52.0,52.0
2012-12-01,5.072,58.0,58.0
2013-01-01,10.799,122.0,122.0
2013-02-01,5.89,64.0,64.0
2013-03-01,7.135,81.0,81.0
2013-04-01,7.779,87.0,87.0
2013-05-01,12.044,133.0,133.0
2013-06-01,3.907,46.0,46.0
2013-07-01,18.158,203.0,203.0
2013-08-01,6.501,75.0,75.0
2013-09-01,9.375,104.0,104.0
2013-10-01,5.413,64.0,64.0
2013-11-01,6.52,75.0,75.0
2013-12-01,27.479,307.0,307.0
2014-01-01,90.056,1108.0,1108.0
2014-02-01,11.568,145.0,145.0
2014-03-01,24.997,307.0,307.0
2014-04-01,3.309,41.0,41.0
2014-05-01,3.764,46.0,46.0
2014-06-01,3.292,41.0,41.0
2014-07-01,2.65,35.0,35.0
2014-08-01,3.165,41.0,41.0
2014-09-01,2.588,35.0,35.0
2014-10-01,1.977,23.0,23.0
2014-11-01,2.912,35.0,35.0
2014-12-01,3.722,46.0,46.0
2015-01-01,12.533,133.0,133.0
2015-02-01,33.413,342.0,342.0
2015-03-01,6.418,64.0,64.0
2015-04-01,4.244,41.0,41.0
2015-05-01,6.762,70.0,70.0
2015-06-01,9.148,93.0,93.0
2015-07-01,11.313,116.0,116.0
2015-08-01,6.522,70.0,70.0
2015-09-01,4.869,52.0,52.0
2015-10-01,3.418,35.0,35.0
2015-11-01,2.384,23.0,23.0
2015-12-01,1.976,17.0,17.0
2016-01-01,18.989,226.0,226.0
2016-02-01,6.379,75.0,75.0
2016-03-01,3.171,41.0,41.0
2016-04-01,1.548,17.0,17.0
2016-05-01,2.816,35.0,35.0
2016-06-01,4.865,58.0,58.0
2016-07-01,7.271,87.0,87.0
2016-08-01,6.449,81.0,81.0
2016-09-01,3.667,46.0,46.0
2016-10-01,1.284,17.0,17.0
2016-11-01,1.209,17.0,17.0
2016-12-01,1.352,17.0,17.0
2017-01-01,2.067,35.0,35.0
2017-02-01,0.548,6.0,6.0
2017-03-01,1.452,17.0,17.0
2017-04-01,0.69,12.0,12.0
2017-05-01,1.855,23.0,23.0
2017-06-01,1.453,17.0,17.0
2017-07-01,2.2,29.0,29.0
2017-08-01,1.32,17.0,17.0
2017-09-01,2.152,29.0,29.0
2017-10-01,1.184,17.0,17.0
2017-11-01,1.658,23.0,23.0
2017-12-01,2.421,35.0,35.0
2018-01-01,58.353,665.0,665.0
2018-02-01,3.27,35.0,35.0
2018-03-01,4.121,46.0,46.0
2018-04-01,3.73,40.0,40.0
2018-05-01,4.426,52.0,52.0
2018-06-01,4.324,46.0,46.0
2018-07-01,4.184,46.0,46.0
2018-08-01,5.822,64.0,64.0
2018-09-01,4.924,58.0,58.0
2018-10-01,3.257,35.0,35.0
2018-11-01,2.905,35.0,35.0
2018-12-01,1.684,17.0,17.0
2019-01-01,16.756,175.0,175.0
2019-02-01,15.41,163.0,163.0
2019-03-01,15.541,169.0,169.0
2019-04-01,7.339,82.0,82.0
2019-05-01,18.848,204.0,204.0
2019-06-01,20.914,222.0,222.0
2019-07-01,22.878,245.0,245.0
2019-08-01,17.602,187.0,187.0
2019-09-01,26.394,286.0,286.0
2019-10-01,17.219,187.0,187.0
2019-11-01,3.597,41.0,41.0
2019-12-01,18.502,198.0,198.0
2020-01-01,10.287,111.0,111.0
2020-02-01,2.44,23.0,23.0
2020-03-01,4.467,47.0,47.0
2020-04-01,3.851,41.0,41.0
2020-05-01,0.862,12.0,12.0
2020-06-01,17.275,187.0,187.0
2020-07-01,21.677,233.0,233.0
2020-08-01,8.07,87.0,87.0
2020-09-01,8.459,93.0,93.0
2020-10-01,1.285,12.0,12.0
2020-11-01,1.829,17.0,17.0
2020-12-01,4.498,47.0,47.0
2021-06-01,12.278,134.0,134.0
2021-07-01,9.72,105.0,105.0
2021-08-01,11.915,134.0,134.0
2021-09-01,8.4,93.0,93.0
2021-10-01,8.426,93.0,93.0
2021-11-01,7.672,87.0,87.0
2021-12-01,11.589,128.0,128.0
2022-01-01,9.539,111.0,111.0
2022-02-01,3.96,41.0,41.0
2022-03-01,11.996,134.0,134.0
2022-04-01,4.198,47.0,47.0
2022-05-01,4.679,52.0,52.0
2022-06-01,5.491,58.0,58.0
2022-07-01,6.519,70.0,70.0
2022-08-01,5.607,64.0,64.0
2022-09-01,4.247,47.0,47.0
2022-10-01,3.818,41.0,41.0
2022-11-01,4.985,52.0,52.0
2022-12-01,18.961,210.0,210.0
2023-01-01,5.677,76.0,76.0
2023-02-01,4.385,47.0,47.0
2023-03-01,5.346,58.0,58.0
2023-04-01,2.255,23.0,23.0
2023-05-01,5.391,58.0,58.0
2023-06-01,5.135,58.0,58.0
2023-07-01,7.052,76.0,76.0
2023-08-01,9.912,111.0,111.0
2023-09-01,1.122,12.0,12.0
2023-10-01,5.311,58.0,58.0
2023-11-01,23.604,262.0,262.0
2023-12-01,3.81,41.0,41.0
2024-01-01,10.801,128.0,128.0
2024-02-01,1.18,12.0,12.0
2024-03-01,1.413,17.0,17.0
2024-04-01,17.522,198.0,198.0
2024-05-01,8.539,93.0,93.0
2024-06-01,4.148,47.0,47.0
2024-07-01,22.208,251.0,251.0
2024-08-01,10.05,111.0,111.0
2024-09-01,1.679,17.0,17.0
2024-10-01,1.293,12.0,12.0
2024-11-01,2.196,23.0,23.0
2024-12-01,20.971,233.0,233.0
