measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,1674.0,21408.0,21408.0,,,,52884.0,650814.0,650814.0,0.0,0.0,0.0
2003-02-01,3859.0,90782.0,90782.0,,,,28047.0,347197.0,347197.0,0.0,0.0,0.0
2003-03-01,1813.0,27254.0,27254.0,,,,7838.0,99093.0,99093.0,0.0,0.0,0.0
2003-04-01,1520.0,18891.0,18891.0,,,,9756.0,132282.0,132282.0,0.0,0.0,0.0
2003-05-01,-22.0,0.0,0.0,,,,50027.0,597788.0,597788.0,0.0,0.0,0.0
2003-06-01,2715.0,37706.0,37706.0,,,,44363.0,541674.0,541674.0,0.0,0.0,0.0
2003-07-01,824.0,13531.0,13531.0,,,,77069.0,911921.0,911921.0,0.0,0.0,0.0
2003-08-01,8248.0,115925.0,115925.0,,,,94415.0,1088550.0,1088550.0,0.0,0.0,0.0
2003-09-01,1691.0,25572.0,25572.0,,,,44931.0,563252.0,563252.0,0.0,0.0,0.0
2003-10-01,622.0,8427.0,8427.0,,,,70269.0,845402.0,845402.0,0.0,0.0,0.0
2003-11-01,102.0,2303.0,2303.0,,,,27592.0,335698.0,335698.0,0.0,0.0,0.0
2003-12-01,484.0,8207.0,8207.0,,,,37025.0,461941.0,461941.0,0.0,0.0,0.0
2004-01-01,1060.0,14616.0,14616.0,,,,29431.0,364758.0,364758.0,0.0,0.0,0.0
2004-02-01,-68.0,0.0,0.0,,,,20159.0,253747.0,253747.0,0.0,0.0,0.0
2004-03-01,511.0,7256.0,7256.0,,,,25448.0,332970.0,332970.0,0.0,0.0,0.0
2004-04-01,629.0,9077.0,9077.0,,,,32648.0,406962.0,406962.0,0.0,0.0,0.0
2004-05-01,2284.0,26906.0,26906.0,,,,35671.0,437163.0,437163.0,0.0,0.0,0.0
2004-06-01,1549.0,23254.0,23254.0,,,,44171.0,547360.0,547360.0,0.0,0.0,0.0
2004-07-01,722.0,12128.0,12128.0,,,,52233.0,653049.0,653049.0,0.0,0.0,0.0
2004-08-01,1396.0,16304.0,16304.0,,,,41740.0,581839.0,581839.0,0.0,0.0,0.0
2004-09-01,1440.0,27620.0,27620.0,,,,41767.0,504455.0,504455.0,0.0,0.0,0.0
2004-10-01,-25.0,0.0,0.0,,,,52032.0,651623.0,651623.0,0.0,0.0,0.0
2004-11-01,278.0,4089.0,4089.0,,,,18933.0,231028.0,231028.0,0.0,0.0,0.0
2004-12-01,575.0,8610.0,8610.0,,,,4314.0,64957.0,64957.0,0.0,0.0,0.0
