measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2012-01-01,5858.768,95904.0,95904.0,,,,,,
2012-02-01,5605.348,91756.0,91756.0,,,,,,
2012-03-01,5672.244,92851.0,92851.0,,,,,,
2012-04-01,5661.29,92671.0,92671.0,,,,,,
2012-05-01,5707.664,93430.0,93430.0,,,,,,
2012-06-01,5502.254,90068.0,90068.0,,,,,,
2012-07-01,5844.268,95667.0,95667.0,,,,,,
2012-08-01,5516.404,90300.0,90300.0,,,,,,
2012-09-01,4883.516,79940.0,79940.0,,,,,,
2012-10-01,5542.011,90719.0,90719.0,,,,,,
2012-11-01,6091.739,99717.0,99717.0,,,,,,
2012-12-01,6596.494,107980.0,107980.0,,,,,,
2013-01-01,6034.576,95429.0,95429.0,,,,,,
2013-02-01,5360.15,84764.0,84764.0,,,,,,
2013-03-01,5808.251,91850.0,91850.0,,,,,,
2013-04-01,5430.918,85883.0,85883.0,,,,,,
2013-05-01,5801.318,91740.0,91740.0,,,,,,
2013-06-01,5530.979,87465.0,87465.0,,,,,,
2013-07-01,5804.536,91791.0,91791.0,,,,,,
2013-08-01,5326.358,84229.0,84229.0,,,,,,
2013-09-01,5028.834,79524.0,79524.0,,,,,,
2013-10-01,5424.752,85785.0,85785.0,,,,,,
2013-11-01,6023.024,95246.0,95246.0,,,,,,
2013-12-01,6422.624,101565.0,101565.0,,,,,,
2014-01-01,4893.558,79118.0,79118.0,,,,,,
2014-02-01,4060.485,65649.0,65649.0,,,,,,
2014-03-01,4703.406,76043.0,76043.0,,,,,,
2014-04-01,4339.511,70160.0,70160.0,,,,,,
2014-05-01,4342.796,70213.0,70213.0,,,,,,
2014-06-01,4152.721,67140.0,67140.0,,,,,,
2014-07-01,4032.308,65193.0,65193.0,,,,,,
2014-08-01,3993.662,64568.0,64568.0,,,,,,
2014-09-01,3581.141,57899.0,57899.0,,,,,,
2014-10-01,4097.045,66240.0,66240.0,,,,,,
2014-11-01,4061.313,65662.0,65662.0,,,,,,
2014-12-01,4099.354,66277.0,66277.0,,,,,,
2015-01-01,4048.642,64084.0,64084.0,,,,,,
2015-02-01,3539.693,56029.0,56029.0,,,,,,
2015-03-01,3855.907,61034.0,61034.0,,,,,,
2015-04-01,3868.814,61238.0,61238.0,,,,,,
2015-05-01,3803.005,60196.0,60196.0,,,,,,
2015-06-01,3649.869,57773.0,57773.0,,,,,,
2015-07-01,4376.524,69275.0,69275.0,,,,,,
2015-08-01,4204.519,66552.0,66552.0,,,,,,
2015-09-01,3852.781,60984.0,60984.0,,,,,,
2015-10-01,4424.798,70039.0,70039.0,,,,,,
2015-11-01,4458.629,70574.0,70574.0,,,,,,
2015-12-01,4678.679,74057.0,74057.0,,,,,,
2016-01-01,4285.097,69336.0,69336.0,,,,,,
2016-02-01,3989.289,64549.0,64549.0,,,,,,
2016-03-01,4164.256,67380.0,67380.0,,,,,,
2016-04-01,4437.139,71795.0,71795.0,,,,,,
2016-05-01,4417.24,71473.0,71473.0,,,,,,
2016-06-01,4149.4,67140.0,67140.0,,,,,,
2016-07-01,4203.073,68008.0,68008.0,,,,,,
2016-08-01,4167.576,67434.0,67434.0,,,,,,
2016-09-01,3789.723,61320.0,61320.0,,,,,,
2016-10-01,3694.001,59771.0,59771.0,,,,,,
2016-11-01,4151.839,67179.0,67179.0,,,,,,
2016-12-01,4644.067,75143.0,75143.0,,,,,,
2017-01-01,5232.972,70113.0,70113.0,,,,,,
2017-02-01,4993.295,66902.0,66902.0,,,,,,
2017-03-01,5107.674,68434.0,68434.0,,,,,,
2017-04-01,4626.098,61982.0,61982.0,,,,,,
2017-05-01,4694.148,62894.0,62894.0,,,,,,
2017-06-01,4454.965,59689.0,59689.0,,,,,,
2017-07-01,4609.799,61763.0,61763.0,,,,,,
