measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,43697.0,587322.0,587322.0,14961.0,0.0,0.0,840.0,14941.0,14941.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,8215.0,8215.0
2003-02-01,40628.0,551023.0,551023.0,14777.0,0.0,0.0,1514.0,26313.0,26313.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,134.0,134.0
2003-03-01,40867.0,430098.0,430098.0,14812.0,0.0,0.0,1459.0,27957.0,27957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,1278.0,31923.0,31923.0,439.0,0.0,0.0,,,,9.0,221.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,-33.0,0.0,0.0,0.0,0.0,0.0,151.0,2472.0,2472.0,-95.0,0.0,0.0,240.0,0.0,0.0,741.0,12105.0,12105.0
2003-06-01,766.0,12063.0,12063.0,0.0,0.0,0.0,3354.0,47256.0,47256.0,10093.0,159033.0,159033.0,5108.0,0.0,0.0,1300.0,18319.0,18319.0
2003-07-01,1163.0,18679.0,18679.0,0.0,0.0,0.0,2018.0,24166.0,24166.0,9644.0,154882.0,154882.0,5125.0,0.0,0.0,897.0,10739.0,10739.0
2003-08-01,2178.0,33772.0,33772.0,0.0,0.0,0.0,3174.0,37598.0,37598.0,12181.0,188882.0,188882.0,6326.0,0.0,0.0,1433.0,16971.0,16971.0
2003-09-01,,,,490.0,0.0,0.0,48.0,515.0,515.0,,,,0.0,0.0,0.0,,,
2003-10-01,372.0,6570.0,6570.0,0.0,0.0,0.0,20.0,234.0,234.0,2398.0,42410.0,42410.0,956.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,-969.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.0,0.0,0.0
