measured_on,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,,,,,,,5470.0,86802.0,86802.0
2001-02-01,,,,,,,2954.0,58650.0,58650.0
2001-03-01,,,,,,,1353.0,21845.0,21845.0
2001-04-01,,,,,,,0.0,0.0,0.0
2001-05-01,,,,,,,7852.0,120224.0,120224.0
2001-06-01,,,,,,,15084.0,228038.0,228038.0
2001-07-01,,,,,,,11795.0,185181.0,185181.0
2001-08-01,,,,,,,11092.0,174505.0,174505.0
2001-09-01,,,,,,,10404.0,141321.0,141321.0
2001-10-01,,,,3467.0,56100.0,56100.0,10308.0,161891.0,161891.0
2001-11-01,,,,3470.0,55080.0,55080.0,16700.0,257227.0,257227.0
2001-12-01,,,,3602.0,55794.0,55794.0,18093.0,272000.0,272000.0
2002-01-01,,,,0.0,0.0,0.0,21276.0,292828.0,292828.0
2002-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2002-03-01,,,,0.0,0.0,0.0,9495.0,158480.0,158480.0
2002-04-01,,,,0.0,0.0,0.0,20643.0,269395.0,269395.0
2002-05-01,,,,0.0,0.0,0.0,21658.0,271005.0,271005.0
2002-06-01,,,,0.0,0.0,0.0,21105.0,278320.0,278320.0
2002-07-01,,,,3144.0,46592.0,46592.0,18355.0,272038.0,272038.0
2002-08-01,,,,3171.0,47244.0,47244.0,18767.0,279580.0,279580.0
2002-09-01,,,,2984.0,44196.0,44196.0,17016.0,252070.0,252070.0
2002-10-01,,,,3734.0,41762.0,41762.0,20136.0,225225.0,225225.0
2002-11-01,,,,4819.0,45044.0,45044.0,14504.0,235340.0,235340.0
2002-12-01,,,,3024.0,46492.0,46492.0,14793.0,227395.0,227395.0
2003-01-01,,,,1982.0,29765.0,29765.0,20114.0,302050.0,302050.0
2003-02-01,,,,0.0,0.0,0.0,20018.0,307300.0,307300.0
2003-03-01,,,,0.0,0.0,0.0,22213.0,338783.0,338783.0
2003-04-01,,,,0.0,0.0,0.0,21412.0,329543.0,329543.0
2003-05-01,,,,0.0,0.0,0.0,17763.0,233013.0,233013.0
2003-06-01,,,,0.0,0.0,0.0,12523.0,164360.0,164360.0
2003-07-01,,,,0.0,0.0,0.0,21876.0,324695.0,324695.0
2003-08-01,,,,0.0,0.0,0.0,21811.0,323470.0,323470.0
2003-09-01,,,,0.0,0.0,0.0,19574.0,291043.0,291043.0
2003-10-01,,,,0.0,0.0,0.0,11297.0,148278.0,148278.0
2003-11-01,,,,0.0,0.0,0.0,18427.0,273245.0,273245.0
2003-12-01,,,,0.0,0.0,0.0,21002.0,312008.0,312008.0
2004-01-01,,,,0.0,0.0,0.0,20350.0,279335.0,279335.0
2004-02-01,,,,0.0,0.0,0.0,16639.0,259193.0,259193.0
2004-03-01,,,,0.0,0.0,0.0,17035.0,254013.0,254013.0
2004-04-01,,,,0.0,0.0,0.0,18399.0,274593.0,274593.0
2004-05-01,,,,0.0,0.0,0.0,6682.0,100537.0,100537.0
2004-06-01,,,,0.0,0.0,0.0,14261.0,183622.0,183622.0
2004-07-01,,,,0.0,0.0,0.0,14439.0,215412.0,215412.0
2004-08-01,,,,0.0,0.0,0.0,12818.0,194723.0,194723.0
2004-09-01,,,,0.0,0.0,0.0,11062.0,181291.0,181291.0
2004-10-01,,,,0.0,0.0,0.0,10290.0,171168.0,171168.0
2004-11-01,,,,0.0,0.0,0.0,6069.0,100923.0,100923.0
2004-12-01,,,,0.0,0.0,0.0,12144.0,178959.0,178959.0
2005-01-01,,,,0.0,0.0,0.0,14660.0,117594.0,117594.0
2005-02-01,,,,0.0,0.0,0.0,14228.0,147870.0,147870.0
2005-03-01,,,,0.0,0.0,0.0,13664.0,202860.0,202860.0
2005-04-01,,,,0.0,0.0,0.0,14209.0,212957.5,212957.5
2005-05-01,,,,0.0,0.0,0.0,4501.0,67952.5,67952.5
2005-06-01,,,,0.0,0.0,0.0,14855.0,225575.0,225575.0
2005-07-01,,,,0.0,0.0,0.0,14131.0,212712.5,212712.5
2005-08-01,,,,0.0,0.0,0.0,18000.0,267295.0,267295.0
2005-09-01,,,,0.0,0.0,0.0,13315.0,199465.0,199465.0
2005-10-01,,,,0.0,0.0,0.0,14652.0,219765.0,219765.0
2005-11-01,,,,0.0,0.0,0.0,11939.0,177782.5,177782.5
2005-12-01,,,,0.0,0.0,0.0,16742.0,250025.6,250025.6
2006-01-01,,,,0.0,0.0,0.0,15178.0,227674.0,227674.0
2006-02-01,,,,0.0,0.0,0.0,13809.0,209132.0,209132.0
2006-03-01,,,,0.0,0.0,0.0,15021.0,228196.0,228196.0
2006-04-01,,,,0.0,0.0,0.0,10277.0,156836.0,156836.0
2006-05-01,,,,0.0,0.0,0.0,11259.0,171303.0,171303.0
2006-06-01,,,,0.0,0.0,0.0,15061.0,224752.0,224752.0
2006-07-01,,,,0.0,0.0,0.0,11901.0,179050.0,179050.0
2006-08-01,,,,0.0,0.0,0.0,10054.0,153833.0,153833.0
2006-09-01,,,,0.0,0.0,0.0,8156.0,124386.0,124386.0
2006-10-01,,,,0.0,0.0,0.0,14.0,231.0,231.0
2006-11-01,,,,0.0,0.0,0.0,16216.0,244376.0,244376.0
