measured_on,"Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Gaseous Propane-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,2411.752,24630.0,24630.0
2023-02-01,0.0,0.0,0.0,2054.344,20979.0,20979.0
2023-03-01,0.0,0.0,0.0,1974.489,20163.0,20163.0
2023-04-01,0.0,0.0,0.0,1542.488,15752.0,15752.0
2023-05-01,0.0,0.0,0.0,999.062,10202.0,10202.0
2023-06-01,0.0,0.0,0.0,1314.302,13421.0,13421.0
2023-07-01,0.0,0.0,0.0,3042.352,31068.0,31068.0
2023-08-01,0.0,0.0,0.0,3069.794,31347.0,31347.0
2023-09-01,0.0,0.0,0.0,2172.885,22189.0,22189.0
2023-10-01,0.0,0.0,0.0,2653.496,27096.0,27096.0
2023-11-01,0.0,0.0,0.0,2492.662,25454.0,25454.0
2023-12-01,0.0,0.0,0.0,2806.374,28658.0,28658.0
2024-01-01,0.0,0.0,0.0,3097.95,25137.0,25137.0
2024-02-01,0.0,0.0,0.0,2101.399,17050.0,17050.0
2024-03-01,0.0,0.0,0.0,1504.118,12204.0,12204.0
2024-04-01,0.0,0.0,0.0,1280.397,10389.0,10389.0
2024-05-01,0.0,0.0,0.0,1152.051,9348.0,9348.0
2024-06-01,0.0,0.0,0.0,1772.394,14381.0,14381.0
2024-07-01,0.0,0.0,0.0,3405.14,27629.0,27629.0
2024-08-01,0.0,0.0,0.0,2957.723,23998.0,23998.0
2024-09-01,0.0,0.0,0.0,2605.205,21138.0,21138.0
2024-10-01,0.0,0.0,0.0,2729.468,22146.0,22146.0
2024-11-01,0.0,0.0,0.0,2197.94,17834.0,17834.0
2024-12-01,0.0,0.0,0.0,2412.215,19572.0,19572.0
