measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,9444.418,429983.0,429983.0
2003-02-01,8349.655,380141.0,380141.0
2003-03-01,7993.894,363944.0,363944.0
2003-04-01,6881.215,313286.0,313286.0
2003-05-01,6896.278,313972.0,313972.0
2003-06-01,7620.482,346943.0,346943.0
2003-07-01,9905.92,450994.0,450994.0
2003-08-01,10189.194,463891.0,463891.0
2003-09-01,8623.779,392621.0,392621.0
2003-10-01,8624.891,392672.0,392672.0
2003-11-01,8239.099,375108.0,375108.0
2003-12-01,9793.175000000001,445861.0,445861.0
2004-01-01,8745.873,372761.0,372761.0
2004-02-01,7731.168000000001,329513.0,329513.0
2004-03-01,7100.568,302636.0,302636.0
2004-04-01,7544.689,321565.0,321565.0
2004-05-01,7990.392000000001,340562.0,340562.0
2004-06-01,8493.443000000001,362002.0,362002.0
2004-07-01,9172.944000000001,390964.0,390964.0
2004-08-01,8528.412,363493.0,363493.0
2004-09-01,7545.953,321619.0,321619.0
2004-10-01,7964.186000000001,339445.0,339445.0
2004-11-01,7402.661,315512.0,315512.0
2004-12-01,8376.712,357027.0,357027.0
